fuente,tipo_inmueble,subtipo,direccion_texto,barrio_zona,municipio,precio_eur,garaje_incluido,habitaciones,superficie_m2,planta,exterior,ascensor,finca
Inmobiliaria E-Castro,casa,casa adosada,Barrio Sámano-Helguera,Sámano,Castro-Urdiales,335000.0,,4.0,192.0,0.0,,,0
RK IDEPISOS,piso,apartamento,Calle San Celedonio,General Dávila,Santander,279000.0,,3.0,85.0,0.0,1.0,0.0,0
Inmobiliaria uranga,casa,casa independiente,Barrio Villanueva,Meruelo,Meruelo,595000.0,1.0,4.0,236.0,0.0,,,0
Inmonorte,piso,apartamento,Avenida de España,Centro,Laredo,498000.0,0.0,3.0,90.0,0.0,1.0,0.0,0
Grupo Imperio Building,casa,casa independiente,Barrio Villaparte,Voto,Voto,275000.0,1.0,3.0,125.0,0.0,,,0
Gestión Inmobiliaria Crisser,piso,apartamento,Avenida Benedicto Ruiz,Ajo,Ajo,325000.0,0.0,3.0,101.0,2.0,1.0,0.0,0
Inmobiliaria las Dunas,piso,apartamento,Barrio Rodil,Mortera,Piélagos,159000.0,0.0,2.0,50.0,0.0,1.0,0.0,0
Obra nueva,piso,apartamento,Calle Manzanedo 35,Santoña,Santoña,177000.0,,2.0,60.0,1.0,1.0,1.0,0
Obra nueva,piso,apartamento,Calle Manzanedo 35,Santoña,Santoña,160000.0,,2.0,54.0,0.0,1.0,1.0,0
Fuennova,piso,apartamento,Paseo de la Barquera 53 a,,San Vicente de la Barquera,440000.0,1.0,3.0,90.0,2.0,1.0,1.0,0
desconocido,casa,casa adosada,Calle Barrio el Mazo 14,,Ramales de la Victoria,249000.0,1.0,3.0,131.0,0.0,,,0
desconocido,piso,apartamento,Calle de San Martín 6,,Suances,430000.0,0.0,2.0,122.0,0.0,1.0,1.0,0
desconocido,casa,casa independiente,Calle Bo Samano-helguera 205,Sámano,Castro-Urdiales,450000.0,0.0,3.0,143.0,0.0,,,0
desconocido,casa,casa independiente,Calle Bo Samano-helguera 205,Sámano,Castro-Urdiales,462000.0,0.0,3.0,143.0,0.0,,,0
desconocido,casa,casa independiente,Calle Bo Samano-helguera 205,Sámano,Castro-Urdiales,475000.0,0.0,3.0,138.0,0.0,,,0
Oyambre Servicios Inmobiliarios,piso,apartamento,Calle Padre Ángel 10,,San Vicente de la Barquera,187000.0,,1.0,45.0,2.0,1.0,1.0,0
Soldit Homes,casa,casa independiente,Calle Monasterio 9,,Molledo,275000.0,1.0,3.0,180.0,0.0,,,0
Trece Home,piso,apartamento,Calle Joaquin Fernandez San Emeterio 14,,Argoños,187600.0,,2.0,68.0,2.0,1.0,1.0,0
desconocido,piso,apartamento,Calle Jorge Sepúlveda 16,Monte,Santander,690000.0,1.0,4.0,144.0,3.0,1.0,1.0,0
Fuennova,piso,apartamento,Paseo de la Barquera 53 a,,San Vicente de la Barquera,425000.0,1.0,3.0,88.0,1.0,1.0,1.0,0
desconocido,piso,apartamento,Calle Jorge Sepúlveda 16,Monte,Santander,425000.0,1.0,2.0,100.0,1.0,1.0,1.0,0
desconocido,piso,apartamento,Calle Jorge Sepúlveda 16,Monte,Santander,595000.0,1.0,3.0,122.0,2.0,1.0,1.0,0
desconocido,piso,apartamento,Calle Barrio La Torre 17,Monte,Santander,498750.0,,2.0,124.0,1.0,1.0,1.0,0
desconocido,piso,apartamento,Barrio la Rasa 4,,Suances,296000.0,1.0,3.0,111.0,1.0,1.0,1.0,0
desconocido,piso,apartamento,Calle Libertad 3,Monte,Santander,440000.0,1.0,2.0,99.0,1.0,1.0,1.0,0
desconocido,piso,apartamento,Calle Aviche 25,Monte,Santander,691075.0,1.0,3.0,132.0,0.0,1.0,1.0,0
desconocido,piso,apartamento,Calle Libertad 3,Monte,Santander,550000.0,1.0,3.0,121.0,2.0,1.0,1.0,0
desconocido,piso,apartamento,Calle Barrio de Santullán 39,Mioño-Santullán,Castro-Urdiales,199000.0,1.0,2.0,60.0,0.0,1.0,1.0,0
INMOMAR S.L.,piso,apartamento,Calle Maza 9,Palacio,Noja,260000.0,0.0,2.0,97.0,1.0,1.0,1.0,0
SOLANA DE MOMPÍA S.L.,casa,casa adosada,Barrio El Monte s/n,Boo,Piélagos,398500.0,1.0,4.0,128.0,0.0,,,0
SOLANA DE MOMPÍA S.L.,casa,casa adosada,Barrio El Monte s/n,Boo,Piélagos,455000.0,1.0,4.0,227.0,0.0,,,0
desconocido,piso,apartamento,Calle Adarzo 63,Alisal - Cazoña - San Román,Santander,210000.0,1.0,1.0,58.0,1.0,1.0,1.0,0
SOLANA DE MOMPÍA S.L.,casa,casa adosada,Barrio El Monte s/n,Boo,Piélagos,430000.0,1.0,4.0,227.0,0.0,,,0
mvre,casa,casa adosada,Calle Victoriano Fernández 16,Alisal - Cazoña - San Román,Santander,425000.0,1.0,3.0,117.0,0.0,,,0
desconocido,piso,apartamento,Calle Piedra del Cormorán,,Comillas,255300.0,1.0,2.0,75.0,1.0,1.0,1.0,0
SOLANA DE MOMPÍA S.L.,casa,casa adosada,Barrio El Monte s/n,Boo,Piélagos,398500.0,1.0,4.0,128.0,0.0,,,0
SOLANA DE MOMPÍA S.L.,casa,casa adosada,Barrio El Monte s/n,Boo,Piélagos,455000.0,1.0,4.0,227.0,0.0,,,0
