fuente,tipo_inmueble,subtipo,direccion_texto,barrio_zona,municipio,precio_eur,garaje_incluido,habitaciones,superficie_m2,planta,exterior,ascensor,finca
Inmobiliaria E-Castro,piso,apartamento,"Avenida Riomar, 1",Cotolino,Castro-Urdiales,498000.0,1.0,4.0,121.0,4.0,1.0,1.0,0
Inmobiliarias.com,casa,casa independiente,"Barrio Brazomar, 46",Cotolino,Castro-Urdiales,575000.0,1.0,5.0,232.0,0.0,,,0
Inmobiliaria E-Castro,piso,apartamento,"Calle Leonardo Rucabado, 6",Centro,Castro-Urdiales,299000.0,,2.0,84.0,3.0,1.0,1.0,0
Inmobiliaria E-Castro,piso,apartamento,"Calle de la Ronda, 32",Centro,Castro-Urdiales,340000.0,,4.0,99.0,5.0,1.0,1.0,0
Inmobiliaria E-Castro,casa,casa independiente,Barrio Sámano,Sámano,Castro-Urdiales,799000.0,1.0,5.0,511.0,0.0,,,0
Inmobiliarias.com,piso,ático,Calle de Angel Perez Hornoas Cholo,Brazomar,Castro-Urdiales,360000.0,1.0,3.0,130.0,6.0,1.0,1.0,0
Inmobiliarias.com,piso,ático,Calle de la Granja,Cotolino,Castro-Urdiales,405000.0,1.0,2.0,90.0,4.0,1.0,1.0,0
Inmobiliarias.com,piso,apartamento,Calle Ataúlfo Argenta,Cotolino,Castro-Urdiales,415000.0,1.0,3.0,110.0,2.0,1.0,1.0,0
Inmobiliarias.com,casa,casa independiente,Barrio Montealegre,Sámano,Castro-Urdiales,455000.0,,5.0,266.0,0.0,,,0
Inmobiliaria E-Castro,piso,apartamento,Isaac Castillo,Mioño-Santullán,Castro-Urdiales,180000.0,,4.0,105.0,1.0,1.0,0.0,0
Exclusivas Inmobiliarias Mikeli,dúplex,,Calle Doctor Marañón,El Sardinero,Santander,2890000.0,1.0,4.0,310.0,2.0,1.0,1.0,0
Exclusivas Inmobiliarias Mikeli,piso,apartamento,Avenida Manuel García Lago,El Sardinero,Santander,3150000.0,1.0,5.0,241.0,4.0,1.0,1.0,0
