variable,coef,std_error,t_value,p_value
const,1140.693182,26.081963,43.734943,0.0
superficie_construida_m2,192.4895,45.837501,4.199389,3.4e-05
numero_dormitorios,62.635978,39.540959,1.584078,0.114103
numero_banos,-27.413285,37.342965,-0.734095,0.463395
dummy_tipologia_unifamiliar,-20.560013,31.291393,-0.65705,0.511592
tiene_garaje_bin,-27.495145,28.341987,-0.970121,0.332674
obra_nueva_bin,-0.0,0.0,-2.481082,0.01358
latitud,55.688088,48.036253,1.159293,0.247148
longitud,121.76415,40.079485,3.038067,0.002565
distancia_min_playa_km,-54.429967,40.259632,-1.351974,0.17728
distancia_min_supermercado_km,-15.996709,34.134593,-0.468636,0.639629
distancia_min_colegio_km,11.281276,33.091391,0.340913,0.733379
