variable,coef,std_error,t_value,p_value
const,6.95944,0.014796,470.370638,0.0
superficie_construida_m2,0.144516,0.026005,5.55733,0.0
numero_dormitorios,0.053063,0.022453,2.363266,0.018677
numero_banos,0.027065,0.021322,1.26934,0.205188
dummy_tipologia_unifamiliar,-0.014176,0.017751,-0.798566,0.4251
tiene_garaje_bin,0.011587,0.016364,0.708072,0.479385
obra_nueva_bin,0.0,0.0,3.440198,0.000654
latitud,0.011593,0.027522,0.421227,0.673856
longitud,-0.013537,0.02467,-0.548726,0.583554
distancia_min_playa_km,-0.041318,0.022841,-1.808984,0.071337
distancia_min_supermercado_km,-0.001304,0.019394,-0.067239,0.946431
distancia_min_colegio_km,-0.039495,0.019246,-2.052118,0.040924
precio_m2_municipio,0.181634,0.017661,10.284601,0.0
