codigo_inmueble,precio,superficie_construida_m2,numero_dormitorios,numero_banos,tipologia,subtipologia,provincia,municipio,distrito,latitud,longitud,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km
110667065,700.0,127.0,3,2,flat,,Cantabria,Piélagos,Zurita,43.3473689,-3.9910199,1,True,False,True,False,9.611,2.897,0.481
110597613,2300.0,252.0,3,3,chalet,independantHouse,Cantabria,Piélagos,Parbayón,43.3647646,-3.8921286,,,,True,False,9.136,4.39,1.236
110518183,680.0,90.0,3,2,flat,,Cantabria,Piélagos,Renedo,43.3511007,-3.947317,2,True,True,True,False,9.767,0.228,0.621
94938326,1950.0,310.0,4,4,chalet,independantHouse,Cantabria,Piélagos,Mortera,43.4421347,-3.9265964,,,,True,False,3.051,1.416,1.141
110436344,900.0,199.0,4,3,chalet,terracedHouse,Cantabria,Piélagos,Renedo,43.3517807,-3.9574103,,,,True,False,9.53,0.319,0.493
110450936,1000.0,98.0,3,2,flat,,Cantabria,Torrelavega,Ciudad Nueva,43.3429433,-4.0464908,2,True,True,,False,9.464,0.179,0.277
110239199,700.0,85.0,2,2,flat,,Cantabria,Piélagos,Parbayón,43.376446,-3.8973369,bj,True,True,True,False,8.631,4.633,0.34
110094527,620.0,60.0,2,1,flat,,Cantabria,Torrelavega,Ciudad Nueva,43.3407409,-4.0522799,2,True,False,,False,9.763,0.12,0.088
106863606,900.0,75.0,3,1,flat,,Cantabria,Torrelavega,Covadonga - Campuzano - Ciudad Vergel,43.34498,-4.06215,2,True,False,,False,9.337,0.069,0.178
102638666,620.0,80.0,2,1,flat,,Cantabria,Cartes,,43.3329123,-4.0601942,bj,True,True,,False,10.664,0.265,0.702
110688717,900.0,102.0,3,2,chalet,semidetachedHouse,Cantabria,Castro-Urdiales,Oriñón-Allendagua,43.3956517,-3.3275368,,,,,False,0.709,3.477,3.395
108153825,3500.0,225.0,3,4,chalet,terracedHouse,Cantabria,Laredo,El Puntal,43.4213277,-3.4478837,,,,True,False,0.388,0.275,1.653
110583090,1200.0,215.0,3,3,chalet,independantHouse,Cantabria,Castro-Urdiales,Samano,43.3622059,-3.2504722,,,,,False,3.369,1.643,2.799
110554237,1400.0,190.0,4,3,chalet,independantHouse,Cantabria,Voto,,43.3673493,-3.4914265,,,,,False,6.624,1.477,2.778
101390350,4500.0,130.0,4,2,flat,,Cantabria,Laredo,Carlos V,43.4063361,-3.4230693,1,True,True,True,False,2.525,0.561,0.495
110418648,7000.0,221.0,4,4,chalet,independantHouse,Cantabria,Laredo,Carlos V,43.4098484,-3.4204002,,,,True,False,2.414,0.308,0.377
110366970,1200.0,158.0,3,3,chalet,independantHouse,Cantabria,Limpias,,43.3832413,-3.4088521,,,,,False,4.501,2.905,2.628
108767749,2500.0,140.0,3,2,chalet,independantHouse,Cantabria,Voto,,43.3290402,-3.5054913,,,,True,False,10.974,2.847,1.64
106654686,1500.0,396.0,3,3,chalet,independantHouse,Cantabria,Barcena de Cicero,,43.3937463,-3.4746284,,,,True,False,3.395,0.116,1.446
110283222,550.0,55.0,2,1,flat,,Cantabria,Ramales de la Victoria,,43.2765286,-3.4366919,1,True,False,,False,16.058,0.065,3.461
110624593,895.0,65.0,2,1,flat,,Vizcaya,Santurtzi,Mamariga,43.3294941,-3.0369974,2,True,False,,False,1.624,0.088,0.031
110604582,1600.0,280.0,4,3,chalet,semidetachedHouse,Cantabria,Castro-Urdiales,Brazomar,43.3721463,-3.2176565,,,,True,False,0.497,0.147,0.281
110570086,1150.0,81.0,2,2,flat,,Vizcaya,Santurtzi,La Txitxarra - Murrieta - Parke Santurtzi,43.3274052,-3.0323772,1,True,True,,False,1.229,0.03,0.185
