variable,coef,std_error,t_value,p_value
const,272503.396355,5103.414564,53.396288,0.0
superficie_construida_m2,46108.707961,8184.193455,5.633873,0.0
numero_dormitorios,4556.739209,7724.872879,0.589879,0.555584
numero_banos,63249.040601,7482.518216,8.452908,0.0
dummy_tipologia_unifamiliar,6005.265545,8227.74023,0.72988,0.465864
tiene_garaje_bin,26810.213292,5662.814824,4.734432,3e-06
obra_nueva_bin,-14009.373177,5602.988648,-2.500339,0.012781
latitud,9806.394669,8577.899569,1.143216,0.253589
longitud,3721.743501,8112.651498,0.458758,0.646641
distancia_min_playa_km,-29095.051243,8814.784469,-3.30071,0.001045
distancia_min_supermercado_km,-9173.560077,6899.405643,-1.329616,0.184355
distancia_min_colegio_km,-11783.290912,6462.896914,-1.823221,0.068969
