variable,coef,std_error,t_value,p_value
const,12.369454,0.017202,719.085392,0.0
superficie_construida_m2,0.139996,0.027678,5.058018,1e-06
numero_dormitorios,0.044538,0.026073,1.708207,0.088326
numero_banos,0.184246,0.025221,7.30523,0.0
dummy_tipologia_unifamiliar,0.034603,0.027744,1.247232,0.212998
tiene_garaje_bin,0.122614,0.019329,6.343543,0.0
obra_nueva_bin,-0.03702,0.019011,-1.94722,0.052165
latitud,0.00083,0.028957,0.028671,0.97714
longitud,-0.009464,0.027741,-0.341147,0.733161
distancia_min_playa_km,-0.055266,0.031895,-1.732779,0.083859
distancia_min_supermercado_km,0.013797,0.023531,0.586327,0.557967
distancia_min_colegio_km,-0.062978,0.021784,-2.890958,0.004037
precio_m2_municipio,0.166521,0.024309,6.850249,0.0
