codigo_inmueble,precio,superficie_construida_m2,numero_dormitorios,numero_banos,tipologia,subtipologia,provincia,municipio,distrito,latitud,longitud,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km
110651506,1600000.0,449.0,6,6,chalet,independantHouse,Cantabria,Piélagos,Arce,43.4165135,-3.9400708,,,,True,False,3.589,0.55,0.304
110533441,2300000.0,262.0,6,4,flat,duplex,Cantabria,Santander,El Sardinero,43.4738167,-3.7874439,bj,True,True,True,False,0.391,0.334,0.33
110085933,3600000.0,320.0,3,1,chalet,independantHouse,Cantabria,Santander,El Sardinero,43.4775881,-3.7889395,,,,,False,0.147,0.091,0.299
110605274,2550000.0,270.0,5,3,chalet,independantHouse,Cantabria,Santander,El Sardinero,43.4673281,-3.7818765,,,,True,False,0.288,0.601,0.227
106757512,320000.0,482.0,4,5,chalet,independantHouse,Cantabria,Camargo,Escobedo,43.4012687,-3.9037553,,,,True,False,6.93,3.134,0.311
109406845,1760000.0,220.0,4,3,flat,,Cantabria,Santander,El Sardinero,43.4804273,-3.7898748,6,True,True,True,False,0.409,0.22,0.361
110650284,395000.0,300.0,4,5,chalet,terracedHouse,Cantabria,Polanco,,43.3856604,-4.0327732,,,,True,False,4.673,1.185,0.357
94344477,104000.0,180.0,7,6,chalet,,Cantabria,Polanco,,43.4014384,-4.0074604,,,,,False,3.671,1.513,1.759
110472690,147000.0,87.0,2,1,flat,,Cantabria,Piélagos,Parbayón,43.3758479,-3.8895472,1,True,True,,False,8.168,5.116,0.296
110469735,1490000.0,733.0,5,4,chalet,independantHouse,Cantabria,Suances,,43.4354398,-4.0454084,,,,True,False,0.158,0.335,0.939
108650453,188000.0,275.0,7,5,chalet,semidetachedHouse,Cantabria,Guarnizo,,43.3985582,-3.8460026,,,,,False,3.847,0.85,0.846
110625070,80000.0,179.0,3,1,chalet,,Cantabria,Santa Maria de Cayon,,43.3076681,-3.8977239,,,,,False,14.494,3.865,0.549
