dataset,model_num,model_name,case_name,target,n_features,MAE,MAPE_pct,MSE,RMSE,R2,AIC,BIC,residual_skewness,residual_kurtosis,CV_MAE,CV_MAPE_pct,CV_MSE,CV_RMSE,CV_R2,NMAE_pct,NRMSE_pct
sale,1,M1,Caso 1: Base,precio,3,90117.044057,28.389165,20451294180.04178,143008.021384,0.493288,11494.373227,11510.711224,1.905765,4.792894,83840.499355,40.576994,14111897979.543781,116712.616203,0.400702,28.820099,45.735026
sale,2,M2,Caso 1: Base,log(precio),3,91387.117326,26.722493,22270423894.476315,149232.784248,0.448216,513.827516,530.165514,1.857439,4.525882,82240.718169,37.265971,14498376450.776653,117635.148757,0.398029,29.226278,47.725751
sale,3,M3,Caso 1b: Base + precio_m2_municipio,precio,4,85756.437436,27.150211,17050651474.972015,130578.143175,0.577544,11400.415524,11420.838021,2.072355,5.286744,75159.854835,34.55366,11624154033.38003,105481.302072,0.514675,27.425545,41.759859
sale,4,M4,Caso 1b: Base + precio_m2_municipio,log(precio),4,84049.738634,24.38901,17599928399.530453,132664.72176,0.563935,405.412356,425.834853,1.738308,5.073015,75900.991907,32.528112,13282873215.871298,110755.198133,0.461444,26.87973,42.427162
sale,5,M5,Caso 2: Base + dummy tipologia,precio,4,90608.015808,28.598751,20314755670.423386,142529.841333,0.496671,11495.994067,11516.416564,1.871418,4.653455,84264.758823,40.863053,14307322304.690075,117685.252814,0.390318,28.977116,45.582101
sale,6,M6,Caso 2: Base + dummy tipologia,log(precio),4,91395.115116,26.80362,22106544012.256714,148682.695739,0.452276,515.64209,536.064587,1.828955,4.403065,83351.154443,37.789142,15032844353.933437,120065.279258,0.370126,29.228836,47.549829
sale,7,M7,Caso 2b: Caso 2 + precio_m2_municipio,precio,5,85932.901548,27.209143,17185530529.368237,131093.59454,0.574202,11401.251115,11425.758112,2.126067,5.562718,75530.16744,34.527359,11744586400.689526,106057.399242,0.509684,27.481979,41.924704
sale,8,M8,Caso 2b: Caso 2 + precio_m2_municipio,log(precio),5,83203.885035,24.051981,17904511028.20287,133807.739045,0.556388,405.376708,429.883705,1.897578,5.402446,76244.222172,32.727801,13311429355.284357,111265.728769,0.45721,26.60922,42.792708
sale,9,M9,Caso 3: Caso 2 + garaje + obra_nueva,precio,6,93325.295133,29.968915,20735558689.358868,143998.467663,0.486245,11472.161638,11500.753134,1.872456,5.117133,81525.181248,38.700366,13465839500.356472,113820.176451,0.434625,29.846122,46.051778
sale,10,M10,Caso 3: Caso 2 + garaje + obra_nueva,log(precio),6,93519.502099,28.002033,22589704355.23478,150298.717078,0.440305,471.376783,499.968278,2.06197,6.111504,79598.928853,35.00762,13751346092.501535,114213.384283,0.435309,29.90823,48.066645
sale,11,M11,Caso 3b: Caso 3 + precio_m2_municipio,precio,7,87974.146371,28.50481,17314878042.990814,131586.010058,0.570997,11379.599328,11412.275324,2.058876,5.804066,72718.437695,33.005989,11104178616.11173,102904.357684,0.53933,28.134785,42.082182
sale,12,M12,Caso 3b: Caso 3 + precio_m2_municipio,log(precio),7,86837.6101,25.548711,18491579820.753933,135983.74837,0.541843,369.408988,402.084983,2.048909,6.730391,71652.484434,30.116627,12428088995.841518,107143.053837,0.498313,27.771312,43.488611
sale,13,M13,Caso 4: Caso 2 + latitud + longitud,precio,6,87601.449289,26.464577,18880275018.364372,137405.513057,0.532212,11467.31927,11495.910766,1.899063,4.747925,81039.620897,39.292238,13506787449.091934,114138.296856,0.430986,28.015593,43.943302
sale,14,M14,Caso 4: Caso 2 + latitud + longitud,log(precio),6,88804.661261,24.684808,20761476644.487457,144088.433417,0.485602,480.869224,509.46072,1.736878,4.541443,80770.672036,36.185306,14479763099.507126,117642.505896,0.397718,28.400389,46.08055
sale,15,M15,Caso 4b: Caso 4 + precio_m2_municipio,precio,7,85541.156719,26.897133,17022926193.111803,130471.93642,0.578231,11398.459251,11431.135247,2.030266,5.075992,76414.893264,35.286397,11709015933.914806,105841.974936,0.513199,27.356696,41.725893
sale,16,M16,Caso 4b: Caso 4 + precio_m2_municipio,log(precio),7,82717.06622,23.875565,17453740025.56338,132112.603583,0.567557,407.211621,439.887617,1.934272,5.316402,76848.382979,33.108409,13357182218.52058,111472.071678,0.457224,26.453531,42.250591
sale,17,M17,Caso 5: Caso 2 + distancias minimas,precio,7,83526.909021,25.107151,17572900876.658306,132562.818606,0.564604,11443.816373,11476.492368,1.977691,5.322708,76632.097425,36.275127,12852614597.661694,111288.298065,0.457885,26.712525,42.394573
sale,18,M18,Caso 5: Caso 2 + distancias minimas,log(precio),7,85910.637901,24.025843,19040585147.58887,137987.626792,0.52824,448.169915,480.84591,1.581096,4.740498,76546.558961,33.889383,13859063592.38589,114900.922649,0.425045,27.474859,44.129467
sale,19,M19,Caso 5b: Caso 5 + precio_m2_municipio,precio,8,84719.864409,26.484525,16597667446.574665,128831.934886,0.588767,11397.419247,11434.179741,2.077369,5.507834,75211.15606,34.506438,11769809761.043934,106266.901923,0.507606,27.094041,41.201408
sale,20,M20,Caso 5b: Caso 5 + precio_m2_municipio,log(precio),8,81477.997586,23.32499,16940711602.725868,130156.4889,0.580268,396.933032,433.693527,1.856203,5.405175,75487.711084,32.308899,13372819867.792696,111642.070399,0.454552,26.057268,41.625011
sale,21,M21,Caso 6: Todas las variables,precio,11,87768.217197,26.955013,18017790026.42434,134230.361791,0.553581,11424.826187,11473.84018,1.98324,5.740053,76082.97211,35.670585,12361201718.72852,109023.38729,0.478389,28.068927,42.927865
sale,22,M22,Caso 6: Todas las variables,log(precio),11,86229.99088,24.36971,19881604783.148563,141002.144605,0.507403,406.507579,455.521572,1.877305,6.925345,73460.179525,31.558932,13349176417.390072,112314.953946,0.450933,27.576991,45.093532
sale,23,M23,Caso 6b: Todas las variables + precio_m2_municipio,precio,12,85959.176376,27.307593,16679321208.554308,129148.446404,0.586744,11376.680576,11429.779068,2.000683,5.541796,73585.146795,33.906956,11288565193.186783,104032.112269,0.526437,27.490382,41.302631
sale,24,M24,Caso 6b: Todas las variables + precio_m2_municipio,log(precio),12,82948.760813,24.224749,17469544694.577892,132172.405193,0.567165,362.632349,415.730841,2.087064,7.150908,71978.603867,30.156259,12873470866.446617,108890.596582,0.480649,26.527629,42.269716
