dataset,model_num,model_name,case_name,target,features,n_features,AIC,BIC,residual_skewness,residual_kurtosis,MAE,MAPE,MSE,RMSE,R2,NMAE,NRMSE,CV_MAE,CV_MAPE,CV_MSE,CV_RMSE,CV_R2,MAPE_pct,NMAE_pct,NRMSE_pct,CV_MAPE_pct
sale,1,M1,Caso 1: Base,precio,"superficie_construida_m2, numero_dormitorios, numero_banos",3,11494.373226832742,11510.711224485043,1.9057648521153716,4.792894201096639,90117.04405745245,0.2838916549961658,20451294180.04178,143008.02138356358,0.4932876307649251,0.28820099158673235,0.4573502604160402,83840.4993553065,0.4057699362986361,14111897979.543781,116712.61620275115,0.4007020286010513,28.38916549961658,28.820099158673234,45.73502604160402,40.57699362986361
sale,2,M2,Caso 1: Base,log(precio),"superficie_construida_m2, numero_dormitorios, numero_banos",3,513.8275163390505,530.1655139913512,1.8574387572610307,4.525881640826056,91387.1173261304,0.26722492630949674,22270423894.476315,149232.78424822178,0.4482158852102306,0.292262780111303,0.47725751379691056,82240.71816882468,0.37265970709771207,14498376450.776653,117635.1487573107,0.3980285293409965,26.722492630949674,29.2262780111303,47.725751379691054,37.26597070977121
sale,3,M3,Caso 1b: Base + precio_m2_municipio,precio,"superficie_construida_m2, numero_dormitorios, numero_banos, precio_m2_municipio",4,11400.415523577827,11420.838020643203,2.072354527163185,5.286743816103781,85756.43743600936,0.27150210795504093,17050651474.972015,130578.14317477492,0.5775438009044891,0.2742554481508162,0.41759858788235854,75159.85483477084,0.3455365976117498,11624154033.38003,105481.30207247873,0.5146749665149599,27.150210795504094,27.425544815081622,41.75985878823585,34.553659761174984
sale,4,M4,Caso 1b: Base + precio_m2_municipio,log(precio),"superficie_construida_m2, numero_dormitorios, numero_banos, precio_m2_municipio",4,405.41235614205914,425.834853207435,1.7383082874458176,5.07301465266352,84049.73863415941,0.24389009596965044,17599928399.530453,132664.72175951846,0.5639346175756034,0.26879729878320646,0.4242716209743378,75900.99190724359,0.3252811213649538,13282873215.871298,110755.19813343875,0.4614440356182336,24.389009596965046,26.879729878320646,42.42716209743378,32.52811213649538
sale,5,M5,Caso 2: Base + dummy tipologia,precio,"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar",4,11495.994066851974,11516.41656391735,1.8714181002472465,4.653455401166375,90608.01580750175,0.28598750745757234,20314755670.423386,142529.8413330464,0.4966705830168212,0.28977115566263206,0.45582100514410534,84264.75882307332,0.40863053292380425,14307322304.690073,117685.25281411961,0.39031752208435294,28.598750745757233,28.977115566263205,45.582100514410534,40.86305329238043
sale,6,M6,Caso 2: Base + dummy tipologia,log(precio),"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar",4,515.6420902090003,536.0645872743762,1.828955177539687,4.403065453329433,91395.11511556151,0.26803620331672007,22106544012.25671,148682.69573913675,0.4522762621554949,0.2922883576351627,0.4754982899404589,83351.15444302042,0.3778914170129419,15032844353.933437,120065.27925757281,0.37012611337736623,26.803620331672008,29.22883576351627,47.54982899404589,37.789141701294184
sale,7,M7,Caso 2b: Caso 2 + precio_m2_municipio,precio,"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, precio_m2_municipio",5,11401.251115196035,11425.758111674486,2.126066591101618,5.5627179263101425,85932.90154839671,0.27209142981987616,17185530529.368237,131093.59453981053,0.5742019642162275,0.27481979347196417,0.4192470395828303,75530.16743980891,0.3452735906731157,11744586400.689526,106057.39924197257,0.5096843515434774,27.209142981987615,27.481979347196418,41.92470395828303,34.52735906731157
sale,8,M8,Caso 2b: Caso 2 + precio_m2_municipio,log(precio),"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, precio_m2_municipio",5,405.3767081802563,429.8837046587073,1.8975775396970693,5.4024463218844545,83203.88503510156,0.24051981168168884,17904511028.20287,133807.73904450695,0.5563881129855388,0.26609219622979535,0.42792707503832644,76244.22217213151,0.32727800879758445,13311429355.284357,111265.72876898714,0.457210040013072,24.051981168168883,26.609219622979534,42.792707503832645,32.72780087975845
sale,9,M9,Caso 3: Caso 2 + garaje + obra_nueva,precio,"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, tiene_garaje_bin, obra_nueva_bin",6,11472.161638376352,11500.753134267878,1.8724563768945368,5.117132954759944,93325.29513344845,0.2996891496847808,20735558689.358868,143998.46766323198,0.4862445389323272,0.2984612165090209,0.4605177810876219,81525.1812483607,0.3870036585527784,13465839500.356472,113820.17645142057,0.43462482819957576,29.968914968478078,29.84612165090209,46.05177810876219,38.70036585527784
sale,10,M10,Caso 3: Caso 2 + garaje + obra_nueva,log(precio),"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, tiene_garaje_bin, obra_nueva_bin",6,471.37678255509434,499.96827844662056,2.0619697766380196,6.111503893697352,93519.50209931858,0.28002032912875496,22589704355.23478,150298.71707780735,0.44030521915178267,0.2990823047917339,0.4806664460545594,79598.92885346021,0.3500762003124187,13751346092.501535,114213.38428314953,0.43530861548074007,28.002032912875496,29.90823047917339,48.06664460545594,35.00762003124187
