precio_eur,superficie_m2,log_precio,tipo_suelo_Urbanizable,tipo_suelo_Urbano,tipo_suelo_Urbano (solar)
1290000,3217.0,14.070152776337855,0,0,1
1500000,6518.0,14.22097566607244,0,0,1
115000,885.0,11.652687407345388,1,0,0
555000,796.0,13.226723392728571,0,0,1
119000,863.0,11.686878772093667,0,0,1
180000,1300.0,12.100712129872347,0,0,1
1435000,30859.0,14.176675407175859,1,0,0
2900000,9338.0,14.880221294956703,1,0,0
179000,955.0,12.095141084822892,0,0,1
100000,705.0,11.512925464970229,0,0,1
149000,815.0,11.911701584927597,0,0,1
110000,395.0,11.608235644774552,0,0,1
100000,580.0,11.512925464970229,1,0,0
495000,2276.0,13.112313041550827,0,0,1
2271000,10558.0,14.635730821087696,0,0,1
130000,858.0,11.77528972943772,0,0,1
1435000,27195.0,14.176675407175859,0,0,1
500000,3104.0,13.122363377404328,0,0,1
1100000,7369.0,13.9108207377686,1,0,0
168000,701.0,12.031719258385396,0,0,1
150000,352.0,11.918390573078392,0,0,1
690000,2935.0,13.444446876573442,0,0,1
450000,796.0,13.017002861746503,0,1,0
180000,1300.0,12.100712129872347,0,1,0
119000,863.0,11.686878772093667,0,1,0
149000,815.0,11.911701584927597,0,1,0
500000,3104.0,13.122363377404328,0,1,0
130000,819.0,11.77528972943772,0,1,0
300000,2173.0,12.611537753638338,0,1,0
100000,550.0,11.512925464970229,1,0,0
850000,4711.0,13.652991628466498,0,1,0
1290000,3217.0,14.070152776337855,0,1,0
100000,705.0,11.512925464970229,0,1,0
120000,385.0,11.695247021764184,0,1,0
168000,701.0,12.031719258385396,0,1,0
150000,352.0,11.918390573078392,0,1,0
690000,2935.0,13.444446876573442,0,1,0
1435000,27195.0,14.176675407175859,0,1,0
495000,2276.0,13.112313041550827,0,1,0
260000,1135.0,12.468436909997665,0,1,0
521000,1359.0,13.163505320735505,0,1,0
99500,770.0,11.507912923146684,0,1,0
270000,2700.0,12.506177237980511,1,0,0
185000,321.0,12.128111104060462,0,1,0
159900,1246.0,11.982303898822046,0,1,0
154000,700.0,11.944707881395766,0,1,0
120000,248.0,11.695247021764184,0,1,0
1000000,6000.0,13.815510557964274,1,0,0
