codigo_inmueble,precio,superficie_construida_m2,numero_dormitorios,numero_banos,tipologia,latitud,longitud,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km,log_precio,log_superficie_construida_m2,precio_m2,precio_m2_municipio_media,ratio_dormitorios_superficie,ratio_banos_superficie,habitaciones,ratio_habitaciones_superficie,interaccion_superficie_banos,interaccion_superficie_habitaciones,planta_num,interaccion_planta_sin_ascensor_piso,latitud_2,longitud_2,interaccion_latitud_longitud,distancia_centro_municipio_km,inv_distancia_min_playa_km,inv_distancia_min_supermercado_km,inv_distancia_min_colegio_km,score_cercania_servicios,superficie_construida_m2_2,numero_banos_2,numero_dormitorios_2,habitaciones_2,tipologia_unificada_piso,tipologia_unificada_unifamiliar,subtipologia_casaDePueblo,subtipologia_countryHouse,subtipologia_desconocido,subtipologia_duplex,subtipologia_independantHouse,subtipologia_penthouse,subtipologia_semidetachedHouse,subtipologia_studio,subtipologia_terracedHouse,provincia_Cantabria,provincia_Vizcaya,municipio_Ampuero,municipio_Barcena de Cicero,municipio_Camargo,municipio_Cartes,municipio_Castro-Urdiales,municipio_Colindres,municipio_Cudon,municipio_El Astillero,municipio_Entrambasaguas,municipio_Gallarta,municipio_Getxo,municipio_Guarnizo,municipio_Guriezo,municipio_Laredo,municipio_Liendo,municipio_Limpias,municipio_Marina de Cudeyo,municipio_Miengo,municipio_Noja,municipio_Piélagos,municipio_Polanco,municipio_Ramales de la Victoria,municipio_Reocin,municipio_Ribamontan al Mar,municipio_Santa Cruz de Bezana,municipio_Santa Maria de Cayon,municipio_Santander,municipio_Santillana del Mar,municipio_Santoña,municipio_Santurtzi,municipio_Sobremazas,municipio_Solares,municipio_Suances,municipio_Torrelavega,municipio_Villaescusa,municipio_Villapresente,municipio_Viveda,municipio_Voto,distrito_Alisal - Cazoña - San Román,distrito_Bezana,distrito_Boo,distrito_Brazomar,distrito_Carlos V,distrito_Castilla - Hermida,distrito_Centro,distrito_Centro - Ayuntamiento,distrito_Cerezo - Aspla - Torres,distrito_Ciudad Nueva,distrito_Cotolino,distrito_Covadonga - Campuzano - Ciudad Vergel,distrito_Cuatro Caminos,distrito_Cueto,distrito_El Callejo - La Pesquera - La Arenosa,distrito_El Puntal,distrito_El Sardinero,distrito_General Dávila,distrito_Inmobiliaria - Barreda,distrito_La Pereda,distrito_La Txitxarra - Murrieta - Parke Santurtzi,distrito_Las Viñas,distrito_Liencres,distrito_Los Castros,distrito_Maliaño,distrito_Mamariga,distrito_Mioño-Santullán,distrito_Monte,distrito_Mortera,distrito_Muriedas,distrito_Numancia - San Fernando,distrito_Oriñón-Allendagua,distrito_Oruña,distrito_Parbayón,distrito_Peñacastillo - Nuevamontaña,distrito_Playa Ostende,distrito_Puerto Chico,distrito_Renedo,distrito_Ris,distrito_Samano,distrito_Somo,distrito_Soto de la Marina,distrito_Sta. María de Getxo,distrito_Tregadín,distrito_Valdenoja,distrito_Zona Playa,distrito_Zurita,distrito_desconocido
110695153,800.0,40.0,0,1,flat,43.4706118,-3.795827,,0,0,0,0,1.023,0.259,0.351,6.684611727667927,3.6888794541139363,20.0,13.922324389785988,0.0,0.025,1,0.025,40.0,40.0,0,0,1889.6940902662993,14.408302613929001,-165.0069219769586,1.3289417414967768,0.49431537320810687,0.7942811755361399,0.7401924500370096,0.6762629995937521,1600.0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110690044,890.0,82.0,2,1,flat,43.4325785,-3.9462682,,1,0,1,0,2.158,2.107,0.998,6.7912214627261855,4.406719247264253,10.853658536585366,9.008183451121694,0.024390243902439025,0.012195121951219513,3,0.036585365853658534,82.0,246.0,0,0,1886.3888751586621,15.57303270633124,-171.3966033785537,3.5545947875441604,0.31665611146295125,0.32185387833923396,0.5005005005005005,0.3796701634342286,6724.0,1,4,9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99811129,890.0,72.0,3,1,flat,43.4656222,-3.8121106,5.0,1,0,1,0,2.158,0.088,0.073,6.7912214627261855,4.276666119016055,12.36111111111111,13.922324389785988,0.041666666666666664,0.013888888888888888,4,0.05555555555555555,72.0,288.0,5,5,1889.2603132331328,14.53218722663236,-165.69575912421533,0.2709198128218637,0.31665611146295125,0.9191176470588235,0.9319664492078286,0.7225800692432012,5184.0,1,9,16,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110689824,780.0,64.0,1,1,flat,43.460766,-3.819301,3.0,0,1,0,0,2.515,0.094,0.181,6.659293919683638,4.1588830833596715,12.1875,13.922324389785988,0.015625,0.015625,2,0.03125,64.0,128.0,3,0,1888.838181306756,14.587060128601,-165.989747044566,0.8650391851235363,0.28449502133712656,0.9140767824497257,0.8467400508044031,0.6817706181970852,4096.0,1,1,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110687546,1400.0,132.0,3,2,flat,43.4592351,-3.8074869,1.0,1,1,0,0,1.804,0.187,0.31,7.244227515603351,4.882801922586371,10.606060606060606,13.922324389785988,0.022727272727272728,0.015151515151515152,5,0.03787878787878788,264.0,660.0,1,0,1888.705115477072,14.496956493671608,-165.4704683272702,0.5589442500494353,0.35663338088445073,0.8424599831508003,0.7633587786259541,0.6541507142204017,17424.0,4,9,25,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94506986,800.0,68.0,2,1,flat,43.4629094,-3.8202511,1.0,1,0,0,0,2.274,0.215,0.096,6.684611727667927,4.219507705176107,11.764705882352942,13.922324389785988,0.029411764705882353,0.014705882352941176,3,0.04411764705882353,68.0,204.0,1,1,1889.0244935126084,14.594318467051211,-166.03922744455033,0.870887294362855,0.30543677458766033,0.8230452674897119,0.9124087591240875,0.6802969337338199,4624.0,1,4,9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110679255,1000.0,60.0,2,1,chalet,43.4648434,-3.9054179,,0,0,1,0,0.976,1.997,0.711,6.907755278982137,4.0943445622221,16.666666666666668,12.31060606060606,0.03333333333333333,0.016666666666666666,3,0.05,60.0,180.0,0,0,1889.1926117865235,15.252288973640411,-169.74837743505688,0.48032284430235067,0.5060728744939271,0.33366700033366703,0.5844535359438925,0.4747311369238289,3600.0,1,4,9,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110679069,1065.0,120.0,3,2,flat,43.4634733,-3.8430727,1.0,1,1,0,0,1.772,0.508,0.317,6.970730078143525,4.787491742782046,8.875,13.922324389785988,0.025,0.016666666666666666,5,0.041666666666666664,240.0,600.0,1,0,1889.0735112998127,14.76920777748529,-167.0332876864089,2.7044964826975235,0.3607503607503607,0.6631299734748011,0.7593014426727411,0.5943939256326344,14400.0,4,9,25,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110682400,650.0,40.0,1,1,flat,43.4342948,-4.0441243,1.0,1,1,0,0,0.165,0.19,0.801,6.476972362889683,3.6888794541139363,16.25,14.168865980717396,0.025,0.025,2,0.05,40.0,80.0,1,0,1886.5379647733073,16.35494135385049,-175.65368705404364,0.5445885872637669,0.8583690987124464,0.8403361344537815,0.555247084952804,0.7513174393730107,1600.0,1,1,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110680894,950.0,106.0,3,2,flat,43.4574987,-3.8369262,3.0,1,1,1,0,2.41,0.356,0.087,6.856461984594587,4.663439094112067,8.962264150943396,13.922324389785988,0.02830188679245283,0.018867924528301886,5,0.04716981132075472,212.0,530.0,3,0,1888.554193260502,14.72200266424644,-166.74321534849597,2.324174490970513,0.29325513196480935,0.7374631268436579,0.9199632014719411,0.6502271534268028,11236.0,4,9,25,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
