precio,superficie_construida_m2,numero_dormitorios,numero_banos,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,latitud,longitud,provincia,distrito,tipologia,subtipologia,precio_m2_raw,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km,es_exterior_piso,tiene_ascensor_piso,planta_num,log_precio,log_superficie_construida_m2,precio_m2,precio_m2_municipio_media,ratio_dormitorios_superficie,ratio_banos_superficie,interaccion_superficie_banos,interaccion_planta_sin_ascensor_piso,latitud_2,longitud_2,interaccion_latitud_longitud,distancia_centro_municipio_km,score_cercania_servicios,superficie_construida_m2_2,numero_banos_2,numero_dormitorios_2,tipologia_unificada_piso,tipologia_unificada_unifamiliar,municipio_Camargo,municipio_Castro-Urdiales,municipio_El Astillero,municipio_Laredo,municipio_Piélagos,municipio_Santander,municipio_Suances,municipio_Torrelavega,municipio_otro
900.0,100.0,3,2,2.0,1,0,0,0,43.4580778,-3.8708849,Cantabria,Peñacastillo - Nuevamontaña,flat,,9.0,2.008,0.714,0.75,1,0,2,6.802394763324311,4.605170185988092,9.0,12.610519639000671,0.03,0.02,200.0,2,1888.6045260708527,14.98374990904801,-168.22121713904522,4.8593841381312135,0.49576865056705666,10000.0,4,9,1,0,0,0,0,0,0,1,0,0,0
980.0,85.0,3,2,5.0,1,1,1,0,43.4391899,-3.8568401,Cantabria,Peñacastillo - Nuevamontaña,flat,,12.0,4.149,0.37,0.592,1,1,5,6.887552571664617,4.442651256490317,11.529411764705882,12.610519639000671,0.03529411764705882,0.023529411764705882,170.0,0,1886.9632191682622,14.875215556968008,-167.538009517835,4.5849174914357675,0.5174267264191106,7225.0,4,9,1,0,0,0,0,0,0,1,0,0,0
975.0,81.0,3,2,4.0,1,1,1,0,43.4399948,-3.8562375,Cantabria,Peñacastillo - Nuevamontaña,flat,,12.0,4.071,0.289,0.627,1,1,4,6.882437470997846,4.394449154672439,12.037037037037036,12.610519639000671,0.037037037037037035,0.024691358024691357,162.0,0,1887.0331482240272,14.870567656406251,-167.51493694756502,4.492767498593194,0.5292077011331248,6561.0,4,9,1,0,0,0,0,0,0,1,0,0,0
750.0,40.0,1,1,1.0,1,1,0,0,43.4646114,-3.8419017,Cantabria,Alisal - Cazoña - San Román,flat,,19.0,1.632,0.444,0.235,1,1,1,6.620073206530356,3.6888794541139363,18.75,12.610519639000671,0.025,0.025,40.0,0,1889.1724441530102,14.760208672462891,-166.9867644274994,2.481437723661143,0.6273921948466653,1600.0,1,1,1,0,0,0,0,0,0,1,0,0,0
800.0,65.0,2,1,1.0,1,1,0,0,43.4599664,-3.8182961,Cantabria,Numancia - San Fernando,flat,,12.0,2.633,0.121,0.207,1,1,1,6.684611727667927,4.174387269895637,12.307692307692308,12.610519639000671,0.03076923076923077,0.015384615384615385,65.0,0,1888.7686794891288,14.57938510727521,-165.94302021125102,0.7095822579839722,0.6652718949632739,4225.0,1,4,1,0,0,0,0,0,0,1,0,0,0
950.0,90.0,2,1,5.0,1,1,0,0,43.4565454,-3.8077336,Cantabria,Castilla - Hermida,flat,,11.0,1.91,0.309,0.254,1,1,5,6.856461984594587,4.499809670330265,10.555555555555555,12.610519639000671,0.022222222222222223,0.011111111111111112,90.0,0,1888.4713381022614,14.498835168568961,-165.47094805950545,0.844233790508914,0.635010905988532,8100.0,1,4,1,0,0,0,0,0,0,1,0,0,0
850.0,68.0,2,1,2.0,1,0,0,0,43.4586978,-3.8209778,Cantabria,Cuatro Caminos,flat,,13.0,2.643,0.057,0.082,1,0,2,6.745236349484363,4.219507705176107,12.5,12.610519639000671,0.029411764705882353,0.014705882352941176,68.0,2,1888.658414471725,14.59987134809284,-166.05471951070885,0.9676994264291096,0.7149290835847308,4624.0,1,4,1,0,0,0,0,0,0,1,0,0,0
1300.0,110.0,3,2,3.0,1,1,1,0,43.4580268,-3.8525515,Cantabria,Alisal - Cazoña - San Román,flat,,12.0,2.277,0.188,0.149,1,1,3,7.170119543449628,4.700480365792417,11.818181818181818,12.610519639000671,0.02727272727272727,0.01818181818181818,220.0,0,1888.6000933495181,14.84215306015225,-167.4242863353802,3.39846520897882,0.6724100056110777,12100.0,4,9,1,0,0,0,0,0,0,1,0,0,0
1300.0,140.0,3,2,6.0,1,1,0,0,43.4612835,-3.8204802,Cantabria,Cuatro Caminos,flat,,9.0,2.415,0.154,0.113,1,1,6,7.170119543449628,4.941642422609304,9.285714285714286,12.610519639000671,0.02142857142857143,0.014285714285714285,280.0,0,1888.8831634673722,14.59606895859204,-166.0429730783367,0.7977771205947742,0.6859498305899705,19600.0,4,9,1,0,0,0,0,0,0,1,0,0,0
900.0,61.0,2,1,8.0,1,1,0,0,43.4589617,-3.8262724,Cantabria,Cuatro Caminos,flat,,15.0,2.443,0.07,0.191,1,1,8,6.802394763324311,4.110873864173311,14.754098360655737,12.610519639000671,0.03278688524590164,0.01639344262295082,61.0,0,1888.6813520420671,14.64036047900176,-166.2858256853671,1.3277871134969814,0.6882181272353541,3721.0,1,4,1,0,0,0,0,0,0,1,0,0,0
750.0,40.0,1,1,1.0,1,1,0,0,43.4611434,-3.8414251,Cantabria,Alisal - Cazoña - San Román,flat,,19.0,2.01,0.241,0.338,1,1,1,6.620073206530356,3.6888794541139363,18.75,12.610519639000671,0.025,0.025,40.0,0,1888.8709856353632,14.75654679891001,-166.95272713145934,2.45771202410911,0.6284706139470222,1600.0,1,1,1,0,0,0,0,0,0,1,0,0,0
750.0,88.0,2,1,1.0,1,1,0,0,43.4554142,-3.8213527,Cantabria,Castilla - Hermida,flat,,9.0,2.957,0.125,0.23,1,1,1,6.620073206530356,4.477336814478207,8.522727272727273,12.610519639000671,0.022727272727272728,0.011363636363636364,88.0,0,1888.3730232935616,14.602736457797288,-166.05846438278834,1.2352572030127873,0.6515379078481206,7744.0,1,4,1,0,0,0,0,0,0,1,0,0,0
850.0,56.0,1,1,3.0,1,1,0,0,43.4603031,-3.8152542,Cantabria,Numancia - San Fernando,flat,,15.0,2.404,0.175,0.113,1,1,3,6.745236349484363,4.02535169073515,15.178571428571429,12.610519639000671,0.017857142857142856,0.017857142857142856,56.0,0,1888.7979455438694,14.55616461061764,-165.812103935548,0.5019647635070698,0.681102819758502,3136.0,1,1,1,0,0,0,0,0,0,1,0,0,0
775.0,46.0,1,1,7.0,1,1,0,0,43.4625048,-3.8204539,Cantabria,Numancia - San Fernando,flat,penthouse,17.0,2.302,0.209,0.143,1,1,7,6.652863029353347,3.828641396489095,16.847826086956523,12.610519639000671,0.021739130434782608,0.021739130434782608,46.0,0,1888.9893234900228,14.59586800202521,-166.04649596692872,0.7604590524851667,0.6682890858659211,2116.0,1,1,1,0,0,0,0,0,0,1,0,0,0
1000.0,104.0,2,2,5.0,1,1,1,0,43.437814,-3.8426959,Cantabria,Peñacastillo - Nuevamontaña,flat,duplex,10.0,3.183,0.147,0.287,1,1,5,6.907755278982137,4.6443908991413725,9.615384615384615,12.610519639000671,0.019230769230769232,0.019230769230769232,208.0,0,1886.8436850985963,14.766311779876808,-166.91830976276262,3.842708040079797,0.6293010773511726,10816.0,4,4,1,0,0,0,0,0,0,1,0,0,0
1300.0,133.0,3,2,1.0,1,1,1,0,43.4419421,-3.8519308,Cantabria,Peñacastillo - Nuevamontaña,flat,,10.0,3.948,0.145,0.351,1,1,1,7.170119543449628,4.890349128221754,9.774436090225564,12.610519639000671,0.022556390977443608,0.015037593984962405,266.0,0,1887.2023334197522,14.837370887988639,-167.33535478680668,4.084274718400508,0.6052189182629876,17689.0,4,9,1,0,0,0,0,0,0,1,0,0,0
1500.0,120.0,3,2,6.0,1,1,1,0,43.4584754,-3.8149086,Cantabria,Numancia - San Fernando,flat,,13.0,2.408,0.178,0.108,1,1,6,7.313220387090301,4.787491742782046,12.5,12.610519639000671,0.025,0.016666666666666666,240.0,0,1888.639084092405,14.55352762635396,-165.7901115463484,0.6556387249857084,0.6816169134980657,14400.0,4,9,1,0,0,0,0,0,0,1,0,0,0
1250.0,68.0,2,2,,1,1,1,0,43.4564894,-3.8567416,Cantabria,Alisal - Cazoña - San Román,flat,,18.0,2.291,0.169,0.218,1,1,0,7.130898830296347,4.219507705176107,18.38235294117647,12.610519639000671,0.029411764705882353,0.029411764705882353,136.0,0,1888.4664709723127,14.87445576917056,-167.60045045893904,3.764064156771355,0.6601030216578487,4624.0,4,4,1,0,0,0,0,0,0,1,0,0,0
1000.0,110.0,3,1,2.0,1,1,0,0,43.4572876,-3.8108925,Cantabria,Castilla - Hermida,flat,,9.0,2.125,0.202,0.04,1,1,2,6.907755278982137,4.700480365792417,9.090909090909092,12.610519639000671,0.02727272727272727,0.00909090909090909,110.0,0,1888.535845549114,14.52290164655625,-165.611051385183,0.7149432514992278,0.7044950723153717,12100.0,1,9,1,0,0,0,0,0,0,1,0,0,0
1000.0,86.0,3,1,3.0,1,1,0,0,43.4594002,-3.8184131,Cantabria,Numancia - San Fernando,flat,,12.0,2.669,0.101,0.27,1,1,3,6.907755278982137,4.454347296253507,11.627906976744185,12.610519639000671,0.03488372093023256,0.011627906976744186,86.0,0,1888.7194657437599,14.580278602251608,-165.9459430418226,0.7555656885100633,0.6560735392089257,7396.0,1,9,1,0,0,0,0,0,0,1,0,0,0
950.0,80.0,1,1,3.0,1,1,0,0,43.4606184,-3.8244778,Cantabria,Cuatro Caminos,flat,,12.0,2.326,0.081,0.22,1,1,3,6.856461984594587,4.382026634673881,11.875,12.610519639000671,0.0125,0.0125,80.0,0,1888.8253517104188,14.62663044269284,-166.21417024507153,1.1270980535381754,0.6818009888508332,6400.0,1,1,1,0,0,0,0,0,0,1,0,0,0
1100.0,78.0,3,2,2.0,1,1,0,0,43.4558771,-3.8121218,Cantabria,Castilla - Hermida,flat,,14.0,2.268,0.185,0.125,1,1,2,7.003065458786462,4.356708826689592,14.102564102564102,12.610519639000671,0.038461538461538464,0.02564102564102564,156.0,0,1888.4132545303046,14.53227261803524,-165.65909643103078,0.8747173946416731,0.6795894324828523,6084.0,4,9,1,0,0,0,0,0,0,1,0,0,0
850.0,90.0,2,1,9.0,0,1,0,0,43.4515918,-3.8229647,Cantabria,Castilla - Hermida,flat,,9.0,3.257,0.335,0.275,0,1,9,6.745236349484363,4.499809670330265,9.444444444444445,12.610519639000671,0.022222222222222223,0.011111111111111112,90.0,0,1888.0408299538274,14.61505909744609,-166.11390161020947,1.649744725722405,0.5894282025178597,8100.0,1,4,1,0,0,0,0,0,0,1,0,0,0
1000.0,110.0,3,1,2.0,1,1,0,0,43.4588523,-3.8124502,Cantabria,Castilla - Hermida,flat,,9.0,2.205,0.218,0.172,1,1,2,6.907755278982137,4.700480365792417,9.090909090909092,12.610519639000671,0.02727272727272727,0.00909090909090909,110.0,0,1888.671843233215,14.53477652748004,-165.68471014290543,0.5502171351367285,0.6620909545719018,12100.0,1,9,1,0,0,0,0,0,0,1,0,0,0
900.0,69.0,2,1,3.0,1,1,0,0,43.45855,-3.8101639,Cantabria,Castilla - Hermida,flat,,13.0,2.032,0.051,0.115,1,1,3,6.802394763324311,4.23410650459726,13.043478260869565,12.610519639000671,0.028985507246376812,0.014492753623188406,69.0,0,1888.6455681025002,14.51734894486321,-165.584198356345,0.5800199178909798,0.7260503586317792,4761.0,1,4,1,0,0,0,0,0,0,1,0,0,0
850.0,75.0,2,1,6.0,1,1,0,0,43.456224,-3.81754,Cantabria,Castilla - Hermida,flat,,11.0,2.673,0.114,0.219,1,1,6,6.745236349484363,4.31748811353631,11.333333333333334,12.610519639000671,0.02666666666666667,0.013333333333333334,75.0,0,1888.443404338176,14.573611651600002,-165.89587336896,0.9783275725659074,0.6634225411831407,5625.0,1,4,1,0,0,0,0,0,0,1,0,0,0
1100.0,117.0,3,2,3.0,1,1,0,0,43.4574977,-3.8224225,Cantabria,Cuatro Caminos,flat,,9.0,2.711,0.218,0.095,1,1,3,7.003065458786462,4.762173934797756,9.401709401709402,12.610519639000671,0.02564102564102564,0.017094017094017096,234.0,0,1888.554106345505,14.61091376850625,-166.11291700217825,1.1406737321973237,0.6679097391042003,13689.0,4,9,1,0,0,0,0,0,0,1,0,0,0
1255.0,80.0,3,1,1.0,1,1,1,0,43.4601341,-3.8248253,Cantabria,Cuatro Caminos,flat,,16.0,2.364,0.094,0.177,1,1,1,7.134890851565885,4.382026634673881,15.6875,12.610519639000671,0.0375,0.0125,80.0,0,1888.7832559899825,14.629288575520091,-166.22742044707272,1.1710333824979247,0.6869865383401637,6400.0,1,9,1,0,0,0,0,0,0,1,0,0,0
