codigo_inmueble,precio,superficie_construida_m2,numero_dormitorios,numero_banos,tipologia,latitud,longitud,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km,log_precio,log_superficie_construida_m2,precio_m2,precio_m2_municipio_media,ratio_dormitorios_superficie,ratio_banos_superficie,habitaciones,ratio_habitaciones_superficie,interaccion_superficie_banos,interaccion_superficie_habitaciones,planta_num,interaccion_planta_sin_ascensor_piso,latitud_2,longitud_2,interaccion_latitud_longitud,distancia_centro_municipio_km,inv_distancia_min_playa_km,inv_distancia_min_supermercado_km,inv_distancia_min_colegio_km,score_cercania_servicios,superficie_construida_m2_2,numero_banos_2,numero_dormitorios_2,habitaciones_2,tipologia_unificada_piso,tipologia_unificada_unifamiliar,subtipologia_casaDePueblo,subtipologia_casale,subtipologia_countryHouse,subtipologia_desconocido,subtipologia_duplex,subtipologia_independantHouse,subtipologia_penthouse,subtipologia_semidetachedHouse,subtipologia_studio,subtipologia_terracedHouse,provincia_Cantabria,provincia_Vizcaya,municipio_Ajo,municipio_Alfoz de Lloredo,municipio_Ampuero,municipio_Arcentales,municipio_Argoños,municipio_Arnuero,municipio_Barcena de Cicero,municipio_Beranga,municipio_Camargo,municipio_Cartes,municipio_Castañeda,municipio_Castro-Urdiales,municipio_Colindres,municipio_Cudon,municipio_El Astillero,municipio_Entrambasaguas,municipio_Escalante,municipio_Galdames,municipio_Gallarta,municipio_Getxo,municipio_Guarnizo,municipio_Guriezo,municipio_Hazas de Cesto,municipio_Heras,municipio_Isla,municipio_Laredo,municipio_Liendo,municipio_Limpias,municipio_Marina de Cudeyo,municipio_Medio Cudeyo,municipio_Meruelo,municipio_Miengo,municipio_Mogro,municipio_Muskiz,municipio_Noja,municipio_Ortuella,municipio_Penagos,municipio_Piélagos,municipio_Polanco,municipio_Puente San Miguel,municipio_Ramales de la Victoria,municipio_Reocin,municipio_Ribamontan al Mar,municipio_Ribamontan al Monte,municipio_Santa Cruz de Bezana,municipio_Santa Maria de Cayon,municipio_Santander,municipio_Santillana del Mar,municipio_Santoña,municipio_Santurtzi,municipio_Solares,municipio_Solorzano,municipio_Sopuerta,municipio_Suances,municipio_Torrelavega,municipio_Vargas,municipio_Villapresente,municipio_Voto,municipio_Zierbena,distrito_Alisal - Cazoña - San Román,distrito_Arce,distrito_Baltezana-Ontón,distrito_Bezana,distrito_Boo,distrito_Brazomar,distrito_Cacicedo,distrito_Capitán Mendizabal - La Sardinera,distrito_Carandía,distrito_Castilla - Hermida,distrito_Centro,distrito_Centro - Ayuntamiento,distrito_Cerezo - Aspla - Torres,distrito_Cotolino,distrito_Covadonga - Campuzano - Ciudad Vergel,distrito_Cuatro Caminos,distrito_El Arco-Rota-Fonegra,distrito_El Callejo - La Pesquera - La Arenosa,distrito_El Parque - Zapatón,distrito_El Puntal,distrito_El Sardinero,distrito_Escobedo,distrito_General Dávila,distrito_Helgueras,distrito_Herrera,distrito_Igollo,distrito_Inmobiliaria - Barreda,distrito_Kabiezes,distrito_La Txitxarra - Murrieta - Parke Santurtzi,distrito_Langre,distrito_Las Viñas,distrito_Liencres,distrito_Los Castros,distrito_Maliaño,distrito_Mamariga,distrito_Maoño,distrito_Mioño-Santullán,distrito_Mompia,distrito_Monte,distrito_Mortera,distrito_Muriedas,distrito_Numancia - San Fernando,distrito_Oriñón-Allendagua,distrito_Otañes,distrito_Palacio,distrito_Parbayón,distrito_Peñacastillo - Nuevamontaña,distrito_Playa Ostende,distrito_Puerto Chico,distrito_Renedo,distrito_Revilla,distrito_Ris,distrito_Samano,distrito_Sancibrián,distrito_Sierrapando,distrito_Somo,distrito_Soto de la Marina,distrito_Sta. María de Getxo,distrito_Tanos,distrito_Tregadín,distrito_Valdenoja,distrito_Vioño,distrito_Zona Centro,distrito_Zona Playa,distrito_desconocido
110673583,375000.0,79.0,2,1,flat,43.4806228,-3.7973725,1.0,1,1,1,0,0.902,0.253,0.383,12.834681304952548,4.3694478524670215,4746.835443037975,3166.552334754249,0.02531645569620253,0.012658227848101266,3,0.0379746835443038,79.0,237.0,1,0,1890.5645590758797,14.42003790375625,-165.112121303593,3.344037626222129,0.5257623554153522,0.7980845969672785,0.7230657989877078,0.6823042504567794,6241.0,1,4,9,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110673566,500000.0,223.0,4,3,chalet,43.3874458,-4.01718,,0,0,1,0,4.699,0.609,0.173,13.12236337740433,5.407171771460119,2242.152466367713,1447.2192176361532,0.017937219730941704,0.013452914798206279,7,0.03139013452914798,669.0,1561.0,0,0,1882.4704530479378,16.137735152399998,-174.295179518844,0.24480175970928691,0.1754693805930865,0.6215040397762586,0.8525149190110827,0.5498294464601425,49729.0,9,16,49,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110672622,190000.0,56.0,1,1,flat,43.4569794,-3.8547641,5.0,1,1,0,0,2.3,0.254,0.175,12.154779351142622,4.02535169073515,3392.8571428571427,3166.552334754249,0.017857142857142856,0.017857142857142856,2,0.03571428571428571,56.0,112.0,5,0,1888.5090585720245,14.859206266648812,-167.51640408555954,2.431584669705891,0.30303030303030304,0.7974481658692185,0.851063829787234,0.6505140995622519,3136.0,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110672483,169000.0,45.0,0,1,flat,43.4587237,-3.821445,,1,1,0,0,2.623,0.095,0.068,12.037653993905211,3.8066624897703196,3755.5555555555557,3166.552334754249,0.0,0.022222222222222223,1,0.022222222222222223,45.0,45.0,0,0,1888.6606656329418,14.603441888025001,-166.0751223897465,0.27263261522435006,0.2760143527463428,0.9132420091324202,0.9363295880149812,0.7085286499645814,2025.0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110663429,192000.0,58.0,2,1,flat,43.4605213,-3.8277751,3.0,1,0,0,0,2.239,0.16,0.185,12.165250651009918,4.060443010546419,3310.344827586207,3166.552334754249,0.034482758620689655,0.017241379310344827,3,0.05172413793103448,58.0,174.0,3,3,1888.816911667754,14.651862216180012,-166.35710126515966,0.376221307575843,0.30873726458783574,0.8620689655172414,0.8438818565400843,0.6715626955483872,3364.0,1,4,9,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110671978,159000.0,51.0,1,1,flat,43.4392853,-3.9694833,,1,0,1,0,0.148,1.369,0.898,11.976659481202368,3.9318256327243257,3117.6470588235293,3307.660400255061,0.0196078431372549,0.0196078431372549,2,0.0392156862745098,51.0,102.0,0,0,1886.9715073747961,15.756797668978889,-172.43151756228548,0.5714691742851272,0.8710801393728224,0.42211903756859437,0.5268703898840885,0.6066898556085017,2601.0,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110671140,215000.0,52.0,1,1,flat,43.4601852,-3.8145982,4.0,1,1,0,0,2.353,0.191,0.086,12.2783933071098,3.9512437185814275,4134.615384615385,3166.552334754249,0.019230769230769232,0.019230769230769232,2,0.038461538461538464,52.0,104.0,4,0,1888.7876976182988,14.551159427443238,-165.78314423558663,0.8486318378024003,0.29824038174768863,0.8396305625524769,0.9208103130755064,0.6862270857918906,2704.0,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110659977,159000.0,85.0,2,1,flat,43.4179202,-3.844532,2.0,1,0,0,0,2.791,0.096,0.292,11.976659481202368,4.442651256490317,1870.5882352941176,2015.9923358940027,0.023529411764705882,0.011764705882352941,3,0.03529411764705882,85.0,255.0,2,2,1885.1157944935678,14.780426299024,-166.9215835823464,1.4325940893796525,0.2637826431020839,0.9124087591240875,0.7739938080495355,0.6500617367585689,7225.0,1,4,9,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107015475,141000.0,90.0,4,3,flat,43.4036146,-3.8365534,2.0,0,0,0,0,2.904,0.253,0.166,11.856515169360305,4.499809670330265,1566.6666666666667,1261.8232810708046,0.044444444444444446,0.03333333333333333,7,0.07777777777777778,270.0,630.0,2,2,1883.873760345333,14.719141991051561,-166.52028516591963,0.5060846986340108,0.25614754098360654,0.7980845969672785,0.8576329331046313,0.6372883570185054,8100.0,9,16,49,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110420914,595000.0,173.0,4,2,flat,43.4623408,-3.8092465,,0,1,0,0,1.904,0.133,0.144,13.296316684527767,5.153291594497778,3439.306358381503,3166.552334754249,0.023121387283236993,0.011560693641618497,6,0.03468208092485549,346.0,1038.0,0,0,1888.9750678153446,14.51035889776225,-165.5587695742072,1.3353438185853932,0.34435261707988984,0.8826125330979699,0.8741258741258742,0.7003636747679113,29929.0,4,16,36,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
