precio,superficie_construida_m2,numero_dormitorios,numero_banos,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,latitud,longitud,provincia,distrito,tipologia,subtipologia,precio_m2_raw,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km,es_exterior_piso,tiene_ascensor_piso,planta_num,log_precio,log_superficie_construida_m2,precio_m2,precio_m2_municipio_media,ratio_dormitorios_superficie,ratio_banos_superficie,interaccion_superficie_banos,interaccion_planta_sin_ascensor_piso,latitud_2,longitud_2,interaccion_latitud_longitud,distancia_centro_municipio_km,score_cercania_servicios,superficie_construida_m2_2,numero_banos_2,numero_dormitorios_2,tipologia_unificada_piso,tipologia_unificada_unifamiliar,municipio_Ampuero,municipio_Barcena de Cicero,municipio_Camargo,municipio_Castro-Urdiales,municipio_Colindres,municipio_Cudon,municipio_El Astillero,municipio_Guarnizo,municipio_Laredo,municipio_Liendo,municipio_Limpias,municipio_Marina de Cudeyo,municipio_Miengo,municipio_Mogro,municipio_Noja,municipio_Ortuella,municipio_Piélagos,municipio_Polanco,municipio_Ribamontan al Mar,municipio_Ribamontan al Monte,municipio_Santa Cruz de Bezana,municipio_Santander,municipio_Santillana del Mar,municipio_Santoña,municipio_Santurtzi,municipio_Suances,municipio_Torrelavega,municipio_Villaescusa,municipio_Viveda,municipio_Voto,municipio_otro
600000.0,216.0,5,3,,0,0,1,0,43.4459285,-3.9045412,Cantabria,Bezana,chalet,semidetachedHouse,2778.0,3.007,0.708,0.299,0,0,0,13.304684934198283,5.375278407684165,2777.777777777778,2479.3907313148643,0.023148148148148147,0.013888888888888888,648.0,0,1887.5487032271124,15.245441982497441,-169.6364178005042,0.8426699927776201,0.5349554328959818,46656.0,9,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
99750.0,93.0,3,1,1.0,1,0,0,0,43.4065205,-3.8395021,Cantabria,,flat,,1073.0,2.885,0.208,0.537,1,0,1,11.51042233475211,4.532599493153256,1072.5806451612902,1527.1098956774722,0.03225806451612903,0.010752688172043012,93.0,1,1884.12602191692,14.741776375904408,-166.65942661344303,0.9809361559679645,0.5786109713731683,8649.0,1,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000.0,67.0,2,1,,1,0,0,0,43.4600212,-3.8441949,Cantabria,Alisal - Cazoña - San Román,flat,,2687.0,2.166,0.2,0.224,1,0,0,12.100712129872347,4.204692619390966,2686.5671641791046,3257.5921884290465,0.029850746268656716,0.014925373134328358,67.0,0,1888.7734427044495,14.777834429186012,-167.0687918509319,1.8514879788457452,0.655394255687816,4489.0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
376000.0,166.0,4,3,,0,0,1,0,43.3929799,-3.8228269,Cantabria,,chalet,terracedHouse,2265.0,3.326,0.203,0.317,0,0,0,12.837344422372032,5.111987788356544,2265.0602409638554,1765.5785737388258,0.024096385542168676,0.018072289156626505,498.0,0,1882.950704601804,14.61400550736361,-165.88385083287932,0.6816712975092301,0.6072390211176315,27556.0,9,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000.0,120.0,3,2,4.0,1,1,1,0,43.4593098,-3.8508357,Cantabria,Alisal - Cazoña - San Román,flat,,2667.0,2.229,0.096,0.165,1,1,4,12.676076274775909,4.787491742782046,2666.6666666666665,3257.5921884290465,0.025,0.016666666666666666,240.0,0,1888.711608292376,14.828935588394492,-167.35466167519988,2.393156327027806,0.6934904204556794,14400.0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
270000.0,80.0,3,2,3.0,1,1,1,0,43.4414339,-3.8520044,Cantabria,Peñacastillo - Nuevamontaña,flat,,3375.0,4.0,0.096,0.325,1,1,3,12.506177237980511,4.382026634673881,3375.0,3257.5921884290465,0.0375,0.025,160.0,0,1887.1581792880693,14.837937897619362,-167.33659452510918,3.3680747844563768,0.6223752467520544,6400.0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
195000.0,77.0,2,2,3.0,1,0,0,0,43.4581855,-3.8204425,Cantabria,Cuatro Caminos,flat,,2532.0,2.714,0.056,0.096,1,0,3,12.180754837545884,4.343805421853684,2532.4675324675327,3257.5921884290465,0.025974025974025976,0.025974025974025976,154.0,3,1888.6138869524102,14.59578089580625,-166.02949885708375,0.4359487677010175,0.709543312325643,5929.0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
295000.0,92.0,3,1,6.0,1,1,1,0,43.457346,-3.8109298,Cantabria,Castilla - Hermida,flat,,3207.0,2.126,0.197,0.038,1,1,6,12.594730635321957,4.5217885770490405,3206.521739130435,3257.5921884290465,0.03260869565217391,0.010869565217391304,92.0,0,1888.540921363716,14.52318594052804,-165.6128949003108,0.9949741949886031,0.706236885870842,8464.0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109000.0,80.0,2,1,1.0,1,1,0,0,43.4591581,-3.8450455,Cantabria,Alisal - Cazoña - San Román,flat,,1363.0,2.274,0.176,0.235,1,1,1,11.59910316121128,4.382026634673881,1362.5,3257.5921884290465,0.025,0.0125,80.0,0,1888.698422760796,14.784374897070249,-167.10244028619357,1.9332426913192242,0.6551645032774552,6400.0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
220000.0,111.0,3,1,4.0,1,0,0,0,43.4559685,-3.8099746,Cantabria,Castilla - Hermida,flat,,1982.0,2.102,0.326,0.183,1,0,4,12.301382825334498,4.709530201312334,1981.981981981982,3257.5921884290465,0.02702702702702703,0.009009009009009009,111.0,4,1888.4211982729921,14.51590645264516,-165.56613620340008,1.1445191076655765,0.640609671128589,12321.0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
185000.0,90.0,3,1,3.0,1,1,0,0,43.458462,-3.8277587,Cantabria,Cuatro Caminos,flat,,2056.0,2.458,0.072,0.198,1,1,3,12.12811110406046,4.499809670330265,2055.5555555555557,3257.5921884290465,0.03333333333333333,0.011111111111111112,90.0,0,1888.6379194054437,14.65173666542569,-166.34850600911938,0.6478766219382152,0.6855816205026134,8100.0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
219000.0,81.0,3,1,3.0,1,1,0,0,43.4633678,-3.8248724,Cantabria,Los Castros,flat,,2704.0,2.037,0.152,0.08,1,1,3,12.296827008798637,4.394449154672439,2703.703703703704,3257.5921884290465,0.037037037037037035,0.012345679012345678,81.0,0,1889.064340518077,14.62964887628176,-166.2418359092687,0.3149921409799712,0.7077512632267874,6561.0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109000.0,65.0,2,1,4.0,1,0,0,0,43.4606398,-3.8370349,Cantabria,Alisal - Cazoña - San Román,flat,,1677.0,2.061,0.045,0.283,1,0,4,11.59910316121128,4.174387269895637,1676.923076923077,3257.5921884290465,0.03076923076923077,0.015384615384615385,65.0,4,1888.8272118253442,14.722836823818009,-166.75999168892903,1.2695228458072383,0.6876838832781044,4225.0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
440000.0,440.0,4,2,,0,0,1,0,43.4069135,-3.8466455,Cantabria,,chalet,independantHouse,1000.0,3.351,0.619,0.849,0,0,0,12.994530005894443,6.0867747269123065,1000.0,1527.1098956774722,0.00909090909090909,0.004545454545454545,880.0,0,1884.1601395964824,14.796681602670251,-166.97100848366426,0.7810617304093797,0.46277677685488766,193600.0,4,16,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000.0,73.0,3,1,,1,0,0,0,43.4590235,-3.8264305,Cantabria,Cuatro Caminos,flat,,2466.0,2.432,0.07,0.205,1,0,0,12.100712129872347,4.290459441148391,2465.753424657534,3257.5921884290465,0.0410958904109589,0.0136986301369863,73.0,0,1888.6867235735524,14.641570371330248,-166.29293302061674,0.5251919137982546,0.6852767497666091,5329.0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
