propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,newDevelopmentHighlight,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,source_run,precio,superficie_construida_m2,numero_dormitorios,numero_banos,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,latitud,longitud,municipio,provincia,distrito,tipologia,subtipologia,precio_m2_raw,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km,tipologia_unificada,es_exterior_piso,tiene_ascensor_piso,planta_num,log_precio,log_superficie_construida_m2,precio_m2,precio_m2_municipio_media,ratio_dormitorios_superficie,ratio_banos_superficie,interaccion_superficie_banos,interaccion_planta_sin_ascensor_piso,latitud_2,longitud_2,interaccion_latitud_longitud,distancia_centro_municipio_km,score_cercania_servicios,superficie_construida_m2_2,numero_banos_2,numero_dormitorios_2,tipologia_unificada_piso,tipologia_unificada_unifamiliar,municipio_Alfoz de Lloredo,municipio_Ampuero,municipio_Barcena de Cicero,municipio_Beranga,municipio_Cabezón de la Sal,municipio_Camargo,municipio_Campoo de Enmedio,municipio_Cartes,municipio_Castañeda,municipio_Castro-Urdiales,municipio_Colindres,municipio_Comillas,municipio_Cudon,municipio_El Astillero,municipio_Entrambasaguas,municipio_Gallarta,municipio_Getxo,municipio_Guarnizo,municipio_Guriezo,municipio_Hazas de Cesto,municipio_Laredo,municipio_Liendo,municipio_Limpias,municipio_Los Corrales de Buelna,municipio_Marina de Cudeyo,municipio_Miengo,municipio_Mogro,municipio_Molledo,municipio_Noja,municipio_Piélagos,municipio_Polanco,municipio_Puente San Miguel,municipio_Puente Viesgo,municipio_Ramales de la Victoria,municipio_Reinosa,municipio_Reocin,municipio_Ribadedeva,municipio_Ribamontan al Mar,municipio_Ribamontan al Monte,municipio_San Roque de Riomiera,municipio_San Vicente de la Barquera,municipio_Santa Cruz de Bezana,municipio_Santa Maria de Cayon,municipio_Santander,municipio_Santillana del Mar,municipio_Santoña,municipio_Santurtzi,municipio_Solares,municipio_Suances,municipio_Torrelavega,municipio_Udias,municipio_Val de San Vicente,municipio_Villapresente,municipio_Viveda,municipio_Voto,municipio_otro
111081830,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/db/1f/70/1424791411.webp,zzm90759,18,2,900.0,flat,rent,100.0,True,3,2,calle Rucandial,Cantabria,Santander,Peñacastillo - Nuevamontaña,es,43.4580778,-3.8708849,0,https://www.idealista.com/inmueble/111081830/,4980,"Zazume te trae este DÚPLEX con BALCÓN y APARCAMIENTO en Santander. ¡Vivienda recién reformada con todos los electrodomésticos a estrenar! *Contrato de larga estancia (5 años) de obligado cumplimiento 2 años. No se aceptan mascotas. * En Zazume estaremos permanentemente a tu disposición para que tu hogar sea una experiencia inolvidable. ¡Alquila tu casa y dedícate a vivir! Este inmueble consta de: - 3 dormitorios - 2 cuartos de baño completos - salón - comedor - cocina equipada como frigorífico, lavadora, horno y microondas. Electrodomésticos nuevos a estrenar. - balcón Dentro de la propiedad hay sitio para aparcar el vehículo. Se alquila el dúplex que es la primera y segunda planta. Los gastos de comunidad son a cargo del propietario y los gastos variables a cargo del inquilino. Cerca de la vivienda, encontrarás un ambiente tranquilo y residencial. La zona está rodeada de parques, ideal para pasear o hacer ejercicio al aire libre. También hay varios comercios y supermercados donde puedes hacer tus compras diarias. A poca distancia, puedes disfrutar de una variedad de restaurantes y cafeterías que ofrecen opciones locales e internacionales. Las condiciones para alquilar son: - 1 mes de fianza - 1 mes de depósito adicional - El mes en curso - Se solicitará al inquilino que contrate un Seguro de Responsabilidad Civil Disponemos de una amplia cartera de pisos con diferentes características para cubrir todas tus necesidades. ¡Consúltanos sin compromiso y únete a la revolución del alquiler Zazume!",0,good,0,False,9.0,0,0,0,0,[],0,0,0,900.0,€/mes,flat,"Peñacastillo - Nuevamontaña, Santander",Piso en calle Rucandial,,,,,,,,rent_homes_run_20260405_140420,900.0,100.0,3,2,2.0,1,0,0,0,43.4580778,-3.8708849,Santander,Cantabria,Peñacastillo - Nuevamontaña,flat,,9.0,2.008,0.714,0.75,piso,1,0,2,6.802394763324311,4.605170185988092,9.0,12.248973929818641,0.03,0.02,200.0,2,1888.6045260708527,14.98374990904801,-168.22121713904522,4.816266220019142,0.49576865056705666,10000.0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111078427,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/78/28/2f/1424689089.webp,ARS2775i,28,5,980.0,flat,rent,85.0,True,3,2,calle Gertrudis Gómez,Cantabria,Santander,Peñacastillo - Nuevamontaña,es,43.4391899,-3.8568401,0,https://www.idealista.com/inmueble/111078427/,2699,"¡Descubre este maravilloso piso de 85 metros cuadrados que combina comodidad y funcionalidad en un espacio pensado para tu bienestar! La vivienda cuenta con tres dormitorios amplios y luminosos, ideales para toda la familia. Dispone de dos baños completos, diseñados para mayor confort y privacidad. Este piso ha sido equipado con tecnología de aerotermia, garantizando eficiencia energética y ahorro en tus facturas. La cocina, completamente equipada y con lavavajillas incluido, te permitirá preparar tus mejores recetas con facilidad. Además, podrás disfrutar de un balcón, perfecto para relajarte y aprovechar las vistas en cualquier momento del día. La propiedad cuenta con calefacción individual, ventanas climalit que aíslan del ruido y las inclemencias del tiempo, suelo de tarima que aporta calidez y estilo, y un trastero para mayor comodidad. También dispone de garaje y ascensor, facilitando tu día a día. Semi-amueblado, listo para que puedas hacer de este piso tu nuevo hogar. No pierdas la oportunidad de vivir en un espacio moderno, bien equipado y con excelentes acabados. ¡Contáctanos y ven a visitarlo! No se aceptan mascotas. Ref: ARS2775i.",0,good,0,True,12.0,0,0,0,0,[],0,0,0,980.0,€/mes,flat,"Peñacastillo - Nuevamontaña, Santander",Piso en calle Gertrudis Gómez,True,True,,,,,,rent_homes_run_20260405_140420,980.0,85.0,3,2,5.0,1,1,1,0,43.4391899,-3.8568401,Santander,Cantabria,Peñacastillo - Nuevamontaña,flat,,12.0,4.149,0.37,0.592,piso,1,1,5,6.887552571664617,4.442651256490317,11.529411764705882,12.248973929818641,0.03529411764705882,0.023529411764705882,170.0,0,1886.9632191682622,14.875215556968008,-167.538009517835,4.539517824042308,0.5174267264191106,7225.0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111060573,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/89/df/17/1424103027.webp,86135,20,4,975.0,flat,rent,81.0,True,3,2,Peñacastillo - Nuevamontaña,Cantabria,Santander,Peñacastillo - Nuevamontaña,es,43.4399948,-3.8562375,0,https://www.idealista.com/inmueble/111060573/,2785,"¿Buscas un buen piso de alquiler zona Peñacastillo en Santander. Edificio obra nueva año 2025. , con sistema de calefacción y agua caliente con sistema de Aerotermia. ¡Este te va a encantar! Lo tiene.. . todo! Urbanización de nueva construcción a estrenar. , todos los servicios a pie de calle, centros comerciales (Corte ingles, Carrefur) supermercados, autobuses, tren, centro de salud y un buen gimnasio en la zona con amplias zonas verdes si lo que te gusta es el deporte al aire libre o simplemente pasear sin el bullicio urbano. En un edificio con ascensores sin barreras con tu propia plaza de garaje y 1 trastero. Dispone de 1ª habitación dormitorio amueblado, la 2ª habitación con armario empotrado y una 3ª habitación ideal para los que trabajan desde casa, salón comedor amueblado, cocina moderna y totalmente equipada, dos baños con ducha. Vivienda Moderna y mobiliario de estilo minimalista a estrenar. No pierdas la oportunidad y ven a conocerlo con un comercial de San Fernando.",0,good,0,True,12.0,0,0,0,0,[],0,0,0,975.0,€/mes,flat,"Peñacastillo - Nuevamontaña, Santander",Piso,True,True,,,,,,rent_homes_run_20260405_140420,975.0,81.0,3,2,4.0,1,1,1,0,43.4399948,-3.8562375,Santander,Cantabria,Peñacastillo - Nuevamontaña,flat,,12.0,4.071,0.289,0.627,piso,1,1,4,6.882437470997846,4.394449154672439,12.037037037037036,12.248973929818641,0.037037037037037035,0.024691358024691357,162.0,0,1887.0331482240272,14.870567656406251,-167.51493694756502,4.447301129267256,0.5292077011331248,6561.0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111051186,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/33/b7/62/1423806528.webp,2903-80021-VARGAS,7,1,800.0,flat,rent,65.0,True,2,1,calle Vargas,Cantabria,Santander,Numancia - San Fernando,es,43.4599664,-3.8182961,0,https://www.idealista.com/inmueble/111051186/,5771,"VARGAS (Arco Iris) piso con terraza, junto a la Alameda de Oviedo. NO se admiten mascotas. Ideal para una parejita.  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",0,good,0,True,12.0,0,0,0,0,[],0,0,0,800.0,€/mes,flat,"Numancia - San Fernando, Santander",Piso en calle Vargas,,,,,,,,rent_homes_run_20260405_140420,800.0,65.0,2,1,1.0,1,1,0,0,43.4599664,-3.8182961,Santander,Cantabria,Numancia - San Fernando,flat,,12.0,2.633,0.121,0.207,piso,1,1,1,6.684611727667927,4.174387269895637,12.307692307692308,12.248973929818641,0.03076923076923077,0.015384615384615385,65.0,0,1888.7686794891288,14.57938510727521,-165.94302021125102,0.6641480257504854,0.6652718949632739,4225.0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111051191,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/55/40/ab/1423807296.webp,2903-87521-LOPEZ,19,5,950.0,flat,rent,90.0,True,2,1,calle Antonio López,Cantabria,Santander,Castilla - Hermida,es,43.4565454,-3.8077336,0,https://www.idealista.com/inmueble/111051191/,5940,"Piso Vacio en primera línea de la Bahía con terracita al Sur. Oportunidad. Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",0,good,0,True,11.0,0,0,0,0,[],0,0,0,950.0,€/mes,flat,"Castilla - Hermida, Santander",Piso en calle Antonio López,,,,,,,,rent_homes_run_20260405_140420,950.0,90.0,2,1,5.0,1,1,0,0,43.4565454,-3.8077336,Santander,Cantabria,Castilla - Hermida,flat,,11.0,1.91,0.309,0.254,piso,1,1,5,6.856461984594587,4.499809670330265,10.555555555555555,12.248973929818641,0.022222222222222223,0.011111111111111112,90.0,0,1888.4713381022614,14.498835168568961,-165.47094805950545,0.8388185575212288,0.635010905988532,8100.0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100279814,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d9/09/58/1100847842.webp,ARS2335i,25,2,850.0,flat,rent,68.0,True,2,1,calle Alta,Cantabria,Santander,Cuatro Caminos,es,43.4586978,-3.8209778,0,https://www.idealista.com/inmueble/100279814/,5542,"Descubre este encantador piso de 68 metros cuadrados situado en la Calle Alta. La propiedad cuenta con dos dormitorios y un baño completo, ideal para familias o parejas que buscan comodidad y funcionalidad. Totalmente amueblado, el piso ofrece un ambiente acogedor y listo para entrar a vivir. La cocina americana, equipada con electrodomésticos modernos, se integra perfectamente en el espacio, creando un ambiente diáfano y luminoso. Disfruta de un balcón exterior, perfecto para relajarse o compartir momentos con amigos. La calefacción de gas natural individual garantiza confort durante todo el año, mientras que las ventanas de climalit proporcionan aislamiento térmico y acústico. El suelo de tarima añade un toque cálido y elegante a la vivienda. Ubicado en una zona privilegiada, este piso combina comodidad, estilo y funcionalidad en un entorno privilegiado. No se aceptan mascotas. ¡No dudes en contactarnos para más información y concertar una visita! Ref: ARS2335i.",0,good,0,False,13.0,1,0,0,0,[],0,0,0,850.0,€/mes,flat,"Cuatro Caminos, Santander",Piso en calle Alta,,,,,,,,rent_homes_run_20260405_140420,850.0,68.0,2,1,2.0,1,0,0,0,43.4586978,-3.8209778,Santander,Cantabria,Cuatro Caminos,flat,,13.0,2.643,0.057,0.082,piso,1,0,2,6.745236349484363,4.219507705176107,12.5,12.248973929818641,0.029411764705882353,0.014705882352941176,68.0,2,1888.658414471725,14.59987134809284,-166.05471951070885,0.9221656721647875,0.7149290835847308,4624.0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111051309,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/04/25/f2/1423809858.webp,,9,3,1300.0,flat,rent,110.0,True,3,2,calle los Abedules,Cantabria,Santander,Alisal - Cazoña - San Román,es,43.4580268,-3.8525515,0,https://www.idealista.com/inmueble/111051309/,4785,"Alisal, ideal para estudiantes de medicina o de la universidad del atlántico. ///// NO SE ALQUILA PARA FIJO ///// Disponible desde septiembre de 2026 a junio 2027. Alquiler dirigido a estudiantes o profesionales desplazados con contrato temporal. Por normativa vigente, es obligatorio justificar la temporalidad del arrendamiento. *Por favor, abstenerse quienes busquen alquiler para residencia permanente**  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",0,good,0,True,12.0,0,0,0,0,[],0,0,0,1300.0,€/mes,flat,"Alisal - Cazoña - San Román, Santander",Piso en calle los Abedules,True,True,,,,,,rent_homes_run_20260405_140420,1300.0,110.0,3,2,3.0,1,1,1,0,43.4580268,-3.8525515,Santander,Cantabria,Alisal - Cazoña - San Román,flat,,12.0,2.277,0.188,0.149,piso,1,1,3,7.170119543449628,4.700480365792417,11.818181818181818,12.248973929818641,0.02727272727272727,0.01818181818181818,220.0,0,1888.6000933495181,14.84215306015225,-167.4242863353802,3.3545023869888033,0.6724100056110777,12100.0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111051339,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9b/e9/f7/1423809336.webp,,30,6,1300.0,flat,rent,140.0,True,3,2,calle San Fernando,Cantabria,Santander,Cuatro Caminos,es,43.4612835,-3.8204802,0,https://www.idealista.com/inmueble/111051339/,5814,"Piso alto, soleado al Sur, pequeña terracita. 2 camas de matrimonio y un tercer dormitorio con 2 camas. *NO SE ADMITEN MASCOTAS Ideal matrimonio maduro o personal funcionario, ingeniería, sanidad, etc. ….  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",1,good,0,True,9.0,0,0,0,0,[],0,0,0,1300.0,€/mes,flat,"Cuatro Caminos, Santander",Piso en calle San Fernando,,,,,,,,rent_homes_run_20260405_140420,1300.0,140.0,3,2,6.0,1,1,0,0,43.4612835,-3.8204802,Santander,Cantabria,Cuatro Caminos,flat,,9.0,2.415,0.154,0.113,piso,1,1,6,7.170119543449628,4.941642422609304,9.285714285714286,12.248973929818641,0.02142857142857143,0.014285714285714285,280.0,0,1888.8831634673722,14.59606895859204,-166.0429730783367,0.7522617976173939,0.6859498305899705,19600.0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111042630,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bb/37/bd/1423565440.webp,,29,8,900.0,flat,rent,61.0,True,2,1,"CAMILO ALONSO VEGA, 4",Cantabria,Santander,Cuatro Caminos,es,43.4589617,-3.8262724,1,https://www.idealista.com/inmueble/111042630/,5376,,0,good,0,True,15.0,0,0,0,0,[],0,0,0,900.0,€/mes,flat,"Cuatro Caminos, Santander","Piso en Camilo Alonso Vega, 4",,,,,,,,rent_homes_run_20260405_140420,900.0,61.0,2,1,8.0,1,1,0,0,43.4589617,-3.8262724,Santander,Cantabria,Cuatro Caminos,flat,,15.0,2.443,0.07,0.191,piso,1,1,8,6.802394763324311,4.110873864173311,14.754098360655737,12.248973929818641,0.03278688524590164,0.01639344262295082,61.0,0,1888.6813520420671,14.64036047900176,-166.2858256853671,1.2819478778655247,0.6882181272353541,3721.0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111022989,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/89/2e/b6/1422897281.webp,,8,1,750.0,flat,rent,88.0,True,2,1,calle General Moscardó,Cantabria,Santander,Castilla - Hermida,es,43.4554142,-3.8213527,0,https://www.idealista.com/inmueble/111022989/,5209,"Hoy Calle Bernardo de Miera y Pacheco. Piso de alquiler para 2 fechas. ////DESDE LA ACTUALIDAD HASTA JUNIO INLUIDO///// y //// CURSO ESCOLAR 26 - 27///// ///// NO SE ALQUILA PARA FIJO ///// Alquiler dirigido a estudiantes o profesionales desplazados con contrato temporal. Por normativa vigente, es obligatorio justificar la temporalidad del arrendamiento. *Por favor, abstenerse quienes busquen alquiler para residencia permanente**  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",0,good,0,True,9.0,0,0,0,0,[],0,0,0,750.0,€/mes,flat,"Castilla - Hermida, Santander",Piso en calle General Moscardó,,,,,,,,rent_homes_run_20260405_140420,750.0,88.0,2,1,1.0,1,1,0,0,43.4554142,-3.8213527,Santander,Cantabria,Castilla - Hermida,flat,,9.0,2.957,0.125,0.23,piso,1,1,1,6.620073206530356,4.477336814478207,8.522727272727273,12.248973929818641,0.022727272727272728,0.011363636363636364,88.0,0,1888.3730232935616,14.602736457797288,-166.05846438278834,1.192397395785479,0.6515379078481206,7744.0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
