circulo,categoria,nombre,latitude,longitude
SantaCruzDeBezana,playa,Segunda Playa de El Sardinero,43.4773258,-3.7871524907273617
SantaCruzDeBezana,playa,Primera Playa de El Sardinero,43.4730965,-3.7821889544619713
SantaCruzDeBezana,playa,Playa del Camello,43.4696194,-3.7759355062004927
SantaCruzDeBezana,playa,Playa de los Peligros,43.4655456,-3.7792792195881395
SantaCruzDeBezana,playa,Playa de la Magdalena,43.46747905,-3.7731197919288277
SantaCruzDeBezana,playa,Playa de Mataleñas,43.486091200000004,-3.7880617400930863
SantaCruzDeBezana,playa,Playa de los Molinucos,43.4837457,-3.7847875935815374
SantaCruzDeBezana,playa,Playa de La Maruca,43.47965565,-3.836431835383907
SantaCruzDeBezana,playa,Playa de San Juan de la Canal,43.47385295,-3.8934576767058795
SantaCruzDeBezana,playa,Playa de la Concha,43.435706100000004,-4.043490645937826
SantaCruzDeBezana,playa,Playa artificial de Punta Parayas,43.42147995,-3.8103259831533904
SantaCruzDeBezana,playa,Playa de la Riberuca,43.427651850000004,-4.0350891191822535
SantaCruzDeBezana,playa,Playa de la Ribera,43.431459849999996,-4.035672531784975
SantaCruzDeBezana,playa,Playa de los Caballos,43.44225625,-4.02271938390045
SantaCruzDeBezana,playa,Playa de Usgo,43.4394208,-4.000772330273393
SantaCruzDeBezana,playa,Playa de La Arnía,43.47419835,-3.915898415984713
SantaCruzDeBezana,playa,Playa de El Rostro,43.44745085,-3.7713933336430854
SantaCruzDeBezana,playa,Playa de Mogro,43.43867365,-3.972381885106578
SantaCruzDeBezana,playa,Playa de los Bikinis,43.4673004,-3.7679157210293575
SantaCruzDeBezana,playa,Playa de Currucasa,43.436372399999996,-3.9763294495641794
SantaCruzDeBezana,playa,La Playuca,43.440144399999994,-3.9708791054306314
SantaCruzDeBezana,playa,Playa de Valdearenas,43.44480025,-3.9749678955617824
SantaCruzDeBezana,playa,Playa de Robayera,43.443366350000005,-3.9829321460791927
SantaCruzDeBezana,playa,Playa de Portío,43.4699905,-3.9299752432662274
SantaCruzDeBezana,playa,Playa de Cerrías,43.46902635,-3.9364728588366944
SantaCruzDeBezana,playa,Playa Rosamunda,43.48384795,-3.832189757811177
SantaCruzDeBezana,playa,Playa de El Bocal,43.488122149999995,-3.825718824751668
SantaCruzDeBezana,playa,Playa Somocuevas,43.469261599999996,-3.9448227573857833
SantaCruzDeBezana,playa,Playa del Huevo frito,43.43896075,-4.03287119810677
SantaCruzDeBezana,playa,Somocuevas Oeste,43.4695244,-3.943742366685949
SantaCruzDeBezana,playa,Tómbolo de Covachos,43.47411195,-3.9078595882988436
SantaCruzDeBezana,playa,Playa del Madero,43.4636659,-3.950020983452185
SantaCruzDeBezana,playa,Playa de la Virgen del Mar,43.4772114,-3.8776372723817523
SantaCruzDeBezana,playa,Playa de El Puntal,43.4550704,-3.753670623269001
SantaCruzDeBezana,playa,Playa de los Locos,43.438687200000004,-4.0467882225872565
SantaCruzDeBezana,playa,Playa de Canallave,43.452952550000006,-3.961335793415765
SantaCruzDeBezana,playa,Playa del Fortín,43.47278335,-3.8921718237823755
SantaCruzDeBezana,playa,nan,43.4795503,-3.8764831955204215
SantaCruzDeBezana,playa,nan,43.47584655,-3.866451618066406
SantaCruzDeBezana,playa,Playa de El Pescador,43.479125800000006,-3.8389404536334077
SantaCruzDeBezana,playa,Playa de Covachos,43.472524,-3.911267685421755
SantaCruzDeBezana,playa,Playa de Cuchía,43.43573105,-4.031150010585582
SantaCruzDeBezana,playa,Playa de La Concha,43.471811450000004,-3.779490734344539
SantaCruzDeBezana,playa,La Playuca,43.433448,-4.033449249407635
SantaCruzDeBezana,playa,Playa de Bañaperros,43.48175835,-3.8350596232517002
SantaCruzDeBezana,playa,Playa de los Carabineros,43.48201505,-3.835766941491256
SantaCruzDeBezana,playa,Playa de La Fenómeno,43.4627564,-3.785665297768133
SantaCruzDeBezana,supermercado,Eroski,43.3936533,-3.8169693
SantaCruzDeBezana,supermercado,Lupa,43.4589009,-3.8097537
SantaCruzDeBezana,supermercado,Carrefour Market,43.4615937,-3.8131989
SantaCruzDeBezana,supermercado,Lupa,43.4391304,-3.8424716
SantaCruzDeBezana,supermercado,Dia,43.4635288,-3.810573
SantaCruzDeBezana,supermercado,Lupa,43.4570746,-3.8137147
SantaCruzDeBezana,supermercado,Lupa,43.4632285,-3.7980565
SantaCruzDeBezana,supermercado,Lupa,43.4591466,-3.8172082
SantaCruzDeBezana,supermercado,BM,43.4634835,-3.790453
SantaCruzDeBezana,supermercado,Covirán,43.4596123,-3.92909
SantaCruzDeBezana,supermercado,Lupa,43.4633603,-3.8120239
SantaCruzDeBezana,supermercado,BM,43.4780121,-3.7898969
SantaCruzDeBezana,supermercado,Carrefour,43.4581162,-3.8619582
SantaCruzDeBezana,supermercado,Carrefour,43.445484,-3.8542812
SantaCruzDeBezana,supermercado,Carrefour,43.4270132,-3.8384568
SantaCruzDeBezana,supermercado,El Centro,43.4413776,-3.7689218
SantaCruzDeBezana,supermercado,Alcampo,43.4644009,-3.8016757
SantaCruzDeBezana,supermercado,Comercial Santiago,43.4265053,-3.8444814
SantaCruzDeBezana,supermercado,Lupa,43.3526053,-3.9492402
SantaCruzDeBezana,supermercado,Lupa,43.4169789,-3.8429341
SantaCruzDeBezana,supermercado,BM,43.4175569,-3.8434578
SantaCruzDeBezana,supermercado,Covirán,43.4689615,-3.8282447
SantaCruzDeBezana,supermercado,Covirán,43.4648354,-3.8120868
SantaCruzDeBezana,supermercado,Covirán,43.4677261,-3.8145424
SantaCruzDeBezana,supermercado,Dia,43.4586776,-3.8202693
SantaCruzDeBezana,supermercado,Covirán,43.4627924,-3.8163795
SantaCruzDeBezana,supermercado,Unide,43.4649526,-3.7988511
SantaCruzDeBezana,supermercado,BM,43.4596178,-3.8230527
SantaCruzDeBezana,supermercado,Lupa,43.3994948,-3.8203509
SantaCruzDeBezana,supermercado,Lupa,43.3481824,-4.051734
SantaCruzDeBezana,supermercado,La Plaza,43.3671866,-4.0442227
SantaCruzDeBezana,supermercado,Lupa,43.3545819,-4.0467004
SantaCruzDeBezana,supermercado,Lupa,43.3485188,-4.0474706
SantaCruzDeBezana,supermercado,Dia Market,43.3675929,-4.0440004
SantaCruzDeBezana,supermercado,Lupa,43.463977,-3.8031309
SantaCruzDeBezana,supermercado,Covirán,43.4686599,-3.805414
SantaCruzDeBezana,supermercado,Lupa,43.4585281,-3.8503318
SantaCruzDeBezana,supermercado,Covirán,43.460575,-3.849236
SantaCruzDeBezana,supermercado,Lupa,43.472577,-3.7836728
SantaCruzDeBezana,supermercado,Eroski,43.458999,-3.8170844
SantaCruzDeBezana,supermercado,Lupa,43.4677512,-3.8065472
SantaCruzDeBezana,supermercado,Lupa,43.463646,-3.875287
SantaCruzDeBezana,supermercado,Mercadona,43.4543025,-3.8211613
SantaCruzDeBezana,supermercado,Eroski,43.3515518,-3.9432935
SantaCruzDeBezana,supermercado,Covirán,43.4262569,-3.8567014
SantaCruzDeBezana,supermercado,Lupa,43.4200334,-3.8457414
SantaCruzDeBezana,supermercado,Covirán,43.4583965,-3.8431317
SantaCruzDeBezana,supermercado,Dia,43.3545851,-3.9565878
SantaCruzDeBezana,supermercado,Covirán,43.4440793,-3.7684125
SantaCruzDeBezana,supermercado,BM,43.44033,-3.8993163
SantaCruzDeBezana,supermercado,Alcampo,43.3483987,-4.0510159
SantaCruzDeBezana,supermercado,Alcampo,43.3482477,-4.0516913
SantaCruzDeBezana,supermercado,BM,43.3495164,-4.0491402
SantaCruzDeBezana,supermercado,El Sol,43.3470613,-4.0503607
SantaCruzDeBezana,supermercado,Dia,43.3485537,-4.0475763
SantaCruzDeBezana,supermercado,Hui Hui,43.3481318,-4.0460371
SantaCruzDeBezana,supermercado,Dia,43.3478008,-4.045118
SantaCruzDeBezana,supermercado,BM,43.3523755,-4.0465416
SantaCruzDeBezana,supermercado,Autoservicio Lábaro,43.3413418,-4.0462216
SantaCruzDeBezana,supermercado,Covirán,43.433917,-4.0418311
SantaCruzDeBezana,supermercado,Lupa,43.4271978,-3.9726842
SantaCruzDeBezana,supermercado,BM,43.3571526,-3.957577
SantaCruzDeBezana,supermercado,Dia Market,43.4175529,-3.8457392
SantaCruzDeBezana,supermercado,Lupa,43.4627338,-3.8070003
