tipo_operacion,precio,superficie_construida_m2,numero_dormitorios,numero_banos,tipologia,subtipologia,provincia,municipio,distrito,latitud,longitud,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km
venta,375000.0,79.0,2,1,flat,desconocido,Cantabria,Santander,Valdenoja,43.4806228,-3.7973725,1,True,True,True,False,0.902,0.253,0.383
venta,500000.0,223.0,4,3,chalet,semidetachedHouse,Cantabria,Polanco,desconocido,43.3874458,-4.01718,desconocido,False,False,True,False,4.699,0.609,0.173
venta,190000.0,56.0,1,1,flat,desconocido,Cantabria,Santander,Alisal - Cazoña - San Román,43.4569794,-3.8547641,5,True,True,False,False,2.3,0.254,0.175
venta,169000.0,45.0,0,1,flat,studio,Cantabria,Santander,Numancia - San Fernando,43.4587237,-3.821445,desconocido,True,True,False,False,2.623,0.095,0.068
venta,192000.0,58.0,2,1,flat,desconocido,Cantabria,Santander,Cuatro Caminos,43.4605213,-3.8277751,3,True,False,False,False,2.239,0.16,0.185
venta,159000.0,51.0,1,1,flat,desconocido,Cantabria,Mogro,desconocido,43.4392853,-3.9694833,desconocido,True,False,True,False,0.148,1.369,0.898
venta,215000.0,52.0,1,1,flat,penthouse,Cantabria,Santander,Numancia - San Fernando,43.4601852,-3.8145982,4,True,True,False,False,2.353,0.191,0.086
venta,159000.0,85.0,2,1,flat,desconocido,Cantabria,Camargo,Muriedas,43.4179202,-3.844532,2,True,False,False,False,2.791,0.096,0.292
venta,141000.0,90.0,4,3,flat,desconocido,Cantabria,Guarnizo,desconocido,43.4036146,-3.8365534,2,False,False,False,False,2.904,0.253,0.166
venta,595000.0,173.0,4,2,flat,desconocido,Cantabria,Santander,Centro - Ayuntamiento,43.4623408,-3.8092465,bj,False,True,False,False,1.904,0.133,0.144
venta,190000.0,108.0,3,1,flat,desconocido,Cantabria,Santander,Castilla - Hermida,43.4574456,-3.8171706,1,True,True,False,False,2.611,0.173,0.24
venta,119900.0,51.0,3,1,flat,desconocido,Cantabria,Santander,Numancia - San Fernando,43.4592676,-3.820597,4,True,False,False,False,2.602,0.071,0.152
venta,169000.0,59.0,2,1,flat,penthouse,Cantabria,Mogro,desconocido,43.435943,-3.972857,3,True,False,True,False,0.284,0.973,0.649
venta,215000.0,82.0,2,2,flat,desconocido,Cantabria,Santander,Alisal - Cazoña - San Román,43.466024,-3.8397029,4,True,True,True,False,1.458,0.296,0.244
venta,69000.0,46.0,2,1,flat,desconocido,Cantabria,Santander,Numancia - San Fernando,43.4617656,-3.8176984,4,True,False,False,False,2.499,0.03,0.016
venta,450000.0,202.0,4,3,chalet,independantHouse,Cantabria,Piélagos,Boo,43.4253455,-3.9417076,desconocido,False,False,True,False,2.873,1.34,0.594
venta,248000.0,160.0,3,3,chalet,desconocido,Cantabria,Camargo,Revilla,43.402558,-3.8727647,desconocido,False,False,False,False,5.465,2.673,0.988
venta,79000.0,62.0,2,1,flat,desconocido,Cantabria,El Astillero,desconocido,43.3960151,-3.8186919,2,True,False,False,False,2.911,0.275,0.412
venta,690000.0,323.0,5,2,chalet,independantHouse,Cantabria,Santa Cruz de Bezana,Soto de la Marina,43.4669044,-3.9087004,desconocido,False,False,True,False,0.658,1.823,0.795
venta,129000.0,75.0,2,1,flat,desconocido,Cantabria,El Astillero,desconocido,43.398719,-3.8215697,4,True,False,False,False,2.689,0.131,0.224
venta,360000.0,210.0,4,3,chalet,terracedHouse,Cantabria,Piélagos,Vioño,43.3625857,-3.9699381,desconocido,False,False,True,False,8.221,1.168,0.583
venta,60000.0,55.0,2,1,flat,desconocido,Cantabria,Santander,Centro - Ayuntamiento,43.4646772,-3.8083255,bj,False,False,False,False,1.841,0.039,0.037
venta,142000.0,102.0,2,2,flat,desconocido,Cantabria,El Astillero,desconocido,43.4066585,-3.8389488,bj,True,True,True,False,2.839,0.23,0.534
venta,54900.0,49.0,0,1,flat,penthouse,Cantabria,El Astillero,desconocido,43.3998743,-3.8197434,3,True,False,False,False,2.52,0.065,0.206
venta,215000.0,66.0,3,1,flat,desconocido,Cantabria,Santander,El Sardinero,43.4754625,-3.7889786,5,True,False,False,False,0.254,0.293,0.389
venta,173000.0,133.0,3,2,chalet,terracedHouse,Cantabria,Polanco,desconocido,43.3839537,-4.025096,desconocido,False,False,False,False,4.926,0.963,0.453
venta,244500.0,75.0,3,1,flat,desconocido,Cantabria,Santander,General Dávila,43.4672828,-3.8033977,1,True,True,False,False,1.517,0.088,0.186
venta,300000.0,292.0,4,2,chalet,independantHouse,Cantabria,Camargo,Muriedas,43.4194286,-3.845998,desconocido,False,False,True,False,2.89,0.07,0.397
venta,184900.0,65.0,2,1,flat,desconocido,Cantabria,Santander,General Dávila,43.4648216,-3.8136513,bj,True,True,False,False,2.27,0.078,0.2
venta,308000.0,115.0,3,3,chalet,terracedHouse,Cantabria,Miengo,desconocido,43.4249466,-3.9939951,desconocido,False,False,True,False,1.7,1.479,1.838
venta,1600000.0,449.0,6,6,chalet,independantHouse,Cantabria,Piélagos,Arce,43.4165135,-3.9400708,desconocido,False,False,True,False,3.589,0.55,0.304
venta,450000.0,157.0,5,2,flat,desconocido,Cantabria,Santander,Centro - Ayuntamiento,43.4632575,-3.8113989,1,True,True,False,False,2.078,0.048,0.185
venta,310000.0,102.0,3,1,flat,desconocido,Cantabria,Santander,Numancia - San Fernando,43.4618982,-3.8213182,7,True,True,False,False,2.321,0.237,0.069
venta,570000.0,275.0,6,4,chalet,semidetachedHouse,Cantabria,Santa Cruz de Bezana,Maoño,43.4352194,-3.9069739,desconocido,False,False,True,False,4.163,0.147,0.711
venta,195000.0,72.0,2,1,flat,desconocido,Cantabria,Mogro,desconocido,43.426184,-3.9720045,1,False,True,True,False,1.186,0.125,0.075
venta,60000.0,52.0,2,1,flat,desconocido,Cantabria,Santander,Centro - Ayuntamiento,43.4650025,-3.8065029,bj,True,True,False,False,1.7,0.131,0.161
venta,219000.0,81.0,3,1,flat,desconocido,Cantabria,Santander,Los Castros,43.4633678,-3.8248724,3,True,True,False,False,2.037,0.152,0.08
venta,320000.0,71.0,2,1,flat,penthouse,Cantabria,Santa Cruz de Bezana,Bezana,43.4432523,-3.9072631,2,True,True,True,False,3.271,0.586,0.333
venta,590000.0,93.0,2,2,flat,desconocido,Cantabria,Santander,Puerto Chico,43.4647923,-3.7956913,4,True,True,True,False,0.84,0.012,0.006
venta,420000.0,147.0,4,2,flat,desconocido,Cantabria,Santander,General Dávila,43.4599609,-3.8305797,5,True,True,True,False,2.235,0.263,0.373
venta,420000.0,150.0,4,1,chalet,semidetachedHouse,Cantabria,Camargo,Muriedas,43.4221619,-3.8542288,desconocido,False,False,True,False,3.547,0.255,0.173
venta,175000.0,66.0,3,1,flat,desconocido,Cantabria,Santander,General Dávila,43.4673257,-3.8034756,2,True,False,False,False,1.525,0.086,0.189
venta,698000.0,456.0,6,3,chalet,independantHouse,Cantabria,Santander,Monte,43.4702142,-3.8231016,desconocido,False,False,True,False,1.503,0.438,0.239
venta,655000.0,306.0,5,4,chalet,independantHouse,Cantabria,Santa Cruz de Bezana,Bezana,43.4508336,-3.9085259,desconocido,False,False,True,False,2.422,1.335,0.901
venta,335000.0,541.0,4,1,chalet,independantHouse,Cantabria,Santander,Alisal - Cazoña - San Román,43.4683502,-3.8448998,desconocido,False,False,True,False,1.291,0.788,0.68
venta,325000.0,84.0,3,2,flat,desconocido,Cantabria,Santander,Centro - Ayuntamiento,43.4631158,-3.8066914,4,True,True,False,False,1.697,0.049,0.092
venta,88800.0,90.0,4,2,flat,desconocido,Cantabria,Camargo,Muriedas,43.4221242,-3.8460728,desconocido,False,False,False,False,2.888,0.234,0.629
venta,88400.0,68.0,3,1,flat,desconocido,Cantabria,Santander,Castilla - Hermida,43.4523097,-3.8188809,desconocido,False,False,False,False,2.922,0.193,0.146
venta,165000.0,131.0,3,1,chalet,semidetachedHouse,Cantabria,Polanco,desconocido,43.3818141,-4.0139488,desconocido,False,False,False,False,5.375,1.284,0.552
venta,298000.0,106.0,3,2,flat,desconocido,Cantabria,Santander,Los Castros,43.4671912,-3.8216786,2,True,True,False,False,1.827,0.326,0.39
venta,223000.0,82.0,3,2,flat,desconocido,Cantabria,El Astillero,desconocido,43.4018566,-3.824131,2,True,True,True,False,2.45,0.347,0.196
venta,142000.0,60.0,2,1,flat,desconocido,Cantabria,Santander,Los Castros,43.4661415,-3.8267663,5,True,False,False,False,1.693,0.145,0.343
venta,318000.0,87.0,3,2,flat,desconocido,Cantabria,Santander,Numancia - San Fernando,43.4577233,-3.8149318,2,True,False,False,False,2.428,0.102,0.19
venta,255000.0,91.0,3,2,flat,duplex,Cantabria,Miengo,desconocido,43.4306575,-3.9978242,1,True,False,True,False,1.003,0.952,1.571
venta,199000.0,73.0,3,1,flat,desconocido,Cantabria,Santander,Cuatro Caminos,43.4604299,-3.8257385,1,True,True,False,False,2.305,0.095,0.212
venta,450000.0,113.0,3,2,flat,desconocido,Cantabria,Santander,Numancia - San Fernando,43.4600621,-3.8209462,1,True,True,True,False,2.512,0.094,0.169
venta,220000.0,65.0,3,1,flat,desconocido,Cantabria,Santander,Los Castros,43.469338,-3.7931878,desconocido,False,True,False,False,0.951,0.045,0.214
venta,240000.0,65.0,3,1,flat,penthouse,Cantabria,Santander,Centro - Ayuntamiento,43.4657819,-3.8100136,5,True,False,False,False,1.994,0.198,0.088
venta,260000.0,82.0,2,2,flat,desconocido,Cantabria,Santa Cruz de Bezana,Sancibrián,43.4632231,-3.8796274,2,True,True,True,True,1.468,0.353,0.565
