codigo_inmueble,precio,superficie_construida_m2,numero_dormitorios,numero_banos,tipologia,subtipologia,provincia,municipio,distrito,latitud,longitud,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km
111081830,900.0,100.0,3,2,flat,,Cantabria,Santander,Peñacastillo - Nuevamontaña,43.4580778,-3.8708849,2,True,False,,False,2.008,0.714,0.75
111078427,980.0,85.0,3,2,flat,,Cantabria,Santander,Peñacastillo - Nuevamontaña,43.4391899,-3.8568401,5,True,True,True,False,4.149,0.37,0.592
111060573,975.0,81.0,3,2,flat,,Cantabria,Santander,Peñacastillo - Nuevamontaña,43.4399948,-3.8562375,4,True,True,True,False,4.071,0.289,0.627
111051080,750.0,40.0,1,1,flat,,Cantabria,Santander,Alisal - Cazoña - San Román,43.4646114,-3.8419017,1,True,True,,False,1.632,0.444,0.235
111051186,800.0,65.0,2,1,flat,,Cantabria,Santander,Numancia - San Fernando,43.4599664,-3.8182961,1,True,True,,False,2.633,0.121,0.207
111051191,950.0,90.0,2,1,flat,,Cantabria,Santander,Castilla - Hermida,43.4565454,-3.8077336,5,True,True,,False,1.91,0.309,0.254
100279814,850.0,68.0,2,1,flat,,Cantabria,Santander,Cuatro Caminos,43.4586978,-3.8209778,2,True,False,,False,2.643,0.057,0.082
111051309,1300.0,110.0,3,2,flat,,Cantabria,Santander,Alisal - Cazoña - San Román,43.4580268,-3.8525515,3,True,True,True,False,2.277,0.188,0.149
111051339,1300.0,140.0,3,2,flat,,Cantabria,Santander,Cuatro Caminos,43.4612835,-3.8204802,6,True,True,,False,2.415,0.154,0.113
111042630,900.0,61.0,2,1,flat,,Cantabria,Santander,Cuatro Caminos,43.4589617,-3.8262724,8,True,True,,False,2.443,0.07,0.191
111023404,750.0,40.0,1,1,flat,,Cantabria,Santander,Alisal - Cazoña - San Román,43.4611434,-3.8414251,1,True,True,,False,2.01,0.241,0.338
111022989,750.0,88.0,2,1,flat,,Cantabria,Santander,Castilla - Hermida,43.4554142,-3.8213527,1,True,True,,False,2.957,0.125,0.23
105988246,850.0,56.0,1,1,flat,,Cantabria,Santander,Numancia - San Fernando,43.4603031,-3.8152542,3,True,True,,False,2.404,0.175,0.113
111017453,775.0,46.0,1,1,flat,penthouse,Cantabria,Santander,Numancia - San Fernando,43.4625048,-3.8204539,7,True,True,,False,2.302,0.209,0.143
111014394,1000.0,104.0,2,2,flat,duplex,Cantabria,Santander,Peñacastillo - Nuevamontaña,43.437814,-3.8426959,5,True,True,True,False,3.183,0.147,0.287
97153422,1300.0,133.0,3,2,flat,,Cantabria,Santander,Peñacastillo - Nuevamontaña,43.4419421,-3.8519308,1,True,True,True,False,3.948,0.145,0.351
110993702,1500.0,120.0,3,2,flat,,Cantabria,Santander,Numancia - San Fernando,43.4584754,-3.8149086,6,True,True,True,False,2.408,0.178,0.108
110749437,1250.0,68.0,2,2,flat,,Cantabria,Santander,Alisal - Cazoña - San Román,43.4564894,-3.8567416,,True,True,True,False,2.291,0.169,0.218
110987921,1000.0,110.0,3,1,flat,,Cantabria,Santander,Castilla - Hermida,43.4572876,-3.8108925,2,True,True,,False,2.125,0.202,0.04
39118778,1000.0,86.0,3,1,flat,,Cantabria,Santander,Numancia - San Fernando,43.4594002,-3.8184131,3,True,True,,False,2.669,0.101,0.27
107604192,950.0,80.0,1,1,flat,,Cantabria,Santander,Cuatro Caminos,43.4606184,-3.8244778,3,True,True,,False,2.326,0.081,0.22
