codigo_inmueble,precio,superficie_construida_m2,numero_dormitorios,numero_banos,tipologia,subtipologia,provincia,municipio,distrito,latitud,longitud,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km
111067785,600000.0,216.0,5,3,chalet,semidetachedHouse,Cantabria,Santa Cruz de Bezana,Bezana,43.4459285,-3.9045412,,,,True,False,3.007,0.708,0.299
111067361,99750.0,93.0,3,1,flat,,Cantabria,Guarnizo,,43.4065205,-3.8395021,1,True,False,,False,2.885,0.208,0.537
111065389,180000.0,67.0,2,1,flat,,Cantabria,Santander,Alisal - Cazoña - San Román,43.4600212,-3.8441949,bj,True,False,,False,2.166,0.2,0.224
111062244,376000.0,166.0,4,3,chalet,terracedHouse,Cantabria,El Astillero,,43.3929799,-3.8228269,,,,True,False,3.326,0.203,0.317
111062226,320000.0,120.0,3,2,flat,,Cantabria,Santander,Alisal - Cazoña - San Román,43.4593098,-3.8508357,4,True,True,True,False,2.229,0.096,0.165
110909856,270000.0,80.0,3,2,flat,,Cantabria,Santander,Peñacastillo - Nuevamontaña,43.4414339,-3.8520044,3,True,True,True,False,4.0,0.096,0.325
111061719,195000.0,77.0,2,2,flat,,Cantabria,Santander,Cuatro Caminos,43.4581855,-3.8204425,3,True,False,,False,2.714,0.056,0.096
111061589,295000.0,92.0,3,1,flat,,Cantabria,Santander,Castilla - Hermida,43.457346,-3.8109298,6,True,True,True,False,2.126,0.197,0.038
111060096,109000.0,80.0,2,1,flat,,Cantabria,Santander,Alisal - Cazoña - San Román,43.4591581,-3.8450455,1,True,True,,False,2.274,0.176,0.235
111057640,220000.0,111.0,3,1,flat,,Cantabria,Santander,Castilla - Hermida,43.4559685,-3.8099746,4,True,False,,False,2.102,0.326,0.183
111055496,185000.0,90.0,3,1,flat,,Cantabria,Santander,Cuatro Caminos,43.458462,-3.8277587,3,True,True,,False,2.458,0.072,0.198
110647058,219000.0,81.0,3,1,flat,,Cantabria,Santander,Los Castros,43.4633678,-3.8248724,3,True,True,,False,2.037,0.152,0.08
111053388,109000.0,65.0,2,1,flat,,Cantabria,Santander,Alisal - Cazoña - San Román,43.4606398,-3.8370349,4,True,False,,False,2.061,0.045,0.283
111048254,440000.0,440.0,4,2,chalet,independantHouse,Cantabria,Guarnizo,,43.4069135,-3.8466455,,,,True,False,3.351,0.619,0.849
111047897,180000.0,73.0,3,1,flat,,Cantabria,Santander,Cuatro Caminos,43.4590235,-3.8264305,bj,True,False,,False,2.432,0.07,0.205
111047769,1150000.0,414.0,6,5,chalet,independantHouse,Cantabria,Piélagos,Boo,43.4279076,-3.9229179,,,,True,False,4.105,0.899,0.387
111044447,290000.0,102.0,3,1,flat,,Cantabria,Santander,Numancia - San Fernando,43.4621778,-3.8213875,7,True,True,,False,2.291,0.256,0.092
111043292,289000.0,103.0,4,2,flat,,Cantabria,Santander,Cuatro Caminos,43.4593702,-3.8221784,3,True,True,,False,2.532,0.076,0.105
111041434,180280.0,98.0,3,2,flat,,Cantabria,Santander,Cuatro Caminos,43.4587678,-3.8226928,5,True,True,,False,2.574,0.099,0.027
110308439,160000.0,92.0,2,1,flat,,Cantabria,Santander,Numancia - San Fernando,43.4615463,-3.818357,4,True,False,,False,2.486,0.035,0.072
111013950,990000.0,300.0,5,3,chalet,independantHouse,Cantabria,Santander,Alisal - Cazoña - San Román,43.4660496,-3.8680097,,,,True,False,1.097,0.645,0.241
111038202,250000.0,100.0,3,1,chalet,independantHouse,Cantabria,Camargo,Igollo,43.4345258,-3.8925484,,,,True,False,4.254,0.561,1.201
111034307,369000.0,127.0,4,2,flat,,Cantabria,Santander,Numancia - San Fernando,43.4605711,-3.8172702,4,True,True,,False,2.562,0.149,0.131
111034062,350000.0,120.0,4,2,flat,,Cantabria,Santander,Peñacastillo - Nuevamontaña,43.4550548,-3.8398441,3,True,True,True,False,2.678,0.457,0.139
109527789,160000.0,160.0,5,2,flat,,Cantabria,Guarnizo,,43.3928821,-3.8586245,1,True,False,,False,5.033,2.016,0.326
111029884,92914.0,103.0,1,1,flat,,Cantabria,Camargo,Maliaño,43.4259895,-3.8426111,4,True,True,True,False,2.655,0.162,0.468
111025395,349000.0,242.0,5,2,chalet,semidetachedHouse,Cantabria,Camargo,Herrera,43.4289634,-3.8654871,,,,True,False,4.532,0.771,0.751
111022985,164900.0,65.0,2,1,flat,,Cantabria,Santander,Castilla - Hermida,43.4524182,-3.8191369,1,True,True,,False,2.936,0.181,0.169
111020128,215000.0,100.0,3,2,flat,,Cantabria,Camargo,Muriedas,43.4152291,-3.8505386,3,True,True,,False,3.321,0.458,0.149
111019287,385000.0,99.0,3,1,flat,,Cantabria,Santander,Castilla - Hermida,43.4543398,-3.8137993,2,,True,,False,2.456,0.237,0.094
111016614,1175000.0,185.0,3,3,flat,penthouse,Cantabria,Santander,Numancia - San Fernando,43.4606464,-3.8218593,10,True,True,True,False,2.419,0.133,0.087
111012993,270000.0,81.0,3,1,flat,,Cantabria,Santander,Castilla - Hermida,43.4513652,-3.82346,3,True,True,,False,3.303,0.376,0.277
111010826,190000.0,65.0,2,1,flat,,Cantabria,Camargo,Muriedas,43.4246141,-3.8569217,3,True,False,,False,3.779,0.184,0.152
110823768,134000.0,110.0,4,3,flat,,Cantabria,Santander,Alisal - Cazoña - San Román,43.4608898,-3.8487758,2,True,False,,False,2.178,0.051,0.08
111009407,219000.0,64.0,2,1,flat,,Cantabria,Santander,Alisal - Cazoña - San Román,43.459956,-3.835437,4,True,True,,False,2.15,0.191,0.377
111008080,280000.0,308.0,5,2,countryHouse,casaDePueblo,Cantabria,Santa Cruz de Bezana,Bezana,43.4408676,-3.9077364,,,,,False,3.532,0.485,0.293
111007626,385000.0,104.0,3,2,flat,,Cantabria,Santander,Cuatro Caminos,43.4605962,-3.8252331,7,True,True,True,False,2.304,0.119,0.22
111005009,395000.0,86.0,3,2,flat,,Cantabria,Santander,Castilla - Hermida,43.4546348,-3.8166627,,True,True,True,False,2.66,0.094,0.068
111002761,122000.0,55.0,1,1,flat,,Cantabria,Santander,Peñacastillo - Nuevamontaña,43.4497254,-3.8495963,2,True,True,,False,3.207,0.605,0.218
108447092,166150.0,66.0,2,1,flat,,Cantabria,Santander,Castilla - Hermida,43.4529382,-3.8242627,1,,,,False,3.129,0.293,0.092
110999059,230000.0,67.0,3,1,flat,,Cantabria,Santander,General Dávila,43.4611341,-3.8270039,bj,True,False,,False,2.196,0.155,0.107
110995364,128000.0,70.0,2,1,flat,,Cantabria,El Astillero,,43.3977961,-3.8244517,3,True,False,,False,2.87,0.375,0.136
110990986,434900.0,102.0,2,1,flat,,Cantabria,Santander,Numancia - San Fernando,43.4601058,-3.8222034,2,True,True,,False,2.458,0.087,0.149
110982597,349000.0,91.0,3,2,flat,,Cantabria,Santander,Cuatro Caminos,43.4600753,-3.8249967,7,True,True,,False,2.365,0.08,0.177
110989590,175000.0,48.0,1,1,flat,,Cantabria,Santander,Numancia - San Fernando,43.4601666,-3.815375,4,True,False,,False,2.415,0.158,0.106
110986759,799000.0,216.0,3,2,chalet,independantHouse,Cantabria,Villaescusa,,43.3843168,-3.8070267,,,,True,False,4.141,1.298,0.944
110977184,473000.0,142.0,4,2,flat,,Cantabria,Santander,Alisal - Cazoña - San Román,43.4554395,-3.8350064,1,True,True,True,False,2.653,0.617,0.046
110970524,179900.0,63.0,2,1,flat,,Cantabria,Santander,Cuatro Caminos,43.4574387,-3.8226016,3,True,False,,False,2.711,0.233,0.11
110966888,672000.0,125.0,4,2,flat,,Cantabria,Santander,Numancia - San Fernando,43.4617597,-3.8195224,2,True,True,True,False,2.413,0.118,0.145
109326615,749000.0,391.0,5,3,chalet,independantHouse,Cantabria,Santa Cruz de Bezana,Mompia,43.4389408,-3.9181424,,,,True,False,3.582,0.725,0.491
111071348,330000.0,83.0,2,2,flat,,Cantabria,Castro-Urdiales,Centro,43.382014,-3.225833,1,True,True,True,False,0.534,0.294,0.238
111070513,440000.0,311.0,5,3,chalet,terracedHouse,Cantabria,Castro-Urdiales,Oriñón-Allendagua,43.3999793,-3.264662,,,,True,False,2.492,3.952,3.817
111062830,307000.0,116.0,3,2,flat,,Cantabria,Castro-Urdiales,Samano,43.3521184,-3.226508,1,True,True,True,False,2.722,0.744,1.614
111062411,299000.0,77.0,2,2,flat,,Cantabria,Castro-Urdiales,Centro,43.3853879,-3.220789,2,True,True,,False,0.193,0.173,0.158
111060018,586990.0,165.0,3,4,flat,duplex,Cantabria,Castro-Urdiales,Playa Ostende,43.3861003,-3.2243885,5,True,True,True,False,0.145,0.366,0.327
111057043,219000.0,60.0,2,2,flat,,Cantabria,Castro-Urdiales,Mioño-Santullán,43.3603353,-3.2023454,2,True,False,True,False,0.751,1.224,0.804
111045175,399000.0,110.0,3,2,flat,,Cantabria,Castro-Urdiales,Cotolino,43.3688838,-3.2002157,2,True,True,True,False,0.417,0.544,0.156
111041058,350000.0,112.0,3,2,flat,,Cantabria,Castro-Urdiales,Playa Ostende,43.3890317,-3.2333249,bj,True,True,True,False,0.649,1.145,1.027
111028760,360000.0,212.0,3,3,chalet,semidetachedHouse,Cantabria,Castro-Urdiales,Baltezana-Ontón,43.3414812,-3.1729498,,,,True,False,2.805,4.245,3.9
110997455,875000.0,187.0,5,2,flat,,Cantabria,Castro-Urdiales,Centro,43.3836635,-3.2186482,1,True,True,,False,0.209,0.111,0.036
110997755,399000.0,97.0,3,2,flat,,Cantabria,Castro-Urdiales,Cotolino,43.3726512,-3.2002418,3,True,True,True,False,0.254,0.525,0.363
111028321,284500.0,99.0,3,2,flat,,Cantabria,Castro-Urdiales,Centro,43.3806209,-3.2287583,1,True,True,,False,0.727,0.496,0.521
111026824,360000.0,212.0,3,3,chalet,terracedHouse,Cantabria,Castro-Urdiales,Baltezana-Ontón,43.3401219,-3.1728002,,,,True,False,2.945,4.37,4.001
111021273,360000.0,212.0,3,3,chalet,semidetachedHouse,Cantabria,Castro-Urdiales,Baltezana-Ontón,43.3527314,-3.1738569,,,,True,False,1.747,3.315,2.941
111015941,190000.0,71.0,2,1,flat,,Cantabria,Castro-Urdiales,Centro,43.3813382,-3.2184934,3,True,False,,False,0.104,0.087,0.23
111013574,260000.0,70.0,2,1,flat,penthouse,Cantabria,Castro-Urdiales,Brazomar,43.3640713,-3.2162642,4,True,True,True,False,1.183,0.502,0.41
111012263,495000.0,286.0,6,3,chalet,semidetachedHouse,Cantabria,Castro-Urdiales,Cotolino,43.3632449,-3.2154083,,,,True,False,1.256,0.612,0.305
111008857,178000.0,67.0,3,1,flat,,Cantabria,Castro-Urdiales,Centro,43.3838716,-3.2187427,4,True,False,,False,0.186,0.087,0.031
111002363,178000.0,67.0,3,1,flat,,Cantabria,Castro-Urdiales,Centro,43.3867113,-3.2173957,4,True,False,,False,0.155,0.259,0.299
29283462,360000.0,200.0,3,3,chalet,semidetachedHouse,Cantabria,Castro-Urdiales,Baltezana-Ontón,43.3425691,-3.1694574,,,,True,False,2.848,4.341,3.959
110955171,390000.0,240.0,4,2,chalet,independantHouse,Cantabria,Castro-Urdiales,Baltezana-Ontón,43.3398905,-3.1697593,,,,True,False,3.086,4.546,3.835
110995374,448000.0,130.0,3,2,flat,,Cantabria,Castro-Urdiales,Playa Ostende,43.3885718,-3.2297877,bj,True,True,True,False,0.37,0.878,0.784
110992842,260000.0,65.0,2,1,flat,penthouse,Cantabria,Castro-Urdiales,Brazomar,43.3647932,-3.2165718,4,True,True,True,False,1.113,0.418,0.477
110978051,380000.0,185.0,5,3,flat,duplex,Cantabria,Castro-Urdiales,Mioño-Santullán,43.3592859,-3.2025692,1,True,False,,False,0.83,1.333,0.823
110977397,380000.0,185.0,5,3,flat,,Cantabria,Castro-Urdiales,Mioño-Santullán,43.3608664,-3.2032862,1,True,False,,False,0.792,1.148,0.717
110976940,475000.0,263.0,4,4,chalet,terracedHouse,Cantabria,Castro-Urdiales,Mioño-Santullán,43.3490184,-3.2128665,,,,True,False,2.219,1.772,1.454
110974541,335000.0,67.0,2,1,flat,,Cantabria,Castro-Urdiales,Playa Ostende,43.3904341,-3.2239552,,True,True,,False,0.432,0.763,0.765
110954184,495000.0,251.0,5,5,chalet,terracedHouse,Cantabria,Castro-Urdiales,Samano,43.3638166,-3.2246012,,,,True,False,1.534,0.725,0.87
110953653,112000.0,56.0,1,1,flat,penthouse,Cantabria,Castro-Urdiales,Centro,43.3842115,-3.2179739,4,True,False,,False,0.151,0.087,0.046
110952829,498000.0,120.0,4,2,flat,,Cantabria,Castro-Urdiales,Cotolino,43.3723968,-3.2076686,4,True,True,True,False,0.178,0.194,0.168
110938133,115000.0,110.0,3,0,countryHouse,casaDePueblo,Cantabria,Castro-Urdiales,Samano,43.3588371,-3.2328217,,,,,False,2.391,0.176,1.722
110936000,279000.0,73.0,2,1,flat,,Cantabria,Castro-Urdiales,Playa Ostende,43.3901016,-3.2265864,bj,True,True,True,False,0.37,0.825,0.804
110929411,375000.0,100.0,3,2,flat,duplex,Cantabria,Castro-Urdiales,Brazomar,43.3747707,-3.2169906,3,True,True,True,False,0.385,0.433,0.479
108770351,385000.0,100.0,3,2,flat,penthouse,Cantabria,Castro-Urdiales,Centro,43.3842283,-3.2262083,6,True,True,True,False,0.289,0.416,0.25
110924544,410000.0,95.0,3,2,flat,,Cantabria,Castro-Urdiales,Playa Ostende,43.3843444,-3.2260792,6,True,True,True,False,0.275,0.407,0.247
110918503,750000.0,314.0,5,5,chalet,terracedHouse,Cantabria,Castro-Urdiales,Cotolino,43.368832,-3.2134374,,,,True,False,0.616,0.364,0.331
110909781,575000.0,232.0,5,2,chalet,independantHouse,Cantabria,Castro-Urdiales,Cotolino,43.3674486,-3.212654,,,,True,False,0.759,0.458,0.453
110815486,280000.0,60.0,1,1,flat,,Cantabria,Castro-Urdiales,Cotolino,43.3731972,-3.2018205,3,True,True,True,False,0.114,0.44,0.4
110898916,575000.0,232.0,5,2,chalet,independantHouse,Cantabria,Castro-Urdiales,Cotolino,43.3685336,-3.2144023,,,,,False,0.664,0.306,0.27
110894035,349000.0,220.0,3,3,chalet,independantHouse,Cantabria,Castro-Urdiales,Baltezana-Ontón,43.3525535,-3.1713658,,,,True,False,1.909,3.488,3.11
110886241,450000.0,212.0,4,3,chalet,terracedHouse,Cantabria,Castro-Urdiales,Cotolino,43.3688483,-3.1990867,,,,True,False,0.332,0.629,0.24
