propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,newDevelopmentHighlight,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,source_run
111081830,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/db/1f/70/1424791411.webp,zzm90759,18,2,900.0,flat,rent,100.0,True,3,2,calle Rucandial,Cantabria,Santander,Peñacastillo - Nuevamontaña,es,43.4580778,-3.8708849,False,https://www.idealista.com/inmueble/111081830/,4980,"Zazume te trae este DÚPLEX con BALCÓN y APARCAMIENTO en Santander. ¡Vivienda recién reformada con todos los electrodomésticos a estrenar! *Contrato de larga estancia (5 años) de obligado cumplimiento 2 años. No se aceptan mascotas. * En Zazume estaremos permanentemente a tu disposición para que tu hogar sea una experiencia inolvidable. ¡Alquila tu casa y dedícate a vivir! Este inmueble consta de: - 3 dormitorios - 2 cuartos de baño completos - salón - comedor - cocina equipada como frigorífico, lavadora, horno y microondas. Electrodomésticos nuevos a estrenar. - balcón Dentro de la propiedad hay sitio para aparcar el vehículo. Se alquila el dúplex que es la primera y segunda planta. Los gastos de comunidad son a cargo del propietario y los gastos variables a cargo del inquilino. Cerca de la vivienda, encontrarás un ambiente tranquilo y residencial. La zona está rodeada de parques, ideal para pasear o hacer ejercicio al aire libre. También hay varios comercios y supermercados donde puedes hacer tus compras diarias. A poca distancia, puedes disfrutar de una variedad de restaurantes y cafeterías que ofrecen opciones locales e internacionales. Las condiciones para alquilar son: - 1 mes de fianza - 1 mes de depósito adicional - El mes en curso - Se solicitará al inquilino que contrate un Seguro de Responsabilidad Civil Disponemos de una amplia cartera de pisos con diferentes características para cubrir todas tus necesidades. ¡Consúltanos sin compromiso y únete a la revolución del alquiler Zazume!",False,good,False,False,9.0,False,False,False,False,[],False,False,False,900.0,€/mes,flat,"Peñacastillo - Nuevamontaña, Santander",Piso en calle Rucandial,,,,,,,,rent_homes_run_20260405_140420
111078427,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/78/28/2f/1424689089.webp,ARS2775i,28,5,980.0,flat,rent,85.0,True,3,2,calle Gertrudis Gómez,Cantabria,Santander,Peñacastillo - Nuevamontaña,es,43.4391899,-3.8568401,False,https://www.idealista.com/inmueble/111078427/,2699,"¡Descubre este maravilloso piso de 85 metros cuadrados que combina comodidad y funcionalidad en un espacio pensado para tu bienestar! La vivienda cuenta con tres dormitorios amplios y luminosos, ideales para toda la familia. Dispone de dos baños completos, diseñados para mayor confort y privacidad. Este piso ha sido equipado con tecnología de aerotermia, garantizando eficiencia energética y ahorro en tus facturas. La cocina, completamente equipada y con lavavajillas incluido, te permitirá preparar tus mejores recetas con facilidad. Además, podrás disfrutar de un balcón, perfecto para relajarte y aprovechar las vistas en cualquier momento del día. La propiedad cuenta con calefacción individual, ventanas climalit que aíslan del ruido y las inclemencias del tiempo, suelo de tarima que aporta calidez y estilo, y un trastero para mayor comodidad. También dispone de garaje y ascensor, facilitando tu día a día. Semi-amueblado, listo para que puedas hacer de este piso tu nuevo hogar. No pierdas la oportunidad de vivir en un espacio moderno, bien equipado y con excelentes acabados. ¡Contáctanos y ven a visitarlo! No se aceptan mascotas. Ref: ARS2775i.",False,good,False,True,12.0,False,False,False,False,[],False,False,False,980.0,€/mes,flat,"Peñacastillo - Nuevamontaña, Santander",Piso en calle Gertrudis Gómez,True,True,,,,,,rent_homes_run_20260405_140420
111060573,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/89/df/17/1424103027.webp,86135,20,4,975.0,flat,rent,81.0,True,3,2,Peñacastillo - Nuevamontaña,Cantabria,Santander,Peñacastillo - Nuevamontaña,es,43.4399948,-3.8562375,False,https://www.idealista.com/inmueble/111060573/,2785,"¿Buscas un buen piso de alquiler zona Peñacastillo en Santander. Edificio obra nueva año 2025. , con sistema de calefacción y agua caliente con sistema de Aerotermia. ¡Este te va a encantar! Lo tiene.. . todo! Urbanización de nueva construcción a estrenar. , todos los servicios a pie de calle, centros comerciales (Corte ingles, Carrefur) supermercados, autobuses, tren, centro de salud y un buen gimnasio en la zona con amplias zonas verdes si lo que te gusta es el deporte al aire libre o simplemente pasear sin el bullicio urbano. En un edificio con ascensores sin barreras con tu propia plaza de garaje y 1 trastero. Dispone de 1ª habitación dormitorio amueblado, la 2ª habitación con armario empotrado y una 3ª habitación ideal para los que trabajan desde casa, salón comedor amueblado, cocina moderna y totalmente equipada, dos baños con ducha. Vivienda Moderna y mobiliario de estilo minimalista a estrenar. No pierdas la oportunidad y ven a conocerlo con un comercial de San Fernando.",False,good,False,True,12.0,False,False,False,False,[],False,False,False,975.0,€/mes,flat,"Peñacastillo - Nuevamontaña, Santander",Piso,True,True,,,,,,rent_homes_run_20260405_140420
111051080,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/02/70/e9/1423805266.webp,,17,1,750.0,flat,rent,40.0,True,1,1,calle Lavapiés,Cantabria,Santander,Alisal - Cazoña - San Román,es,43.4646114,-3.8419017,False,https://www.idealista.com/inmueble/111051080/,5602,"////A Sólo 1,4 kilometros del hospital de Valdecilla///// ****NO SE ADMITEN MASCOTAS*** IDEAL 1 PERSONA POR EL TAMAÑO DE ARMARIO ***** ¡Descubre este encantador piso de 40 m² que te espera! Situado a un paso de la S20, este espacio es perfecto para quienes buscan comodidad y funcionalidad. Con un dormitorio luminoso y un baño bien distribuido, cada rincón está diseñado para maximizar tu bienestar.  La primera planta ofrece acceso fácil gracias al ascensor, y su calefacción garantiza un ambiente agradable durante todo el año. Este piso de segunda mano se encuentra en buen estado, listo para ser habitado y convertirse en tu refugio ideal. No dejes pasar la oportunidad de vivir en un lugar que combina accesibilidad, funcionalidad y calidez. Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",True,good,False,True,19.0,False,False,False,False,[],False,False,False,750.0,€/mes,flat,"Alisal - Cazoña - San Román, Santander",Piso en calle Lavapiés,,,,,,,,rent_homes_run_20260405_140420
111051186,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/33/b7/62/1423806528.webp,2903-80021-VARGAS,7,1,800.0,flat,rent,65.0,True,2,1,calle Vargas,Cantabria,Santander,Numancia - San Fernando,es,43.4599664,-3.8182961,False,https://www.idealista.com/inmueble/111051186/,5771,"VARGAS (Arco Iris) piso con terraza, junto a la Alameda de Oviedo. NO se admiten mascotas. Ideal para una parejita.  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,12.0,False,False,False,False,[],False,False,False,800.0,€/mes,flat,"Numancia - San Fernando, Santander",Piso en calle Vargas,,,,,,,,rent_homes_run_20260405_140420
111051191,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/55/40/ab/1423807296.webp,2903-87521-LOPEZ,19,5,950.0,flat,rent,90.0,True,2,1,calle Antonio López,Cantabria,Santander,Castilla - Hermida,es,43.4565454,-3.8077336,False,https://www.idealista.com/inmueble/111051191/,5940,"Piso Vacio en primera línea de la Bahía con terracita al Sur. Oportunidad. Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,11.0,False,False,False,False,[],False,False,False,950.0,€/mes,flat,"Castilla - Hermida, Santander",Piso en calle Antonio López,,,,,,,,rent_homes_run_20260405_140420
100279814,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d9/09/58/1100847842.webp,ARS2335i,25,2,850.0,flat,rent,68.0,True,2,1,calle Alta,Cantabria,Santander,Cuatro Caminos,es,43.4586978,-3.8209778,False,https://www.idealista.com/inmueble/100279814/,5542,"Descubre este encantador piso de 68 metros cuadrados situado en la Calle Alta. La propiedad cuenta con dos dormitorios y un baño completo, ideal para familias o parejas que buscan comodidad y funcionalidad. Totalmente amueblado, el piso ofrece un ambiente acogedor y listo para entrar a vivir. La cocina americana, equipada con electrodomésticos modernos, se integra perfectamente en el espacio, creando un ambiente diáfano y luminoso. Disfruta de un balcón exterior, perfecto para relajarse o compartir momentos con amigos. La calefacción de gas natural individual garantiza confort durante todo el año, mientras que las ventanas de climalit proporcionan aislamiento térmico y acústico. El suelo de tarima añade un toque cálido y elegante a la vivienda. Ubicado en una zona privilegiada, este piso combina comodidad, estilo y funcionalidad en un entorno privilegiado. No se aceptan mascotas. ¡No dudes en contactarnos para más información y concertar una visita! Ref: ARS2335i.",False,good,False,False,13.0,True,False,False,False,[],False,False,False,850.0,€/mes,flat,"Cuatro Caminos, Santander",Piso en calle Alta,,,,,,,,rent_homes_run_20260405_140420
111051309,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/04/25/f2/1423809858.webp,,9,3,1300.0,flat,rent,110.0,True,3,2,calle los Abedules,Cantabria,Santander,Alisal - Cazoña - San Román,es,43.4580268,-3.8525515,False,https://www.idealista.com/inmueble/111051309/,4785,"Alisal, ideal para estudiantes de medicina o de la universidad del atlántico. ///// NO SE ALQUILA PARA FIJO ///// Disponible desde septiembre de 2026 a junio 2027. Alquiler dirigido a estudiantes o profesionales desplazados con contrato temporal. Por normativa vigente, es obligatorio justificar la temporalidad del arrendamiento. *Por favor, abstenerse quienes busquen alquiler para residencia permanente**  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,12.0,False,False,False,False,[],False,False,False,1300.0,€/mes,flat,"Alisal - Cazoña - San Román, Santander",Piso en calle los Abedules,True,True,,,,,,rent_homes_run_20260405_140420
111051339,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9b/e9/f7/1423809336.webp,,30,6,1300.0,flat,rent,140.0,True,3,2,calle San Fernando,Cantabria,Santander,Cuatro Caminos,es,43.4612835,-3.8204802,False,https://www.idealista.com/inmueble/111051339/,5814,"Piso alto, soleado al Sur, pequeña terracita. 2 camas de matrimonio y un tercer dormitorio con 2 camas. *NO SE ADMITEN MASCOTAS Ideal matrimonio maduro o personal funcionario, ingeniería, sanidad, etc. ….  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",True,good,False,True,9.0,False,False,False,False,[],False,False,False,1300.0,€/mes,flat,"Cuatro Caminos, Santander",Piso en calle San Fernando,,,,,,,,rent_homes_run_20260405_140420
111042630,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bb/37/bd/1423565440.webp,,29,8,900.0,flat,rent,61.0,True,2,1,"CAMILO ALONSO VEGA, 4",Cantabria,Santander,Cuatro Caminos,es,43.4589617,-3.8262724,True,https://www.idealista.com/inmueble/111042630/,5376,,False,good,False,True,15.0,False,False,False,False,[],False,False,False,900.0,€/mes,flat,"Cuatro Caminos, Santander","Piso en Camilo Alonso Vega, 4",,,,,,,,rent_homes_run_20260405_140420
