anunciante;titulo;municipio;precio_eur;precio_anterior_eur;descuento_pct;superficie_m2;tipo_suelo;referencia_catastral;notas;vendido_con_descuento;es_urbano_o_urbanizable;precio_m2
Exclusivas inmobiliarias mikeli;Barrio Llanilla, Alisal - Cazoña - San Román, Santander;Santander;430000;;;972.0;;;;False;False;442.38683127572017
MENA INMOBILIARIA;Oruña, Piélagos;Piélagos;139000;;;965.0;Urbano (solar);;Edificabilidad 200 m²;False;True;144.04145077720207
Grupo Inmobiliario Tribeca;Peñacastillo - Nuevamontaña, Santander;Santander;169000;;;650.0;Urbano (solar);;5 parcelas;False;True;260.0
Exclusivas inmobiliarias mikeli;Calle de la Arnia, Soto de la Marina, Santa Cruz de Bezana;Santa Cruz de Bezana;1290000;;;3217.0;Urbano (solar);;Parcela urbana;False;True;400.9947155735157
Exclusivas inmobiliarias mikeli;Calle Barrio San Roque, Polanco;Polanco;80000;;;1668.0;Urbano (solar);;820 urbanos + 848 rústicos;False;True;47.961630695443645
Exclusivas inmobiliarias mikeli;Avenida Playa San Juan de la Canal, Soto de la Marina, Santa Cruz de Bezana;Santa Cruz de Bezana;1500000;;;6518.0;Urbano (solar);;3.433 urbanos;False;True;230.13194231359313
Bahía Home;Barrio la Venera, Oruña, Piélagos;Piélagos;98000;;;4507.0;Urbanizable;;Licencia + proyecto;False;True;21.74395384956734
Distrito inmobiliario;Barrio Mar, 87 --81, Polanco;Polanco;132000;140000.0;6.0;2210.0;Urbano (solar);;Licencia + proyecto básico;True;True;59.72850678733032
RE/MAX Vértice;Sv-4713, 12, Miengo;Miengo;300000;;;6548.0;No urbanizable;;Proyecto hotel canino;False;False;45.815516188149054
RE/MAX Vértice;Barrio la Picota, 38 a, Renedo, Piélagos;Piélagos;69000;;;413.0;Urbano (solar);;;False;True;167.07021791767554
Engel & Völkers Santander;Los Pumares, 9, Santillana del Mar;Santillana del Mar;150000;;;5343.0;Urbano (solar);39076A001ZP;;False;True;28.07411566535654
LOCALIA INMOBILIARIA;Barrio la Canal, 9, Oruña, Piélagos;Piélagos;175000;;;2436.0;Urbano (solar);;Edificabilidad 1547 m²t;False;True;71.83908045977012
RE/MAX Vértice;Barrio el Perujo, Arce, Piélagos;Piélagos;499900;;;10800.0;Urbano (solar);;7.900 urbanos + casa;False;True;46.28703703703704
Engel & Völkers Santander;Carretera Hinojedo-Puente Avios, Suances;Suances;315000;;;6692.0;Urbanizable;;;False;True;47.07112970711297
Espazio Inmobiliario;Ca-232, Oruña, Piélagos;Piélagos;113000;;;1017.0;Urbano (solar);;;False;True;111.11111111111111
Engel & Völkers Santander;Avenida Juan de Herrera, s/n, Maoño, Santa Cruz de Bezana;Santa Cruz de Bezana;115000;;;885.0;Urbanizable;;;False;True;129.94350282485877
