Año	Mes	Valor
2026	Febrero	2,226%
2026	Enero	2,245%
2025	Diciembre	2,267%
2025	Noviembre	2,217%
2025	Octubre	2,185%
2025	Septiembre	2,172%
2025	Agosto	2,112%
2025	Julio	2,079%
2025	Junio	2,081%
2025	Mayo	2,08%
2025	Abril	2,143%
2025	Marzo	2,398%
2025	Febrero	2,402%
2025	Enero	2,526%
2024	Diciembre	2,433%
2024	Noviembre	2,506%
2024	Octubre	2,686%
2024	Septiembre	2,94%
2024	Agosto	3,169%
2024	Julio	3,526%
2024	Junio	3,65%
2024	Mayo	3,68%
2024	Abril	3,702%
2024	Marzo	3,716%
2024	Febrero	3,671%
2024	Enero	3,609%
2023	Diciembre	3,679%
2023	Noviembre	4,022%
2023	Octubre	4,16%
2023	Septiembre	4,149%
2023	Agosto	4,073%
2023	Julio	4,149%
2023	Junio	4,007%
2023	Mayo	3,862%
2023	Abril	3,757%
2023	Marzo	3,647%
2023	Febrero	3,534%
2023	Enero	3,337%
2022	Diciembre	3,018%
2022	Noviembre	2,828%
2022	Octubre	2,629%
2022	Septiembre	2,233%
2022	Agosto	1,249%
2022	Julio	0,992%
2022	Junio	0,852%
2022	Mayo	0,287%
2022	Abril	0,013%
2022	Marzo	-0,237%
2022	Febrero	-0,335%
2022	Enero	-0,477%
2021	Diciembre	-0,502%
2021	Noviembre	-0,487%
2021	Octubre	-0,477%
2021	Septiembre	-0,492%
2021	Agosto	-0,498%
2021	Julio	-0,491%
2021	Junio	-0,484%
2021	Mayo	-0,481%
2021	Abril	-0,484%
2021	Marzo	-0,487%
2021	Febrero	-0,501%
2021	Enero	-0,505%
2020	Diciembre	-0,497%
2020	Noviembre	-0,481%
2020	Octubre	-0,466%
2020	Septiembre	-0,415%
2020	Agosto	-0,359%
2020	Julio	-0,279%
2020	Junio	-0,147%
2020	Mayo	-0,081%
2020	Abril	-0,108%
2020	Marzo	-0,266%
2020	Febrero	-0,288%
2020	Enero	-0,253%
2019	Diciembre	-0,261%
2019	Noviembre	-0,272%
2019	Octubre	-0,307%
2019	Septiembre	-0,339%
2019	Agosto	-0,355%
2019	Julio	-0,282%
2019	Junio	-0,189%
2019	Mayo	-0,129%
2019	Abril	-0,112%
2019	Marzo	-0,109%
2019	Febrero	-0,108%
2019	Enero	-0,116%
2018	Diciembre	-0,129%
2018	Noviembre	-0,147%
2018	Octubre	-0,154%
2018	Septiembre	-0,166%
2018	Agosto	-0,169%
2018	Julio	-0,18%
2018	Junio	-0,182%
2018	Mayo	-0,188%
2018	Abril	-0,19%
2018	Marzo	-0,191%
2018	Febrero	-0,191%
2018	Enero	-0,189%
2017	Diciembre	-0,19%
2017	Noviembre	-0,189%
2017	Octubre	-0,18%
2017	Septiembre	-0,168%
2017	Agosto	-0,156%
2017	Julio	-0,154%
2017	Junio	-0,149%
2017	Mayo	-0,127%
2017	Abril	-0,119%
2017	Marzo	-0,11%
2017	Febrero	-0,106%
2017	Enero	-0,095%
2016	Diciembre	-0,08%
2016	Noviembre	-0,074%
2016	Octubre	-0,069%
2016	Septiembre	-0,057%
2016	Agosto	-0,048%
2016	Julio	-0,056%
2016	Junio	-0,028%
2016	Mayo	-0,013%
2016	Abril	-0,01%
2016	Marzo	-0,012%
2016	Febrero	-0,008%
2016	Enero	0,042%
2015	Diciembre	0,059%
2015	Noviembre	0,079%
2015	Octubre	0,128%
2015	Septiembre	0,154%
2015	Agosto	0,161%
2015	Julio	0,167%
2015	Junio	0,163%
2015	Mayo	0,165%
2015	Abril	0,18%
2015	Marzo	0,212%
2015	Febrero	0,255%
2015	Enero	0,298%
2014	Diciembre	0,329%
2014	Noviembre	0,335%
2014	Octubre	0,338%
2014	Septiembre	0,362%
2014	Agosto	0,469%
2014	Julio	0,488%
2014	Junio	0,513%
2014	Mayo	0,592%
2014	Abril	0,604%
2014	Marzo	0,577%
2014	Febrero	0,549%
2014	Enero	0,562%
2013	Diciembre	0,543%
2013	Noviembre	0,506%
2013	Octubre	0,541%
2013	Septiembre	0,543%
2013	Agosto	0,542%
2013	Julio	0,525%
2013	Junio	0,507%
2013	Mayo	0,484%
