propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,newDevelopmentHighlight,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,floor,exterior,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
110695153,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/db/c0/2e/1412634777.webp,13,800.0,studio,rent,40.0,0,1,calle la Universidad,Cantabria,Santander,Los Castros,es,43.4706118,-3.795827,False,https://www.idealista.com/inmueble/110695153/,9206,"Este estudio completamente amueblado se alquila en Santander. La propiedad cuenta con calefacción eléctrica y cocina equipada con horno. Todos los servicios, como agua, electricidad, gas y wifi, están incluidos en el precio del alquiler. Ubicado en Santander, el apartamento está cerca de varios puntos de interés, como el restaurante Kali Sushi, el Café Bar Las Torres, el mercado del Día y el restaurante latinoamericano Budarepazo. La vibrante zona ofrece una gran variedad de opciones gastronómicas y comerciales, perfectas para disfrutar de la vida urbana.",False,good,False,False,20.0,False,False,False,False,[],False,False,False,800.0,€/mes,flat,studio,"Los Castros, Santander",Estudio en calle la Universidad,,,,,,,,,
110690044,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2f/1a/92/1412474059.webp,16,890.0,flat,rent,82.0,2,1,BO POZO (EL),Cantabria,Piélagos,Boo,es,43.4325785,-3.9462682,False,https://www.idealista.com/inmueble/110690044/,3652,"Descubre este encantador BAJO CON JARDIN ubicada en la tranquila zona de Boo, perfecto para disfrutar del confort y la tranquilidad y jardin. NO SE ADMITEN MASCOTAS Cuenta con dos aamplias y acogedoras habitaciones ideales para familias pequeñas o como espacio adicional para invitados. Su impecable estado asegura un hogar listo para habitar desde el primer día. La propiedad se encuentra orientada al sur lo que garantiza luminosidad durante todo el año. Además, podrás disfrutar de un muy amplio jardín con barbacoa. Disfruta también de garaje y trastero ncluidos en el precio. La ubicación es inmejorable gracias a su buena comunicación por su cercanía a la estación de tren y a la salida de la autovía Santander-Torrelavega. El precio de alquiler INCLUYE los gastos de comunidad NO HAY HONORARIOS DE AGENCIA PARA EL ARRENDATARIO No dude en solicitar información o una visita, respondiendo a éste anuncio, llamándonos, o acercándose a cualquiera de nuestras Oficinas DE ACERO INMOBILIARIA -En Santander, en la Calle Juan de Herrera 8 ( junto al Ayuntamiento). -En Soto de la Marina, en Avenida Marques de Valdecilla 97.",False,good,False,False,11.0,False,False,False,False,[],False,False,False,890.0,€/mes,flat,,"Boo, Piélagos",Piso en Bo Pozo (el),ACR-01952,bj,True,True,True,,,,
99811129,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c4/14/00/1294191300.webp,35,890.0,flat,rent,72.0,3,1,calle los Caños,Cantabria,Santander,General Dávila,es,43.4656222,-3.8121106,False,https://www.idealista.com/inmueble/99811129/,7783,"Housfy alquila � piso en Santander. La propiedad cuenta con 72 m² de superficie útil (verificados con la Dirección General de Catastro). Distribución de estancias: AMUEBLADO CON ELECTRODOMESTICOS 3 Dormitorios 1 Baño Salón-comedor Cocina Sin ascensor Características específicas: Vistas a la montaña Vistas a la ciudad Parquet Plaza de garaje INCLUIDA EN EL PRECIO Exterior Comunidad e IBI incluido! Sobre la zona: Ubicado en Centro - Ayuntamiento, Santander. Zona comunicada y próxima a paradas de transporte público. Condiciones adicionales: 1 mes de fianza + 2 meses de garantía adicional Forma de actualización de la renta: IPC y, en su defecto el que sea aplicable según normativa vigente (a día de hoy, IRAV). Plazo del arrendamiento: 1 año prorrogable obligatoriamente por plazos anuales hasta que el arrendamiento alcance una duración mínima de 5 años, de conformidad con el art. 9 LAU (7 años en caso de que el arrendador sea persona jurídica) ¿Quieres visitarlo? Contacta con Housfy y agenda tu visita sin compromiso. Más información en: housfy. com Housfy es una plataforma tecnológica que ofrece al propietario/a todos los servicios necesarios para que pueda alquilar la propiedad por su cuenta. Para tu seguridad, nunca cobramos honorarios ni reservas de inmuebles en alquiler antes de la firma del contrato de reserva. Para más información, visítanos en housfy. com. AICAT número: 7922.",True,good,False,False,12.0,False,False,False,False,[],False,False,False,890.0,€/mes,flat,,"General Dávila, Santander",Piso en calle los Caños,645047,5,True,True,True,,,,
110689824,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/05/6b/99/1412466015.webp,9,780.0,flat,rent,64.0,1,1,"calle San Fernando, 16",Cantabria,Santander,Numancia - San Fernando,es,43.460766,-3.819301,True,https://www.idealista.com/inmueble/110689824/,7070,"ALQUILER FIJO  Vivienda con estupenda situación céntrica, no lejos del Hospital de Valdecilla. Muy luminoso. Cuenta con portero fisico, ascensor y calefacción. Distribuido en hall, un dormitorio, baño y salón de concepto abierto con la cocina. Venga a visitarnos a nuestra oficina en Santander en la calle Juan de Herrera nº 3, en Santander.  .",False,good,False,True,12.0,False,False,False,False,[],False,False,False,780.0,€/mes,flat,,"Numancia - San Fernando, Santander","Piso en calle San Fernando, 16",SA1528,3,,,,,,,
110687546,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/22/52/d5/1412388962.webp,54,1400.0,flat,rent,132.0,3,2,calle Navas de Tolosa,Cantabria,Santander,Centro - Ayuntamiento,es,43.4592351,-3.8074869,False,https://www.idealista.com/inmueble/110687546/,7952,"Se ofrece en alquiler magnífico piso situado en pleno centro de Santander, a escasos metros de la estación de autobuses y muy próximo a la estación de tren. Una ubicación privilegiada que permite disfrutar de la ciudad con total comodidad. La vivienda destaca por su amplitud, excelente distribución, modernidad y calidades. Consta de tres habitaciones muy espaciosas, sobresaliendo la suite principal, que dispone de vestidor, baño propio y acceso directo a una agradable terraza, creando un espacio íntimo y especialmente confortable. La cocina, abierta y de diseño moderno, se integra armoniosamente con un salón con comedor, amplio y acogedor, ideal tanto para el día a día como para recibir invitados. Cada estancia ha sido concebida para ofrecer funcionalidad, elegancia y bienestar. La ubicación es, sin duda, uno de sus mayores atractivos: todos los servicios y comercios se encuentran a pocos pasos, así como enclaves emblemáticos como la bahía de Santander, el Centro Botín y los Jardines de Pereda, permitiendo disfrutar del entorno urbano, cultural y natural en un entorno inmejorable. Una oportunidad excepcional para quienes buscan calidad de vida, comodidad y el privilegio de residir en el centro neurálgico de la ciudad. Exclusivas Inmobiliarias Mikeli, más inmuebles en la zona. Mikeli Luxury Real Estate, la cartera más selecta de Cantabria.  **Inmueble en exclusiva. Para más información, contacte con la agencia. Se ruega no molestar a propietarios u ocupantes. **.",False,good,False,True,11.0,False,False,False,False,[],False,False,False,1400.0,€/mes,flat,,"Centro - Ayuntamiento, Santander",Piso en calle Navas de Tolosa,22419,1,True,,,,,,
94506986,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c6/c1/47/1409245658.webp,17,800.0,flat,rent,68.0,2,1,calle Cardenal Cisneros,Cantabria,Santander,General Dávila,es,43.4629094,-3.8202511,False,https://www.idealista.com/inmueble/94506986/,7065,"Se alquila acogedor piso completamente amueblado en zona tranquila. Muy bien situado, próximo al Hospital de Valdecilla y Plaza Numancia.  Se distribuye en salón-comedor, cocina independiente equipada, 2 amplios dormitorios y baño con plato de ducha. Completamente reformado. Dispone también de calefacción de gas natural, suelos de parquet, ventanas de PVC oscilobatientes. Muy bien distribuido. Se pide demostración de ingresos para seguro de alquiler. Para más información o concertar una visita, contacte con nosotros, estaremos encantados de atenderle.",False,good,False,False,12.0,False,False,False,False,[],False,False,False,800.0,€/mes,flat,,"General Dávila, Santander",Piso en calle Cardenal Cisneros,MVR493,1,True,,,,,,
110679255,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7a/29/77/1412142450.webp,6,1000.0,chalet,rent,60.0,2,1,calle de la Arnia,Cantabria,Santa Cruz de Bezana,Soto de la Marina,es,43.4648434,-3.9054179,False,https://www.idealista.com/inmueble/110679255/,2377,"*ES UN CHALET CON APARCAMIENTO PRIVADO* ///// NO SE ALQUILA PARA FIJO /////. Alquiler dirigido a estudiantes o profesionales desplazados con contrato temporal. (NO TURISMO) Por normativa vigente, es obligatorio justificar la temporalidad del arrendamiento. Por favor, abstenerse quienes busquen alquiler para residencia permanente*  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,,17.0,False,False,False,False,[],False,False,False,1000.0,€/mes,chalet,independantHouse,"Soto de la Marina, Santa Cruz de Bezana",Casa independiente en calle de la Arnia,1802-37-10002-ARNIA-NOFIJO,,,True,True,,,,
110679069,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0d/dc/77/1412138264.webp,13,1065.0,flat,rent,120.0,3,2,calle Lavapiés,Cantabria,Santander,Alisal - Cazoña - San Román,es,43.4634733,-3.8430727,False,https://www.idealista.com/inmueble/110679069/,5366,"///// NO SE ALQUILA PARA FIJO ///// Disponible hasta junio 2026. Alquiler dirigido a estudiantes o profesionales desplazados con contrato temporal. Por normativa vigente, es obligatorio justificar la temporalidad del arrendamiento. Por favor, abstenerse quienes busquen alquiler para residencia permanente* ////// DE SEPT A JUNIO DE 2027 SON 1100 EUROS//////  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,9.0,False,False,False,False,[],False,False,False,1065.0,€/mes,flat,,"Alisal - Cazoña - San Román, Santander",Piso en calle Lavapiés,1802-106532-LAVAPIES-ESCOLAR,1,True,,,,,,
110682400,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0a/65/40/1412226685.webp,17,650.0,flat,rent,40.0,1,1,"calle Doctor Enrique Oti, 6",Cantabria,Suances,,es,43.4342948,-4.0441243,True,https://www.idealista.com/inmueble/110682400/,11391,"Se alquila apartamento de un dormitorio, salón, cocina y un baño en la playa de La Concha en Suances. El edificio cuenta con ascensor.   Alquiler para fijo 650EUR/mes.   NO SE ADMITEN MASCOTAS.",False,good,False,True,16.0,False,False,False,False,[],False,False,False,650.0,€/mes,flat,,Suances,"Piso en calle Doctor Enrique Oti, 6",V2276,1,True,,,,,,
110680894,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/87/60/ef/1412181128.webp,25,950.0,flat,rent,106.0,3,2,CL LUIS VICENTE VELASCO,Cantabria,Santander,Alisal - Cazoña - San Román,es,43.4574987,-3.8369262,False,https://www.idealista.com/inmueble/110680894/,5602,"¡Descubre tu nuevo hogar en esta vivienda situada en una fantástica urbanización privada! . Con 106 m² de espacio bien distribuido, este piso en alquiler ofrece un hall de entrada acogedor que te dará la bienvenida. Disfruta de tres amplios dormitorios con armarios empotrados que brindan un excelente almacenamiento. El cuarto de baño y el aseo, ambos recién renovados, aportan un toque moderno y funcional. Cuenta con una galería cerrada. La cocina equipada cuenta con un tendedero techado, ideal para mantener la ropa a cubierto. El salón comedor, luminoso y espacioso, se abre a una terraza orientada al sur, perfecta para disfrutar del sol y las vistas.  Con suelos de madera y ventanas oscilobatientes nuevas, la vivienda combina confort y estilo.  Además, incluye plaza de garaje y trastero sin coste adicional. Ubicada muy cerca del Hospital Valdecilla y rodeada de todo tipo de servicios, esta propiedad es perfecta para quienes buscan comodidad y calidad de vida.  No pierdas la oportunidad de vivir en un entorno privilegiado, donde cada detalle ha sido cuidado para ofrecerte el hogar que mereces. ¡Ven a visitarlo y enamórate! . Si quieres más información ponte en contacto con A3b Gestión Inmobiliaria, te guiaremos y asesoraremos en todo el proceso de compra.  Siéguenos en Instagram y Facebook!.",False,good,False,True,9.0,False,False,False,False,[],False,False,False,950.0,€/mes,flat,,"Alisal - Cazoña - San Román, Santander",Piso en CL Luis Vicente Velasco,1179,3,True,True,True,,,,
