propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,newDevelopmentHighlight,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology
110869378,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/89/c8/d4/1418028990.webp,5260,13,1,1000.0,flat,rent,80.0,True,2,2,calle Emilio Pino,Cantabria,Santander,Centro - Ayuntamiento,es,43.4600693,-3.810877,False,https://www.idealista.com/inmueble/110869378/,7841,"Distrito Inmobiliario alquila este fantástico piso sito en la calle Emilio Pino, entre la calle Lealtad e Isabel II, en pleno centro de la ciudad. Está distribuido en 2 habitaciones con armarios empotrados, salón, cocina completamente equipada y amueblada y 2 baños completos. Se alquila vacío, sin muebles. Dispone de calefacción individual de gas. El edificio cuenta con ascensor. Se solicita un mes de fianza y superar un estudio de solvencia económica.",False,good,False,True,13.0,False,False,False,False,[],False,False,False,1000.0,€/mes,flat,"Centro - Ayuntamiento, Santander",Piso en calle Emilio Pino,,,,,,,
110868932,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/39/88/88/1418015810.webp,ALPS791.1,24,1,1200.0,flat,rent,110.0,True,3,2,avenida de Valdecilla,Cantabria,Santander,Cuatro Caminos,es,43.4564221,-3.8271753,False,https://www.idealista.com/inmueble/110868932/,6552,"Pyso ALQUILA esta vivienda prácticamente a estrenar, en la Glorieta de Cuatro Caminos de Santander. Se trata de un amplio piso, de 3 dormitorios todos ellos con armario y el dormitorio principal con salida a balcón, salón con cocina americana totalmente amueblada y amueblada, y dos baños con plato de ducha. Vivienda con calefacción individual por gas natural y suelos de parquet. Piso en perfecto estado de conservación y muy luminoso. Edificio dotado con ascensor. Listo para entrar. Posibilidad de alquiler de plaza de garaje en el mismo edificio por 100€ ADICIONALES PRECIO 1.200€ El arrendamiento quedará sujeto a la contratación de seguro de impago de rentas y a la entrega de dos mensualidades en concepto de fianza Consúltenos y le ampliaremos información o concerte una visita a la propiedad. NO SE ARREPENTIRÁ! Nos adaptamos a sus necesidades En buenas manos.",False,good,False,True,11.0,False,False,False,False,[],False,False,False,1200.0,€/mes,flat,"Cuatro Caminos, Santander",Piso en avenida de Valdecilla,True,False,100.0,,,,
110868859,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b7/60/70/1418013373.webp,65073995_1,45,4,1000.0,flat,rent,81.0,True,2,2,"calle Roy Garcia de Santander, 21",Cantabria,Santander,Alisal - Cazoña - San Román,es,43.4632299,-3.8431446,True,https://www.idealista.com/inmueble/110868859/,5235,"� Piso de Lujo en Alquiler – Santander � Precio: 1.000 €/mes � Habitaciones: 2 dobles � Baños: 2 completos � Orientación: Sureste � Incluye: Garaje � Calefacción: Gas natural � Estado: Amueblado de lujo � Cocina: Independiente totalmente equipada ✨ Descripción: Vive con estilo en este piso de lujo de 2 habitaciones dobles y 2 baños, diseñado para familias o profesionales que busquen confort, espacio y elegancia. La orientación sureste garantiza luz natural durante todo el día �. Cocina independiente moderna � y salón elegante y acogedor �, listo para disfrutar de cada momento. � Garaje privado incluido y calefacción de gas natural � para tu máxima comodidad. Amueblado con gusto, listo para entrar a vivir y sentir la sensación de hogar desde el primer día. � Ideal para: Familias que valoren espacio, confort y estilo ���� Profesionales que busquen tranquilidad y una vivienda exclusiva � Parejas que quieran un hogar luminoso y elegante ❤️ � Zona y comunicaciones: Situado en El Albericia, con acceso rápido a la S-20 y la A-67 �, conectando fácilmente con Santander y Cantabria. A solo 5-7 minutos en coche del centro de Santander �, ideal para ocio y trabajo. Próximo a supermercados �, colegios �, centros de salud � y zonas verdes �. Transporte público cercano con paradas de autobús a pocos metros �. � ¡Un piso de lujo, cómodo, luminoso y con todas las comodidades listas para ti! Contacta y ven a visitarlo hoy mismo.",False,good,False,True,12.0,False,False,False,False,[],False,False,False,1000.0,€/mes,flat,"Alisal - Cazoña - San Román, Santander","Piso en calle Roy Garcia de Santander, 21",True,True,,,,,
110868503,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/b0/7c/1418000839.webp,G02263,34,2,870.0,flat,rent,71.0,True,2,2,Numancia - San Fernando,Cantabria,Santander,Numancia - San Fernando,es,43.4624114,-3.8179147,False,https://www.idealista.com/inmueble/110868503/,7270,"EXCLUSIVO PARA PERSONAL SANITARIO. Descubre este encantador piso situado en pleno centro de Santander, ubicado a menos de 5 min de las paradas de autobús �. Y a pocos pasos encontrarás supermercados y diversos comercios. Esta propiedad cuenta con dos amplias habitaciones, un dormitorio principal con cama doble y un segundo dormitorio con cama individual, ambos con armarios empotrados. El baño está incluye bañera, y además cuenta con un aseo adicional. La cocina es amplia y funcional, incluye horno, microondas, vitrocerámica, un gran frigorífico y lavadora. El salón es espacioso y sus grandes ventanales aportan gran luz natural. Además cuenta con mesa comedor perfecta para reuniones. Esta es tu propiedad ideal si buscas cercanía y espacio. ¡No pierdas la oportunidad! � Dada la demanda actual, las visitas se realizarán exclusivamente en jornadas programadas y siguiendo un riguroso orden de contacto. Se sugiere máxima antelación para garantizar disponibilidad en los horarios establecidos. Nota: El acceso a la visita está sujeto al cumplimiento previo de los requisitos imprescindibles y disponibilidad del equipo comercial. TRANSPARENCIA GESTIÓN INMOBILIARIA: - No se admiten mascotas. - Sujeto a decisión última del cliente propietario. - Imprescindible seguro de alquiler. - Honorarios inmobiliarios incluidos en el precio. - Consultar resto de condiciones.",False,good,False,True,12.0,True,False,True,False,[],False,False,False,870.0,€/mes,flat,"Numancia - San Fernando, Santander",Piso,,,,,,,
110863133,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c8/8e/e2/1417826424.webp,,11,2,975.0,flat,rent,80.0,True,2,2,calle Consuelo Bergés,Cantabria,Santander,Valdenoja,es,43.4791215,-3.7968013,False,https://www.idealista.com/inmueble/110863133/,9172,"En lo mejor de Valdenoja, piso amplio de 2 habitaciones, salón, 2 baños. Zona de fácil aparcamiento.  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,12.0,False,False,False,False,[],False,False,False,975.0,€/mes,flat,"Valdenoja, Santander",Piso en calle Consuelo Bergés,,,,,,,
110865386,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fe/35/5d/1417890339.webp,,15,1,2600.0,flat,rent,146.0,True,4,3,AV INFANTES,Cantabria,Santander,El Sardinero,es,43.470909,-3.785939,False,https://www.idealista.com/inmueble/110865386/,9899,"Exclusivo piso de lujo a estrenar en alquiler en el Sardinero, a pocos metros de la playa. Ubicado en una de las zonas más prestigiosas de El Sardinero, este elegante piso de 146 m² construidos (130 m² útiles) ha sido completamente reformado con materiales de alta calidad, ofreciendo un estilo moderno, funcional y muy luminoso.  La vivienda destaca por sus amplios espacios y una distribución cuidadosamente diseñada para proporcionar independencia y privacidad en cada estancia.  Cuenta con:  • 4 amplios dormitorios, 2 de ellos con vistas al mar • 2 dormitorios con baño en suite  • 1 baño completo adicional  • Cocina totalmente equipada con electrodomésticos  • Zona de salón-comedor amplia y directamente conectada con la cocina  La reforma integral incluye instalaciones, fontanería y electricidad completamente renovadas, además de acabados de gran calidad como:  • Suelos de madera natural  • Paredes lisas  • Carpintería a medida de alta gama  • Calefacción individual • Puerta de seguridad.  Situado en primera planta dentro de un edificio con servicio de conserjería, en una zona tranquila y residencial, muy próxima a comercios, servicios y transporte.  Una de las habitaciones ofrece agradables vistas al mar, recordando la cercanía a las playas del El Sardinero, uno de los enclaves más exclusivos de Santander.  La vivienda incluye además plaza de aparcamiento privada, un valor muy apreciado en la zona.  Disponible para alquiler de larga duración.  � Precio: 2.600 €/mes  Una vivienda ideal para quienes desean disfrutar del lujo de estrenar una vivienda de lujo en el “Sardinero discreto”, a pocos pasos del mar, fantástica para familias o profesionales que buscan amplitud, calidad, y una de las mejores ubicaciones de la ciudad de Santander.",False,good,False,True,18.0,False,False,False,False,[],False,False,False,2600.0,€/mes,flat,"El Sardinero, Santander",Piso en Av Infantes,True,True,,,,,
105841959,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9c/9b/72/1268489787.webp,743488,14,5,700.0,flat,rent,59.0,True,1,1,Puerto Chico,Cantabria,Santander,Puerto Chico,es,43.4632807,-3.7903986,False,https://www.idealista.com/inmueble/105841959/,9491,"¿Buscas la combinación perfecta entre comodidad, estilo y una ubicación inmejorable en Santander? Best House San Fernando te presenta este fantástico apartamento en alquiler de larga duración, ideal para una persona sola o parejas que deseen disfrutar del vibrante ambiente de Puertochico. ✨ CARACTERÍSTICAS QUE TE ENAMORARÁN Situado en una 5ª planta (sin ascensor), este hogar destaca por su luminosidad y su decoración funcional con mobiliario actual y moderno. La vivienda está lista para entrar a vivir y se distribuye en: Habitación Principal confortable y acogedora, con cama de matrimonio (grande). Salón-Comedor, un espacio versátil que incluye un práctico sofá-cama, perfecto para recibir visitas. Cocina Equipada con todo lo necesario para tu día a día. Baño Completo funcional y bien cuidado. Confort: Calefacción de gas individual para asegurar el clima perfecto durante todo el año. ⚓ UBICACIÓN PRIVILEGIADA: El piso se encuentra en la emblemática zona de Puertochico, a escasos metros de la Escuela Técnica Superior de Náutica y el Palacio de Festivales, con los servicios a tu alcance: Supermercados, tiendas de barrio, farmacias y centros de salud. Podrás disfrutar de paseos por la Bahía de Santander y la mejor oferta gastronómica de la ciudad a solo unos minutos caminando y además con paradas de autobús urbano a un paso para moverte por todo Santander. � CONDICIONES DEL ALQUILER. Renta mensual: 700 € Destino: Vivienda habitual (larga duración). Requisitos: Se requiere acreditar ingresos demostrables para la formalización de un seguro de protección de alquiler. ¡No dejes escapar esta oportunidad en una de las zonas más demandadas de Santander! Contacta hoy mismo con Best House San Fernando para concertar una visita. Un asesor experto te acompañará en todo el proceso. ➤ Consulta el resto de condiciones sin compromiso. Sujeto a decisión última del arrendador. Best House San Fernando - Tu confianza, nuestra prioridad.",True,good,False,False,12.0,False,False,False,False,[],False,False,False,700.0,€/mes,flat,"Puerto Chico, Santander",Piso,,,,,,,
110857127,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/5b/be/1417653568.webp,5227,33,2,900.0,flat,rent,81.0,True,2,1,"calle Bonifaz, 19",Cantabria,Santander,Puerto Chico,es,43.4641493,-3.797195,True,https://www.idealista.com/inmueble/110857127/,8945,"¡Joyita en el corazón de Santander! Estilo moderno en Calle Bonifaz ¿Buscas vivir donde todo sucede sin renunciar a la tranquilidad y al confort? Presentamos este espectacular piso en la Calle Bonifaz, una de las vías más exclusivas, señoriales y céntricas de Santander. A un paso de Puerto Chico, el Paseo Pereda y los mejores servicios de la ciudad. Características principales: * Superficie: 81 m² perfectamente aprovechados, sin pasillos perdidos. * Distribución: 2 dormitorios luminosos y acogedores. * Salón-Comedor: Un espacio amplio y bañado por la luz natural, con acceso directo a un balcón propio ideal para disfrutar del pulso de la ciudad. * Cocina de ensueño: Si te gusta cocinar, te enamorarás. Es extraordinariamente amplia, cuenta con zona de comedor integrada y está totalmente equipada. * Baño: Moderno y funcional, con plato de ducha de gran formato. Estado y Estilo: El piso se encuentra en un estado impecable, con una decoración de estilo moderno y cuidado detalle. Está listo para entrar a vivir hoy mismo: suelos cuidados, paredes perfectas y un ambiente cálido que te hará sentir en casa desde el primer segundo. Requisitos: Se solicita solvencia acreditada. Ideal para parejas o profesionales que busquen calidad de vida en el centro.",False,good,False,False,11.0,False,False,False,False,[],False,False,False,900.0,€/mes,flat,"Puerto Chico, Santander","Piso en calle Bonifaz, 19",,,,,,,
110856200,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ac/74/6f/1417621342.webp,273.00226,12,1,900.0,flat,rent,63.0,True,1,1,El Sardinero,Cantabria,Santander,El Sardinero,es,43.4736623,-3.7868384,False,https://www.idealista.com/inmueble/110856200/,9862,"¿Quieres vivir junto al mar en una de las zonas más deseadas de Santander? � Ubicado en la emblemática zona del Sardinero, este inmueble cerca de la Playa del Sardinero es ideal por la cercanía al mar, los servicios y las zonas de paseo. Imagina despertar cada mañana a pocos minutos de la playa, salir a pasear por el Sardinero al atardecer o disfrutar de la brisa del Cantábrico cualquier día del año.  El edificio cuenta con ascensor, el portal no tiene barreras arquitectónicas, un detalle que aporta comodidad en el día a día, especialmente en una zona tan valorada de la ciudad, la vivienda se encuentra en buen estado y lista para entrar a vivir. Cuenta con una acogedora habitación de matrimonio, pensada para el descanso y con buen espacio de almacenamiento gracias a su armario empotrado. El salón con zona de comedor ofrece un ambiente cómodo y funcional para el día a día.  La cocina independiente, práctica y bien distribuida, permite cocinar con comodidad manteniendo separados los espacios de descanso y de vida diaria. Además, la vivienda dispone de tres armarios empotrados, un gran valor añadido que facilita mantener todo organizado sin renunciar a espacio. Entre sus mejoras destacan las ventanas de PVC oscilobatientes, que aportan aislamiento térmico y acústico, así como calefacción, ideal para disfrutar del hogar durante todo el año. El suelo de gres, resistente y fácil de mantener, aporta durabilidad y funcionalidad a la vivienda. Pero sin duda, lo que realmente marca la diferencia es su ubicación privilegiada a pie de la Playa del Sardinero �️. Vivir aquí significa tener el mar, el paseo marítimo, zonas verdes y algunos de los lugares más emblemáticos de Santander a solo unos pasos. Si buscas un piso en Santander cerca de la playa, esta vivienda merece tu visita. � Contacta con Best House San Fernando y agenda tu visita.  Las viviendas en esta ubicación vuelan. ➣ Consultar resto de condiciones. Sujeto a decisión última del arrendador.",False,good,False,True,14.0,False,False,False,False,[],False,False,False,900.0,€/mes,flat,"El Sardinero, Santander",Piso,,,,,,,
101523257,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8f/42/eb/1124849882.webp,36733,23,1,1000.0,flat,rent,85.0,True,2,2,calle Valdenoja,Cantabria,Santander,Valdenoja,es,43.481367,-3.7902866,False,https://www.idealista.com/inmueble/101523257/,9739,"Se alquila piso por temporada DE SEPTIEMBRE 2026 A JUNIO 2027 Dispone de 2 habitaciones, salón, cocina equipada y 2 baños. Terraza, orientación sur, parking comunitario. SOLO POR TEMPORADA, NO PARA FIJO.",False,good,False,True,12.0,False,False,False,False,[],False,False,False,1000.0,€/mes,flat,"Valdenoja, Santander",Piso en calle Valdenoja,,,,,,,
