id,tipo_inmueble,titulo,municipio,zona,precio_mensual_eur,habitaciones,superficie_m2,planta,exterior,ascensor,garaje_incluido,garaje_opcional,temporada,lujo,vistas_mar,amueblado,observaciones
1,Piso,Piso en los Pinares,Santander,Los Castros,850,3,63,1,1,1,0,0,1,0,0,null,Curso escolar 2026-27 reformado
2,Piso,Piso Calleja Norte,Santander,El Sardinero,1400,3,107,3,1,1,1,0,0,0,1,null,Terraza vistas mar urbanización privada
3,Piso,Piso República de Colombia,Laredo,Zona Playa,600,1,58,9,1,1,0,0,0,0,0,1,Larga temporada terraza
4,Chalet independiente,Barrio de la Molina,Comillas,,5000,6,392,null,null,null,1,0,1,1,0,null,Parcela 804 m2
5,Estudio,Espíritu Santo,Laredo,Centro,900,0,37,2,0,0,0,0,1,0,0,null,Vacacional sin ascensor
6,Chalet pareado,Polanco,Polanco,,1750,4,150,null,null,null,1,0,1,0,0,null,Temporal estudiantes
7,Ático,Puerto Chico,Santander,Puerto Chico,575,1,50,4,null,null,0,0,0,0,0,null,Estado bueno
8,Chalet pareado,Luis Buñuel,Santander,Peñacastillo,1300,3,150,null,null,null,1,0,0,0,0,null,Fianza + seguro impago
9,Piso,San Andrés,Castro-Urdiales,Cotolino,625,1,47,1,1,1,0,0,0,0,0,null,Cerca playa Brazomar
10,Piso,Cuatro Caminos,Santander,Cuatro Caminos,800,2,90,2,1,0,0,0,0,0,0,null,Sin ascensor
11,Piso,Calle el Recial,Santander,Valdenoja,1100,3,115,2,1,1,1,0,0,0,0,null,Reformado trastero
12,Piso,Floranes,Santander,Numancia-San Fernando,850,2,67,4,1,1,0,0,0,0,0,null,Max 2 personas
13,Piso,Ruiz Zorrilla,Santander,Castilla-Hermida,850,3,115,1,1,1,0,0,0,0,0,null,Alquiler fijo
14,Piso,Magallanes,Santander,Numancia-San Fernando,870,2,65,2,1,1,0,0,0,0,0,null,
15,Chalet independiente,Barrio Aguilera,Piélagos,Parbayón,2300,3,252,null,null,null,1,0,1,0,0,null,Parcela 5000 m2
16,Dúplex,Amos de Escalante,Santander,Centro-Ayuntamiento,950,2,80,7,1,1,0,0,0,0,0,null,
17,Piso,Francisco Palazuelos,Santander,General Dávila,3000,3,75,0,1,0,0,0,1,1,0,null,Quincenas julio-agosto
18,Piso,Paseo Menéndez Pelayo,Santander,Puerto Chico,850,1,50,2,1,1,1,0,0,0,0,null,Apartamento
19,Piso,Calle de la Ronda,Castro-Urdiales,Centro,1100,3,90,4,1,1,1,0,1,0,0,null,Hasta junio
20,Piso,Calle Bonifaz,Santander,Puerto Chico,800,1,55,5,1,1,0,0,0,0,0,null,
21,Piso,Avenida de Bilbao,Camargo,Muriedas,750,2,60,2,1,1,1,0,0,0,0,null,
22,Piso,José Simón Cabarga,Santander,El Sardinero,1100,2,80,5,1,1,0,1,0,0,0,null,Garaje opcional 100€
23,Chalet independiente,Bo Liandres,Ruiloba,,6000,5,450,null,null,null,1,0,1,1,1,null,No agosto parcial
24,Chalet independiente,Barrio Sangazo,Castro-Urdiales,Sámano,1200,3,215,null,null,null,1,0,0,0,0,null,
25,Ático,Calle Burgos,Santander,Numancia-San Fernando,650,1,45,5,1,0,0,0,0,0,0,null,Sin ascensor
26,Piso,Villa de Foz,Laredo,Centro,3500,4,160,6,1,1,0,0,1,1,1,null,Agosto 3000 quincena
27,Chalet adosado,Derechos Humanos,Laredo,El Puntal,3500,3,225,null,null,null,1,0,1,1,0,null,Vacacional
28,Estudio,Avenida Libertad,Laredo,El Puntal,1360,0,40,1,1,1,0,0,1,0,0,null,
29,Chalet independiente,Bareyo,Bareyo,Güemes,1200,5,210,null,null,null,1,0,0,0,0,null,Fijo anual
30,Piso,Santoña,Santoña,,750,3,100,3,1,0,1,0,0,0,0,null,
31,Piso,Rosalía de Castro 13,Santander,Peñacastillo-Nuevamontaña,1200,3,90,4,1,1,1,0,0,0,0,null,Obra nueva a estrenar Edificio Copérnico alquiler fijo posible amueblado
32,Piso,Paseo General Dávila-Grupo San Francisco 6,Santander,Los Castros,800,2,57,0,1,0,0,0,0,0,0,1,Bajo con entrada independiente amueblado pide solvencia/aval
33,Piso,Fernández de Isla 5,Santander,Centro-Ayuntamiento,1000,4,100,4,1,0,0,0,0,0,0,null,Sin ascensor 4 dormitorios
34,Piso,Calle de la Arnia,Santa Cruz de Bezana,Soto de la Marina,900,2,55,0,1,0,1,0,1,0,0,null,No fijo temporal estudio/trabajo
35,Piso,Lavapiés,Santander,Alisal-Cazoña-San Román,1065,3,120,1,1,1,0,0,1,0,0,null,Hasta junio 2026 alquiler temporal
36,Piso,Ría de Solía,El Astillero,,800,2,80,0,1,1,0,0,0,0,0,null,Bajo con ascensor no mascotas
37,Piso,Gravina,Santander,Centro-Ayuntamiento,975,2,91,2,1,0,0,0,0,0,0,null,Piso vacío junto Biblioteca
38,Casa independiente,Barrio Rubárcena 15D,Comillas,,900,2,70,null,null,null,0,0,1,0,0,null,Casa diseño nueva alquiler temporada terraza 6m2
39,Piso,Churruca,El Astillero,,760,2,54,3,1,0,0,0,0,0,0,null,Larga duración sin ascensor
40,Piso,Ernest Lluch,Santander,La Pereda-Valdenoja,1400,2,91,1,1,1,1,0,1,1,0,null,Alquiler temporada sep 2026-jun 2027 lujo
41,Piso,Juan Guerrero Urreisti 17,Santander,Peñacastillo-Nuevamontaña,650,1,35,2,1,0,0,0,0,0,0,null,Apartamento reformado sin ascensor
42,Piso,Avenida de los Castros,Santander,Los Castros,840,3,80,4,1,1,0,0,0,0,0,null,Larga estancia cerca universidades Valdecilla
43,Piso,Pedro del Camino Mijarazo 22,Ajo,,700,2,80,2,1,1,1,0,0,0,0,null,Alquiler anual terraza garaje cerrado
44,Piso,Cuesta del Hospital,Santander,Centro-Ayuntamiento,1500,3,73,4,1,0,0,0,0,0,0,null,Tecnocasa sin ascensor
45,Piso,Miguel de Unamuno,Santander,Los Castros,1100,3,109,2,1,1,0,0,0,0,0,null,Descripción no incluida en el texto
46,Ático,Miguel Hernández,El Astillero,,850,2,75,8,1,1,0,0,0,0,0,null,Tres terrazas cocina equipada
47,Piso,Avenida del Deporte,Santander,Alisal-Cazoña-San Román,1500,5,105,4,1,0,0,0,1,0,0,null,Temporal consultar periodos 3 baños reformado
48,Piso,Siervas de Jesús,Castro-Urdiales,Playa Ostende,925,3,107,2,1,1,1,0,0,0,0,null,Larga estancia fianza+garantía no mascotas
49,Piso,Alcalde Vega Lamera 5,Santander,El Sardinero,1500,2,80,2,1,1,0,0,1,0,0,null,Temporada reformado integral urbanización jardín
50,Piso,Avenida Manuel García Lago,Santander,El Sardinero,3500,3,143,5,1,1,1,0,0,1,1,1,Fijo actualmente amueblado primera línea vistas al mar
51,Ático,Ataulfo Argenta 56,Santander,Puerto Chico,1000,1,50,5,1,1,0,0,0,0,0,null,Alquiler fijo centro
52,Chalet pareado,Avenida de Valdecilla,Santander,Cuatro Caminos,1500,3,161,null,null,null,1,0,0,0,0,null,Chalet con jardín en ciudad
