id_anuncio;fuente;tipo_inmueble;subtipo;direccion_texto;barrio_zona;municipio;precio_eur;precio_anterior_eur;descuento_pct;garaje_incluido;habitaciones;superficie_m2;planta;exterior;ascensor;obra_nueva_flag
1;Inmobiliaria E-Castro;piso;;" ""Avenida Riomar, 1";Cotolino;Castro-Urdiales;498000;;;sí;4;121;4;sí;sí;0
2;Inmobiliarias.com;casa;chalét independiente;Barrio Brazomar, 46;Cotolino;Castro-Urdiales;575000;;;sí;5;232;;desconocido;desconocido;0
3;Inmobiliaria E-Castro;piso;;" ""Calle Leonardo Rucabado, 6";Centro;Castro-Urdiales;299000;;;desconocido;2;84;3;sí;sí;0
4;Inmobiliaria E-Castro;piso;;" ""Calle de la Ronda, 32";Centro;Castro-Urdiales;340000;;;desconocido;4;99;5;sí;sí;0
5;Inmobiliaria E-Castro;casa;chalét independiente;Barrio Sámano;Sámano;Castro-Urdiales;799000;;;sí;5;511;;desconocido;desconocido;0
6;Inmobiliarias.com;ático;;" ""Calle de Angel Perez Hornoas Cholo""";Brazomar;Castro-Urdiales;360000;;;sí;3;130;6;sí;sí;0
7;Inmobiliarias.com;ático;;" ""Calle de la Granja""";Cotolino;Castro-Urdiales;405000;;;sí;2;90;4;sí;sí;0
8;Inmobiliarias.com;piso;;" ""Calle Ataúlfo Argenta""";Cotolino;Castro-Urdiales;415000;;;sí;3;110;2;sí;sí;0
9;Inmobiliarias.com;casa;chalét independiente;Barrio Montealegre;Sámano;Castro-Urdiales;455000;;;desconocido;5;266;;desconocido;desconocido;0
10;Inmobiliaria E-Castro;piso;;" ""Isaac Castillo""";Mioño-Santullán;Castro-Urdiales;180000;;;desconocido;4;105;1;sí;no;0
11;Exclusivas Inmobiliarias Mikeli;dúplex;;" ""Calle Doctor Marañón""";El Sardinero;Santander;2890000;;;sí;4;310;2;sí;sí;0
12;Exclusivas Inmobiliarias Mikeli;piso;;" ""Avenida Manuel García Lago""";El Sardinero;Santander;3150000;;;sí;5;241;4;sí;sí;0
13;Inmobiliaria E-Castro;piso;;" ""Calle Leonardo Rucabado""";Centro;Castro-Urdiales;220000;;;desconocido;2;64;6;sí;sí;0
14;Inmobiliarias.com;casa;chalét independiente;Barrio Cerdigo;Oriñón-Allendagua;Castro-Urdiales;370000;;;sí;4;227;;desconocido;desconocido;0
15;Exclusivas Inmobiliarias Mikeli;piso;;" ""Avenida Maura""";El Sardinero;Santander;520000;;;sí;2;105;1;sí;sí;0
16;Exclusivas Inmobiliarias Mikeli;piso;;" ""Avenida de Cantabria""";Valdenoja;Santander;798000;860000;7;sí;3;178;3;sí;sí;0
17;Inmobiliarias.com;casa;chalét adosado;Calle del Alto de la Cruz;Cotolino;Castro-Urdiales;450000;;;sí;4;250;;desconocido;desconocido;0
18;Exclusivas Inmobiliarias Mikeli;piso;;" ""Paseo de Pereda""";Puerto Chico;Santander;1800000;;;desconocido;5;292;4;sí;no;0
19;Exclusivas Inmobiliarias Mikeli;casa;chalét independiente;Barrio la Arnía;Liencres;Piélagos;875000;;;sí;6;308;;desconocido;desconocido;0
20;Engel & Völkers Santander;piso;;" ""Avenida de Pontejos""";El Sardinero;Santander;885000;;;sí;4;189;8;sí;sí;0
21;Inmobiliaria E-Castro;casa;chalét independiente;Barrio Brazomar, 46;Cotolino;Castro-Urdiales;575000;;;desconocido;5;232;;desconocido;desconocido;0
22;altamira21.com;piso;;" ""Calle Juan de Herrera""";Centro - Ayuntamiento;Santander;598000;;;desconocido;4;107;4;sí;sí;0
23;Inmobiliarias.com;piso;;" ""Calle Belén, 3";Centro;Castro-Urdiales;430000;;;desconocido;2;84;2;sí;sí;0
24;Inmobiliaria E-Castro;piso;;" ""Calle Leonardo Rucabado, 50";Brazomar;Castro-Urdiales;270000;;;sí;2;64;2;sí;sí;0
25;Inmobiliaria E-Castro;casa;chalét independiente;Barrio Sámano, 40;Sámano;Castro-Urdiales;360000;;;desconocido;3;221;;desconocido;desconocido;0
26;Inmobiliaria E-Castro;casa;chalét pareado;Calle Aureliano Linares Rivas;Centro;Castro-Urdiales;740000;;;sí;6;400;;desconocido;desconocido;0
27;Inmobiliaria E-Castro;casa;chalét pareado;Calle Aureliano Linares Rivas, 17;Centro;Castro-Urdiales;650000;;;desconocido;5;350;;desconocido;desconocido;0
28;Inmobiliaria E-Castro;casa;chalét independiente;Calle Paco Labiano, 5;Playa Ostende;Castro-Urdiales;750000;;;desconocido;4;372;;desconocido;desconocido;0
29;Inmobiliarias.com;piso;; Avenida Riomar, 1;Cotolino;Castro-Urdiales;498000;;;sí;4;120;4;sí;sí;0
30;Inmobiliarias.com;casa;chalét independiente;Barrio Sámano;Sámano;Castro-Urdiales;370000;;;sí;4;270;;desconocido;desconocido;0
31;Inmobiliaria E-Castro;casa;chalét independiente;Barrio Sámano;Sámano;Castro-Urdiales;540000;;;sí;5;316;;desconocido;desconocido;0
32;Inmobiliaria E-Castro;casa;chalét adosado;Avenida de Chinchapapa;Cotolino;Castro-Urdiales;980000;;;sí;5;448;;desconocido;desconocido;0
33;Inmobiliarias.com;dúplex;;Calle Teresa de Calcuta;Cotolino;Castro-Urdiales;359900;;;sí;3;135;5;sí;sí;0
34;Inmobiliaria JC de Laredo;piso;apartamento;Avenida de Francia;Zona Playa;Laredo;209000;;;desconocido;2;57;2;sí;sí;0
35;Inmobiliaria JC de Laredo;piso;;Centro;Centro;Laredo;580000;620000;6;desconocido;4;240;5;sí;sí;0
36;Inmobiliaria Mi Villa;piso;;Calle Padre Ignacio Ellacuría;Centro;Laredo;510000;;;sí;4;130;4;sí;sí;0
37;Fincas Mafer;piso;;Calle Padre Ignacio Ellacuría, 10;Centro;Laredo;408000;415000;2;desconocido;5;149;6;sí;sí;0
38;Inmobiliaria JC de Laredo;piso;apartamento;El Puntal;El Puntal;Laredo;138000;;;desconocido;1;40;bajo;sí;sí;0
39;Inmobiliaria JC de Laredo;piso;;Zona Playa;Zona Playa;Laredo;485000;;;desconocido;3;140;2;sí;sí;0
40;Inmobiliaria Mi Villa;piso;;Plaza Marqués De Albaida;Centro;Laredo;275000;;;desconocido;3;116;2;sí;no;0
41;Trece Home;piso;;Calle Peredo y Nogales;Tregadín;Noja;269000;279000;4;sí;2;75;bajo;desconocido;sí;0
42;Fincas Mafer;piso;;Avenida de Francia, 109;El Puntal;Laredo;550000;;;sí;4;278;6;sí;sí;0
43;Fincas Mafer;casa;chalét adosado;Avenida de la Libertad, 87;El Puntal;Laredo;395000;;;sí;4;188;;desconocido;desconocido;0
44;Trece Home;ático;;Avenida los Caleros;Ris;Noja;350000;;;sí;3;130;4;desconocido;sí;0
45;Inmobiliaria El Botxo;casa;chalét independiente;Oriñón-Allendagua;Oriñón-Allendagua;Castro-Urdiales;370000;;;sí;4;270;;desconocido;desconocido;0
46;donpiso Santander;piso;;Calle Juan José Pérez del Molino;General Dávila;Santander;385000;;;desconocido;3;138;2;sí;sí;0
47;Inmobiliaria E-Castro;edificio;;Barrio Sámano-Vallegón, 1;Sámano;Castro-Urdiales;780000;;;desconocido;3;860;1;sí;no;0
48;Inmobiliarias.com;casa;chalét independiente;Barrio Mellin Samano, s/n;Sámano;Castro-Urdiales;450000;;;sí;3;182;;desconocido;desconocido;0
49;Inmobiliarias.com;ático;;Ataulfo Argenta, 5;Cotolino;Castro-Urdiales;330000;;;desconocido;1;50;5;sí;sí;0
50;Inmobiliaria E-Castro;piso;;Calle República Argentina, 5;Centro;Castro-Urdiales;400000;;;desconocido;4;154;5;sí;sí;0
51;Inmobiliarias.com;casa;chalét adosado;Cerrillo Sámano;Sámano;Castro-Urdiales;405000;;;sí;4;210;;desconocido;desconocido;0
52;Inmobiliaria E-Castro;casa;chalét adosado;Barrio Sámano-Helguera;Sámano;Castro-Urdiales;335000;;;desconocido;4;192;;desconocido;desconocido;1
53;Inmobiliaria Mi Villa;piso;;Calle República de Chile;Zona Playa;Laredo;258000;;;desconocido;2;70;3;sí;no;0
54;Inmobiliaria Mi Villa;ático;;Calle Doctor Senderos;Carlos V;Laredo;580000;;;sí;4;240;5;sí;sí;0
55;Inmobiliaria Mi Villa;piso;apartamento;Calle República de Colombia;Zona Playa;Laredo;118500;;;desconocido;1;35;10;sí;sí;0
56;Inmobiliaria Mi Villa;piso;;Calle Marqués de Comillas;Centro;Laredo;420000;;;desconocido;3;156;9;sí;sí;0
57;Inmobiliaria Mi Villa;piso;apartamento;Calle República de Costa Rica;Zona Playa;Laredo;230000;;;desconocido;2;60;13;sí;sí;0
58;Inmobiliaria Mi Villa;piso;;Calle República de Guatemala;Zona Playa;Laredo;269000;;;desconocido;2;80;3;sí;sí;0
59;Inmobiliaria Uranga;casa;chalét pareado;Avenida de la Libertad;Zona Playa;Laredo;385000;398000;3;sí;4;180;;desconocido;desconocido;0
60;donpiso Santander;piso;;Calle General Moscardó;Castilla - Hermida;Santander;159000;165000;4;desconocido;3;68;3;sí;sí;0
61;Inmobiliaria Eurocasa;piso;;Calle Tetuán;General Dávila;Santander;335000;350000;4;sí;3;83;2;sí;sí;0
62;Trece Home;piso;;Calle los Nogales;Palacio;Noja;249000;;;sí;2;70;3;sí;sí;0
63;Fincas Mafer;piso;;Calle Duque de Ahumada, 9;Centro;Laredo;245000;;;desconocido;3;103;1;sí;no;0
