id,anunciante,titulo,municipio,zona,precio_eur,precio_anterior_eur,descuento_pct,superficie_m2,tipo_suelo,referencia_catastral,notas
1,Exclusivas inmobiliarias mikeli,"Terreno en Barrio Llanilla, Alisal - Cazoña - San Román, Santander",Santander,"Barrio Llanilla, Alisal - Cazoña - San Román",430000,,,972,,,
2,MENA INMOBILIARIA,"Terreno en Oruña, Piélagos",Piélagos,Oruña,139000,,,965,"Urbano (solar)",,"Edificabilidad 200 m²"
3,Grupo Inmobiliario Tribeca,"Terreno en Peñacastillo - Nuevamontaña, Santander",Santander,"Peñacastillo - Nuevamontaña",169000,,,650,"Urbano (solar)",,"5 parcelas"
4,Exclusivas inmobiliarias mikeli,"Terreno en Calle de la Arnia, Soto de la Marina, Santa Cruz de Bezana",Santa Cruz de Bezana,"Calle de la Arnia, Soto de la Marina",1290000,,,3217,,,"Parcela urbana"
5,Exclusivas inmobiliarias mikeli,"Terreno en Calle Barrio San Roque, Polanco",Polanco,"Calle Barrio San Roque",80000,,,1668,,,"820 urbanos + 848 rústicos; ocupación 35%"
6,Exclusivas inmobiliarias mikeli,"Terreno en Avenida Playa San Juan de la Canal, Soto de la Marina, Santa Cruz de Bezana",Santa Cruz de Bezana,"Av. Playa San Juan de la Canal, Soto de la Marina",1500000,,,6518,,,"3.433 urbanos; posible segregación"
7,Bahía Home,"Terreno en Barrio la Venera, Oruña, Piélagos",Piélagos,"Barrio la Venera, Oruña",98000,,,4507,Urbanizable,,"Licencia + proyecto"
8,Distrito inmobiliario,"Terreno en Barrio Mar, 87 --81, Polanco",Polanco,"Barrio Mar, 87 --81",132000,140000,6,2210,"Urbano (solar)",,"Licencia + proyecto básico; 4 chalets"
9,RE/MAX Vértice,"Terreno en Sv-4713, 12, Miengo",Miengo,"Sv-4713, 12",300000,,,6548,"No urbanizable",,"Proyecto hotel canino"
10,RE/MAX Vértice,"Terreno en Barrio la Picota, 38 a, Renedo, Piélagos",Piélagos,"Barrio la Picota, 38 a, Renedo",69000,,,413,"Urbano (solar)",,
11,Engel & Völkers Santander,"Terreno en Los Pumares, 9, Santillana del Mar",Santillana del Mar,"Los Pumares, 9",150000,,,5343,"Urbano (solar)",39076A001ZP,
12,LOCALIA INMOBILIARIA,"Terreno en Barrio la Canal, 9, Oruña, Piélagos",Piélagos,"Barrio la Canal, 9, Oruña",175000,,,2436,"Urbano (solar)",,"Edificabilidad 1547 m²t"
13,RE/MAX Vértice,"Terreno en Barrio el Perujo, Arce, Piélagos",Piélagos,"Barrio el Perujo, Arce",499900,,,10800,"Urbano (solar)",,"7.900 urbanos + casa"
14,Engel & Völkers Santander,"Terreno en Carretera Hinojedo-Puente Avios, Suances",Suances,"Carretera Hinojedo-Puente Avios",315000,,,6692,Urbanizable,,
15,Espazio Inmobiliario,"Terreno en Ca-232, Oruña, Piélagos",Piélagos,"Ca-232, Oruña",113000,,,1017,"Urbano (solar)",,
16,Engel & Völkers Santander,"Terreno en Avenida Juan de Herrera, s/n, Maoño, Santa Cruz de Bezana",Santa Cruz de Bezana,"Av. Juan de Herrera, Maoño",115000,,,885,Urbanizable,,
17,Inmosantander,"Terreno en La Cotera, Renedo, Piélagos",Piélagos,"La Cotera, Renedo",77000,,,1787,Urbanizable,,
18,viBe,"Terreno en Bo San Pedro, Vioño, Piélagos",Piélagos,"Bo San Pedro, Vioño",75000,95000,21,2152,Urbanizable,,
19,viBe,"Terreno en Barrio Parayo, Vioño, Piélagos",Piélagos,"Barrio Parayo, Vioño",65000,85000,24,2930,Urbanizable,,"Texto menciona 440 m² edificables"
20,viBe,"Terreno en Barrio Valencia, Zurita, Piélagos",Piélagos,"Barrio Valencia, Zurita",60000,120000,50,4131,Urbanizable,,
21,viBe,"Terreno en Barrio Valencia, Zurita, Piélagos",Piélagos,"Barrio Valencia, Zurita",60000,120000,50,1184,Urbanizable,,
22,Bahía Home,"Terreno en Avenida de Santander, s/n, Muriedas, Camargo",Camargo,"Av. de Santander, Muriedas",1290000,,,12828,"Urbano (solar)",,"3.867 m² edificables"
23,Bahía Home,"Terreno en Barrio La Venera, 7 C, Oruña, Piélagos",Piélagos,"Barrio La Venera, 7 C, Oruña",198000,,,3377,"Urbano (solar)",,"Rústico+urbano; 2 viviendas"
24,altamira21.com,"Terreno en Barrio Llejo, Oruña, Piélagos",Piélagos,"Barrio Llejo, Oruña",125000,,,1104,"Urbano (solar)",,
25,Engel & Völkers Santander,"Terreno en Camino de Mato Blanco, Cueto, Santander",Santander,"Camino de Mato Blanco, Cueto",398000,,,10921,"No urbanizable",,
26,Bahía Home,"Terreno en Barrio La Venera, 2, Oruña, Piélagos",Piélagos,"Barrio La Venera, 2, Oruña",170000,,,7673,Urbanizable,,
27,Engel & Völkers Santander,"Terreno en Urbanización Rìa del Pas, Boo, Piélagos",Piélagos,"Urbanización Rìa del Pas, Boo",310000,,,1373,Urbanizable,,
28,Engel & Völkers Santander,"Terreno en Avenida de Santander, Muriedas, Camargo",Camargo,"Av. de Santander, Muriedas",330000,,,2911,Urbanizable,,"Proyecto 7 chalets"
29,Engel & Völkers Santander,"Terreno en Barrio la Cagiga, Arce, Piélagos",Piélagos,"Barrio la Cagiga, Arce",130000,,,770,Urbanizable,,
