id_anuncio,fuente,operacion,tipo_inmueble,subtipo,direccion_texto,barrio_zona,municipio,provincia,precio_eur,precio_anterior_eur,descuento_pct,garaje_incluido,habitaciones,superficie_m2,planta,exterior,ascensor,obra_nueva_categoria,obra_nueva_flag,notas_parseo
1,Inmobiliaria E-Castro,venta,piso,, "Avenida Riomar, 1",Cotolino,Castro-Urdiales,Cantabria,498000,,,sí,4,121,4,sí,sí,otros,0,""
2,Inmobiliarias.com,venta,casa,chalét independiente,"Barrio Brazomar, 46",Cotolino,Castro-Urdiales,Cantabria,575000,,,sí,5,232,,desconocido,desconocido,otros,0,""
3,Inmobiliaria E-Castro,venta,piso,, "Calle Leonardo Rucabado, 6",Centro,Castro-Urdiales,Cantabria,299000,,,desconocido,2,84,3,sí,sí,otros,0,"Garaje no indicado"
4,Inmobiliaria E-Castro,venta,piso,, "Calle de la Ronda, 32",Centro,Castro-Urdiales,Cantabria,340000,,,desconocido,4,99,5,sí,sí,otros,0,"Garaje no indicado"
5,Inmobiliaria E-Castro,venta,casa,chalét independiente,"Barrio Sámano",Sámano,Castro-Urdiales,Cantabria,799000,,,sí,5,511,,desconocido,desconocido,otros,0,"Dirección sin número"
6,Inmobiliarias.com,venta,ático,, "Calle de Angel Perez Hornoas Cholo",Brazomar,Castro-Urdiales,Cantabria,360000,,,sí,3,130,6,sí,sí,otros,0,""
7,Inmobiliarias.com,venta,ático,, "Calle de la Granja",Cotolino,Castro-Urdiales,Cantabria,405000,,,sí,2,90,4,sí,sí,otros,0,""
8,Inmobiliarias.com,venta,piso,, "Calle Ataúlfo Argenta",Cotolino,Castro-Urdiales,Cantabria,415000,,,sí,3,110,2,sí,sí,otros,0,""
9,Inmobiliarias.com,venta,casa,chalét independiente,"Barrio Montealegre",Sámano,Castro-Urdiales,Cantabria,455000,,,desconocido,5,266,,desconocido,desconocido,otros,0,"Garaje no indicado"
10,Inmobiliaria E-Castro,venta,piso,, "Isaac Castillo",Mioño-Santullán,Castro-Urdiales,Cantabria,180000,,,desconocido,4,105,1,sí,no,otros,0,""
11,Exclusivas Inmobiliarias Mikeli,venta,dúplex,, "Calle Doctor Marañón",El Sardinero,Santander,Cantabria,2890000,,,sí,4,310,2,sí,sí,otros,0,""
12,Exclusivas Inmobiliarias Mikeli,venta,piso,, "Avenida Manuel García Lago",El Sardinero,Santander,Cantabria,3150000,,,sí,5,241,4,sí,sí,otros,0,""
13,Inmobiliaria E-Castro,venta,piso,, "Calle Leonardo Rucabado",Centro,Castro-Urdiales,Cantabria,220000,,,desconocido,2,64,6,sí,sí,otros,0,"Dirección sin número"
14,Inmobiliarias.com,venta,casa,chalét independiente,"Barrio Cerdigo",Oriñón-Allendagua,Castro-Urdiales,Cantabria,370000,,,sí,4,227,,desconocido,desconocido,otros,0,""
15,Exclusivas Inmobiliarias Mikeli,venta,piso,, "Avenida Maura",El Sardinero,Santander,Cantabria,520000,,,sí,2,105,1,sí,sí,otros,0,""
16,Exclusivas Inmobiliarias Mikeli,venta,piso,, "Avenida de Cantabria",Valdenoja,Santander,Cantabria,798000,860000,7,sí,3,178,3,sí,sí,otros,0,"En el texto indica edificio construido en 2005"
17,Inmobiliarias.com,venta,casa,chalét adosado,"Calle del Alto de la Cruz",Cotolino,Castro-Urdiales,Cantabria,450000,,,sí,4,250,,desconocido,desconocido,otros,0,""
18,Exclusivas Inmobiliarias Mikeli,venta,piso,, "Paseo de Pereda",Puerto Chico,Santander,Cantabria,1800000,,,desconocido,5,292,4,sí,no,otros,0,"Garaje no indicado"
19,Exclusivas Inmobiliarias Mikeli,venta,casa,chalét independiente,"Barrio la Arnía",Liencres,Piélagos,Cantabria,875000,,,sí,6,308,,desconocido,desconocido,otros,0,""
20,Engel & Völkers Santander,venta,piso,, "Avenida de Pontejos",El Sardinero,Santander,Cantabria,885000,,,sí,4,189,8,sí,sí,otros,0,""
21,Inmobiliaria E-Castro,venta,casa,chalét independiente,"Barrio Brazomar, 46",Cotolino,Castro-Urdiales,Cantabria,575000,,,desconocido,5,232,,desconocido,desconocido,otros,0,"Duplicado potencial del anuncio #2 (misma dirección y precio). Garaje no indicado"
22,altamira21.com,venta,piso,, "Calle Juan de Herrera",Centro - Ayuntamiento,Santander,Cantabria,598000,,,desconocido,4,107,4,sí,sí,otros,0,"Garaje no indicado"
23,Inmobiliarias.com,venta,piso,, "Calle Belén, 3",Centro,Castro-Urdiales,Cantabria,430000,,,desconocido,2,84,2,sí,sí,otros,0,"Indica 'reciente construcción' pero no 'obra nueva' explícito"
24,Inmobiliaria E-Castro,venta,piso,, "Calle Leonardo Rucabado, 50",Brazomar,Castro-Urdiales,Cantabria,270000,,,sí,2,64,2,sí,sí,otros,0,""
25,Inmobiliaria E-Castro,venta,casa,chalét independiente,"Barrio Sámano, 40",Sámano,Castro-Urdiales,Cantabria,360000,,,desconocido,3,221,,desconocido,desconocido,otros,0,"Garaje no indicado"
26,Inmobiliaria E-Castro,venta,casa,chalét pareado,"Calle Aureliano Linares Rivas",Centro,Castro-Urdiales,Cantabria,740000,,,sí,6,400,,desconocido,desconocido,otros,0,"Dirección sin número"
27,Inmobiliaria E-Castro,venta,casa,chalét pareado,"Calle Aureliano Linares Rivas, 17",Centro,Castro-Urdiales,Cantabria,650000,,,desconocido,5,350,,desconocido,desconocido,otros,0,"Garaje no indicado"
28,Inmobiliaria E-Castro,venta,casa,chalét independiente,"Calle Paco Labiano, 5",Playa Ostende,Castro-Urdiales,Cantabria,750000,,,desconocido,4,372,,desconocido,desconocido,otros,0,"Garaje no indicado"
29,Inmobiliarias.com,venta,piso,, "Avenida Riomar, 1",Cotolino,Castro-Urdiales,Cantabria,498000,,,sí,4,120,4,sí,sí,otros,0,"Duplicado potencial del anuncio #1 (misma dirección y precio; m2 difiere 121 vs 120)"
30,Inmobiliarias.com,venta,casa,chalét independiente,"Barrio Sámano",Sámano,Castro-Urdiales,Cantabria,370000,,,sí,4,270,,desconocido,desconocido,otros,0,"Dirección sin número"
31,Inmobiliaria E-Castro,venta,casa,chalét independiente,Barrio Sámano,Sámano,Castro-Urdiales,Cantabria,540000,,,sí,,5,316,,desconocido,desconocido,otros,0,""
32,Inmobiliaria E-Castro,venta,casa,chalét adosado,Avenida de Chinchapapa,Cotolino,Castro-Urdiales,Cantabria,980000,,,sí,,5,448,,desconocido,desconocido,otros,0,""
33,Inmobiliarias.com,venta,dúplex,,Calle Teresa de Calcuta,Cotolino,Castro-Urdiales,Cantabria,359900,,,sí,,3,135,5,sí,sí,otros,0,""
34,Inmobiliaria JC de Laredo,venta,piso,apartamento,Avenida de Francia,Zona Playa,Laredo,Cantabria,209000,,,desconocido,,2,57,2,sí,sí,otros,0,"Texto menciona 50 m²; cabecera indica 57 m²"
35,Inmobiliaria JC de Laredo,venta,piso,,Centro,Centro,Laredo,Cantabria,580000,620000,6,desconocido,parking privado (texto),4,240,5,sí,sí,otros,0,"Texto lo describe como ático dúplex"
36,Inmobiliaria Mi Villa,venta,piso,,Calle Padre Ignacio Ellacuría,Centro,Laredo,Cantabria,510000,,,sí,,4,130,4,sí,sí,otros,0,""
37,Fincas Mafer,venta,piso,,Calle Padre Ignacio Ellacuría, 10,Centro,Laredo,Cantabria,408000,415000,2,desconocido,,5,149,6,sí,sí,otros,0,""
38,Inmobiliaria JC de Laredo,venta,piso,apartamento,El Puntal,El Puntal,Laredo,Cantabria,138000,,,desconocido,,1,40,bajo,sí,sí,otros,0,""
39,Inmobiliaria JC de Laredo,venta,piso,,Zona Playa,Zona Playa,Laredo,Cantabria,485000,,,desconocido,,3,140,2,sí,sí,otros,0,""
40,Inmobiliaria Mi Villa,venta,piso,,Plaza Marqués De Albaida,Centro,Laredo,Cantabria,275000,,,desconocido,,3,116,2,sí,no,otros,0,""
41,Trece Home,venta,piso,,Calle Peredo y Nogales,Tregadín,Noja,Cantabria,269000,279000,4,sí,,2,75,bajo,desconocido,sí,otros,0,""
42,Fincas Mafer,venta,piso,,Avenida de Francia, 109,Laredo,Cantabria,550000,,,sí,,4,278,6,sí,sí,otros,0,""
43,Fincas Mafer,venta,casa,chalét adosado,"Avenida de la Libertad, 87",El Puntal,Laredo,Cantabria,395000,,,sí,,4,188,,desconocido,desconocido,otros,0,""
44,Trece Home,venta,ático,,Avenida los Caleros,Ris,Noja,Cantabria,350000,,,sí,,3,130,4,desconocido,sí,otros,0,"Exterior no indicado"
45,Inmobiliaria El Botxo,venta,casa,chalét independiente,Oriñón-Allendagua,Oriñón-Allendagua,Castro-Urdiales,Cantabria,370000,,,sí,,4,270,,desconocido,desconocido,otros,0,"Probable duplicado de anuncio previo en Cérdigo/oriñón con 4 hab 270 m²"
46,donpiso Santander,venta,piso,,Calle Juan José Pérez del Molino,General Dávila,Santander,Cantabria,385000,,,desconocido,,3,138,2,sí,sí,otros,0,"Garaje no indicado"
47,Inmobiliaria E-Castro,venta,edificio,,Barrio Sámano-Vallegón 1,Sámano,Castro-Urdiales,Cantabria,780000,,,desconocido,,3,860,1,sí,no,otros,0,"En texto: edificio construido en 2001; m² parece de edificio/parcela, no de 'piso'"
48,Inmobiliarias.com,venta,casa,chalét independiente,"Barrio Mellin Samano, s/n",Sámano,Castro-Urdiales,Cantabria,450000,,,sí,,3,182,,desconocido,desconocido,otros,0,""
49,Inmobiliarias.com,venta,ático,,Ataulfo Argenta 5,Cotolino,Castro-Urdiales,Cantabria,330000,,,desconocido,,1,50,5,sí,sí,otros,0,"Garaje no indicado"
50,Inmobiliaria E-Castro,venta,piso,,Calle República Argentina 5,Centro,Castro-Urdiales,Cantabria,400000,,,desconocido,,4,154,5,sí,sí,otros,0,"Garaje no indicado"
51,Inmobiliarias.com,venta,casa,chalét adosado,Cerrillo Sámano,Sámano,Castro-Urdiales,Cantabria,405000,,,sí,,4,210,,desconocido,desconocido,otros,0,""
52,Inmobiliaria E-Castro,venta,casa,chalét adosado,Barrio Sámano-Helguera,Sámano,Castro-Urdiales,Cantabria,335000,,,desconocido,,4,192,,desconocido,desconocido,obra_nueva,1,"Texto: 'a estrenar'"
53,Inmobiliaria Mi Villa,venta,piso,,Calle República de Chile,Zona Playa,Laredo,Cantabria,258000,,,desconocido,,2,70,3,sí,no,otros,0,""
54,Inmobiliaria Mi Villa,venta,ático,,Calle Doctor Senderos,Carlos V,Laredo,Cantabria,580000,,,sí,,4,240,5,sí,sí,otros,0,""
55,Inmobiliaria Mi Villa,venta,piso,apartamento,Calle República de Colombia,Zona Playa,Laredo,Cantabria,118500,,,desconocido,,1,35,10,sí,sí,otros,0,""
56,Inmobiliaria Mi Villa,venta,piso,,Calle Marqués de Comillas,Centro,Laredo,Cantabria,420000,,,desconocido,,3,156,9,sí,sí,otros,0,""
57,Inmobiliaria Mi Villa,venta,piso,apartamento,Calle República de Costa Rica,Zona Playa,Laredo,Cantabria,230000,,,desconocido,,2,60,13,sí,sí,otros,0,""
58,Inmobiliaria Mi Villa,venta,piso,,Calle República de Guatemala,Zona Playa,Laredo,Cantabria,269000,,,desconocido,,2,80,3,sí,sí,otros,0,""
59,Inmobiliaria Uranga,venta,casa,chalét pareado,Avenida de la Libertad,Zona Playa,Laredo,Cantabria,385000,398000,3,sí,,4,180,,desconocido,desconocido,otros,0,"Zona Puntal según texto; cabecera pone Zona Playa"
60,donpiso Santander,venta,piso,,Calle General Moscardó,Castilla - Hermida,Santander,Cantabria,159000,165000,4,desconocido,,3,68,3,sí,sí,otros,0,"Vivienda a reformar (texto)"
61,Inmobiliaria Eurocasa,venta,piso,,Calle Tetuán,General Dávila,Santander,Cantabria,335000,350000,4,sí,,3,83,2,sí,sí,otros,0,""
62,Trece Home,venta,piso,,Calle los Nogales,Palacio,Noja,Cantabria,249000,,,sí,,2,70,3,sí,sí,otros,0,""
63,Fincas Mafer,venta,piso,,Calle Duque de Ahumada 9,Centro,Laredo,Cantabria,245000,,,desconocido,,3,103,1,sí,no,otros,0,""
